rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,3,"Huguley,Tray",MUW,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,25,35.04,23.04,11.68,2.64,1.04,1.52,2.28,10.544145944525305,99
2,70,"Lofton,Tim",Greenville,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,26,18.884615384615383,13.77,7.19,1.23,2.92,1.35,1.5384615384615383,6.554031393755582,94
3,72,"Austin,Joe Haze",MUW,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,27,31.703703703703702,13.67,5.44,3.89,3.37,1.52,3.1481481481481484,6.533143404066093,94
4,79,"Simon,Nolan",Principia,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,21,36.76190476190476,24.71,5.19,3.67,3.1,0.1,5.333333333333333,6.391514195915932,94
5,112,"Nelson,Charles",Webster,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,27,31.074074074074073,18.48,3.63,3.74,1.85,0.3,2.111111111111111,5.8963259717993965,94
6,158,"Johnson,Jamile",Westminster,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,25,27.08,11.96,7.48,1.08,0.64,2.56,1.28,5.373480565109192,93
7,193,"Jordan,Evan",Blackburn,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,26,32.0,17.23,4.81,2.08,2.27,0.15,1.9230769230769231,5.103046723224413,93
8,201,"Jeter,Jaylen",Blackburn,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,26,27.153846153846153,17.73,3.42,1.27,2.58,0.19,1.5384615384615383,5.0694749877622005,92
9,207,"Taylor,Trevon",Lyon,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,27,27.62962962962963,14.78,7.59,1.26,1.3,1.11,1.7407407407407407,4.985071271193516,92
10,223,"Chartrand,Ethan",Webster,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,16,26.9375,16.25,3.56,1.44,1.5,0.5,0.75,4.821837632224566,92
11,328,"Williford,Joshua",Greenville,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,24,17.166666666666668,16.08,3.96,1.63,2.0,0.21,1.7083333333333333,4.058901427252428,91
12,384,"Roberts,Mikhali",Principia,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,21,31.238095238095237,14.9,7.95,0.71,0.81,0.76,1.8571428571428572,3.716307581265647,90
13,444,"Provost,Jaxson",Eureka,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,24,27.5,17.58,2.5,2.88,1.38,0.04,2.375,3.423749957573587,89
14,448,"Shephard,Tyler",MUW,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,27,30.74074074074074,14.67,4.7,2.07,1.33,0.63,2.1481481481481484,3.3998084870474403,89
15,518,"Brown,Kenneth",Lyon,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,27,28.814814814814813,10.41,5.26,1.41,1.63,0.78,1.0740740740740742,3.0565408232663547,88
