rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,36,2025-26,Jamarcus Brown,Lynchburg,F,Old Dominion Athletic Conference (ODAC),odac,26,31.76923076923077,20.73,7.42,1.38,1.12,1.73,2.076923076923077,7.775745936934471,95
2,64,2025-26,Braylen SALTERS,Guilford College,g,Old Dominion Athletic Conference (ODAC),odac,26,26.5,23.77,3.62,1.96,2.0,0.15,2.1923076923076925,6.798228307293097,94
3,101,2025-26,Omari Deveaux,Virginia Wesleyan,G,Old Dominion Athletic Conference (ODAC),odac,27,34.74074074074074,21.19,4.59,2.7,1.04,0.26,1.8888888888888888,6.075926507998432,94
4,189,2025-26,Amari Moorer,Virginia Wesleyan,F,Old Dominion Athletic Conference (ODAC),odac,27,31.48148148148148,14.44,7.52,2.33,1.26,1.0,1.9259259259259256,5.14616721273434,93
5,253,2025-26,Dorian Davis,Shenandoah,G,Old Dominion Athletic Conference (ODAC),odac,25,31.48,14.52,7.24,0.96,1.36,0.68,1.2,4.660534079574521,92
6,270,2025-26,Jackson Bell,Roanoke College,G,Old Dominion Athletic Conference (ODAC),odac,28,30.214285714285715,16.0,5.39,1.64,1.18,0.39,1.1785714285714286,4.555590393304463,92
7,308,2025-26,Jackson Sellars,Averett University,G,Old Dominion Athletic Conference (ODAC),odac,25,31.28,14.76,6.16,2.72,1.36,0.68,2.36,4.253094894093372,91
8,363,2025-26,Gabe PROCTOR,Guilford College,g,Old Dominion Athletic Conference (ODAC),odac,26,27.192307692307693,16.81,4.19,1.88,1.31,0.08,1.6538461538461535,3.822539788089319,90
9,470,2025-26,Marcus Morgan,Roanoke College,G,Old Dominion Athletic Conference (ODAC),odac,26,27.346153846153847,11.69,5.77,3.46,1.12,0.35,1.8076923076923077,3.267547564322517,89
10,484,2025-26,Aaron BROOKS,Eastern Mennonite University,g,Old Dominion Athletic Conference (ODAC),odac,25,35.8,14.08,3.92,4.0,2.44,0.4,3.72,3.206644618453958,89
11,524,2025-26,Ellis Wright,Shenandoah,F,Old Dominion Athletic Conference (ODAC),odac,25,27.64,17.28,3.72,0.84,0.44,0.64,1.64,3.0252727021887784,88
12,622,2025-26,Ke EDWARDS,Guilford College,0,Old Dominion Athletic Conference (ODAC),odac,14,13.571428571428571,12.07,3.93,0.71,1.71,0.29,0.7142857142857143,2.6641727491009157,87
13,628,2025-26,Dawson EDWARDS,Guilford College,g,Old Dominion Athletic Conference (ODAC),odac,26,23.153846153846153,8.81,4.88,2.54,2.04,0.15,1.0384615384615383,2.6369864474457065,87
14,649,2025-26,Jabril Robinson,Randolph-Macon College,G,Old Dominion Athletic Conference (ODAC),odac,26,24.5,12.58,2.92,2.19,1.04,0.23,0.9230769230769232,2.536089378459239,87
15,651,2025-26,Connor Amorosi,Washington and Lee,F,Old Dominion Athletic Conference (ODAC),odac,26,29.846153846153847,16.5,4.27,1.35,0.77,0.46,2.3461538461538463,2.531634129489865,86
16,672,2025-26,Colin Ryan,Washington and Lee,F,Old Dominion Athletic Conference (ODAC),odac,25,29.16,9.8,5.56,5.12,0.64,0.28,2.24,2.451857282199666,86
17,681,2025-26,Rival AXSELLE,Guilford College,g,Old Dominion Athletic Conference (ODAC),odac,26,21.807692307692307,9.54,5.15,0.77,1.5,0.88,0.8846153846153846,2.4301384430813964,86
18,715,2025-26,Santana Lynch,Hampden-Sydney College,G,Old Dominion Athletic Conference (ODAC),odac,19,23.31578947368421,11.68,7.53,1.79,0.95,0.05,1.736842105263158,2.283170329491251,86
19,745,2025-26,Mason Mitchell,Averett University,G,Old Dominion Athletic Conference (ODAC),odac,26,31.192307692307693,11.62,5.12,1.46,0.73,0.62,1.3076923076923077,2.181684859606623,85
20,755,2025-26,Jahmir Brown,Bridgewater College,G,Old Dominion Athletic Conference (ODAC),odac,25,29.08,13.48,3.68,1.92,1.08,0.16,1.64,2.144139089843617,85
21,831,2025-26,Travis Stickney,Hampden-Sydney College,G,Old Dominion Athletic Conference (ODAC),odac,27,33.925925925925924,10.37,5.85,4.22,1.41,0.11,2.962962962962963,1.9196180898879665,84
22,881,2025-26,Addison Newkirk,Washington and Lee,F,Old Dominion Athletic Conference (ODAC),odac,25,25.88,9.28,7.24,0.84,1.24,0.44,1.36,1.7427088837556588,83
23,896,2025-26,Keishawn Pulley Jr.,Randolph-Macon College,G,Old Dominion Athletic Conference (ODAC),odac,28,25.392857142857142,10.36,3.75,1.79,0.96,0.04,0.5714285714285714,1.6909595453078214,83
24,965,2025-26,Aveion Tucker,Randolph College,G,Old Dominion Athletic Conference (ODAC),odac,19,32.473684210526315,12.89,3.32,4.11,0.74,0.0,2.736842105263158,1.4554578862739205,82
