rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,8,2025-26,Sam Grieger,UW-La Crosse,G,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,28,36.42857142857143,25.79,4.96,3.54,1.18,0.39,1.3928571428571428,9.598038346664923,97
2,167,2025-26,Dustin Derousseau,UW-La Crosse,G,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,28,33.92857142857143,15.64,4.61,2.75,1.86,1.43,2.607142857142857,5.288689160940951,93
3,240,2025-26,JJ Paider,UW-La Crosse,F,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,28,29.892857142857142,14.79,7.86,1.96,1.32,0.5,1.7857142857142858,4.734948539291472,92
4,241,2025-26,Collin Madson,UW-Whitewater,G,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,27,33.0,18.0,5.37,1.15,1.22,0.11,1.1851851851851851,4.734797813501789,92
5,314,2025-26,Seth Miron,UW-Stevens Point,G,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,26,33.30769230769231,14.77,4.73,3.62,1.12,0.27,1.8076923076923077,4.2078151134853625,91
6,361,2025-26,Josiah Butler,UW-Stevens Point,G,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,26,34.96153846153846,18.62,3.62,1.77,0.92,0.08,1.7307692307692308,3.8360320819705263,90
7,457,2025-26,Cal Krohn,UW-Stevens Point,F,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,13,30.076923076923077,15.85,4.15,2.0,0.46,0.31,1.3076923076923077,3.3228703480417776,89
8,516,2025-26,Brandon Beck,UW-Oshkosh,F,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,20,19.85,15.85,3.35,0.95,1.05,0.9,1.85,3.070764238246714,88
9,552,2025-26,Michael Metcalf-Grassman,UW-Oshkosh,G,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,20,22.15,14.35,3.95,1.0,1.4,0.8,1.85,2.9019692214420947,88
10,601,2025-26,Jack Leifker,UW-River Falls,C,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,23,25.043478260869566,13.52,5.61,1.04,0.26,0.96,1.391304347826087,2.7563082210418797,87
11,652,2025-26,Collin Vick,UW-Stout,G,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,26,31.03846153846154,6.85,8.04,4.15,1.96,0.0,2.1153846153846154,2.526112275200558,86
12,655,2025-26,Carter Lichtsinn,UW-Eau Claire,F,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,25,32.88,11.28,7.44,1.48,1.0,0.08,1.24,2.5232905947349384,86
13,668,2025-26,Joey Fuhremann,UW-Platteville,F,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,26,24.884615384615383,12.69,7.27,1.08,0.73,0.31,1.5384615384615383,2.481847943742706,86
