rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,9,"Cleveland,Noah",Illinois Wesleyan,College Conference of Illinois and Wisconsin (CCIW),cciw,23,32.34782608695652,18.96,11.35,2.04,1.65,1.87,2.260869565217391,9.37593366391546,97
2,44,"Funk,Mason",Illinois Wesleyan,College Conference of Illinois and Wisconsin (CCIW),cciw,27,30.37037037037037,15.3,6.22,2.37,1.81,2.59,2.0,7.606712058397061,95
3,56,"Richardson,Soren",Wheaton,College Conference of Illinois and Wisconsin (CCIW),cciw,26,35.11538461538461,22.42,4.23,2.85,1.54,0.42,2.0384615384615383,7.1093446216020775,94
4,91,"Johnson,Ryan",Carthage,College Conference of Illinois and Wisconsin (CCIW),cciw,25,32.56,15.0,9.68,2.76,0.96,0.92,1.8,6.183476098720437,94
5,95,"Thomann,Lane",Millikin,College Conference of Illinois and Wisconsin (CCIW),cciw,24,33.416666666666664,18.96,8.04,1.63,1.04,0.25,1.4583333333333333,6.111657400815166,94
6,100,"Vanlandingham,Kolden",North Park,College Conference of Illinois and Wisconsin (CCIW),cciw,27,31.96296296296296,16.93,6.22,4.89,1.93,0.22,2.8518518518518516,6.0768424432381005,94
7,114,"Vuckovic,Mike",North Park,College Conference of Illinois and Wisconsin (CCIW),cciw,26,34.46153846153846,19.85,4.38,4.5,1.23,0.12,2.576923076923077,5.877635071274668,94
8,147,"Smith,Lamar",Carroll,College Conference of Illinois and Wisconsin (CCIW),cciw,25,29.24,17.0,7.32,2.96,1.28,0.68,2.52,5.518526736630638,93
9,175,"Grier,Carson",Wheaton,College Conference of Illinois and Wisconsin (CCIW),cciw,26,30.192307692307693,14.19,6.81,2.31,1.54,0.58,1.2692307692307692,5.250854824911263,93
10,210,"Trelenberg,Dominic",Elmhurst,College Conference of Illinois and Wisconsin (CCIW),cciw,28,35.285714285714285,18.14,5.82,1.93,0.54,0.11,1.0357142857142858,4.971074165311717,92
11,256,"McNabb,Michael",Carroll,College Conference of Illinois and Wisconsin (CCIW),cciw,25,31.44,21.4,4.2,1.6,1.28,0.16,2.56,4.633000753584593,92
12,379,"Brooks,Riley",Carthage,College Conference of Illinois and Wisconsin (CCIW),cciw,26,29.692307692307693,17.54,5.31,1.08,0.54,0.08,1.1923076923076923,3.743978710901051,90
13,403,"Adjahoungbeta,Vinnie",Elmhurst,College Conference of Illinois and Wisconsin (CCIW),cciw,28,29.25,11.86,7.39,1.75,1.07,1.0,1.75,3.622216750234057,90
14,449,"Diaz,Alejandro",North Central,College Conference of Illinois and Wisconsin (CCIW),cciw,26,31.807692307692307,12.46,5.15,4.0,1.58,0.35,2.5384615384615383,3.370649614710903,89
15,479,"Colak,Karlo",Illinois Wesleyan,College Conference of Illinois and Wisconsin (CCIW),cciw,27,32.370370370370374,12.85,5.93,3.04,0.78,0.44,1.8888888888888888,3.2182445238369417,89
16,500,"Bullock,James",North Central,College Conference of Illinois and Wisconsin (CCIW),cciw,21,25.238095238095237,13.05,5.24,0.86,0.62,1.1,1.1428571428571428,3.126365629429451,88
17,582,"Straughter,Nate",Millikin,College Conference of Illinois and Wisconsin (CCIW),cciw,23,32.08695652173913,14.96,3.7,1.39,1.17,0.43,1.6956521739130437,2.7991208918632067,87
18,613,"Johnson,AJ",Carthage,College Conference of Illinois and Wisconsin (CCIW),cciw,24,30.333333333333332,13.04,4.33,2.0,0.92,0.17,1.0833333333333333,2.726519555906103,87
19,618,"Boone,Aidyn",Elmhurst,College Conference of Illinois and Wisconsin (CCIW),cciw,28,26.285714285714285,11.21,5.5,1.25,1.18,0.79,1.2857142857142858,2.6970552735175266,87
20,694,"Willems,Jake",Augustana,College Conference of Illinois and Wisconsin (CCIW),cciw,25,25.56,12.72,5.2,0.8,1.12,0.28,1.12,2.3916797922197417,86
21,704,"VanderWoude,Kyan",Wheaton,College Conference of Illinois and Wisconsin (CCIW),cciw,26,31.115384615384617,14.54,5.69,1.38,0.85,0.08,1.8846153846153848,2.335280707059695,86
22,764,"Klaver,Andre",Augustana,College Conference of Illinois and Wisconsin (CCIW),cciw,25,21.48,13.12,4.24,3.04,1.32,0.32,2.76,2.1278081662000203,85
23,974,"McKenna,Peyton",Carroll,College Conference of Illinois and Wisconsin (CCIW),cciw,25,31.96,10.12,2.64,2.2,1.72,0.28,1.56,1.4227964326686795,82
24,984,"Vance,Marquis",North Park,College Conference of Illinois and Wisconsin (CCIW),cciw,27,24.666666666666668,10.96,4.48,0.67,1.22,0.33,1.1851851851851851,1.3912716300526506,82
25,993,"Martin,Devin",Wheaton,College Conference of Illinois and Wisconsin (CCIW),cciw,26,31.23076923076923,9.27,3.0,4.73,0.73,0.23,2.0,1.3469766227416398,82
26,1029,"Naber,Jacob",Carroll,College Conference of Illinois and Wisconsin (CCIW),cciw,25,27.32,9.36,6.6,1.4,0.72,0.48,1.56,1.23240705108814,81
27,1042,"Ketchum,Chris",Millikin,College Conference of Illinois and Wisconsin (CCIW),cciw,24,19.708333333333332,8.96,5.21,1.25,1.33,0.71,1.7083333333333333,1.206334745251682,81
28,1078,"Anderson,Marieon",Augustana,College Conference of Illinois and Wisconsin (CCIW),cciw,25,25.52,10.04,4.04,0.92,0.72,0.36,0.72,1.0785021782040871,81
29,1110,"Campbell,Julian",North Park,College Conference of Illinois and Wisconsin (CCIW),cciw,26,17.153846153846153,9.54,4.81,0.65,0.31,0.81,0.8461538461538461,0.9906057608298708,80
30,1125,"Daun,Griffin",Carthage,College Conference of Illinois and Wisconsin (CCIW),cciw,26,24.653846153846153,6.85,5.12,2.23,1.12,0.31,1.0384615384615383,0.9694732600707294,80
31,1229,"Smith,Luke",Elmhurst,College Conference of Illinois and Wisconsin (CCIW),cciw,28,27.642857142857142,10.82,2.79,3.25,0.75,0.14,2.107142857142857,0.7116667070810043,79
32,1242,"Schlesinger,Chris",Carthage,College Conference of Illinois and Wisconsin (CCIW),cciw,26,20.73076923076923,7.19,3.73,2.46,0.46,0.69,0.9615384615384616,0.6943794045493957,79
33,1243,"Marlowe,Ethan",North Central,College Conference of Illinois and Wisconsin (CCIW),cciw,26,20.423076923076923,6.88,4.77,1.0,0.65,1.42,1.3076923076923077,0.6941059893855446,79
34,1267,"Molloy,Sean",North Central,College Conference of Illinois and Wisconsin (CCIW),cciw,26,30.5,9.15,4.31,2.04,1.08,0.15,1.6153846153846154,0.6272339198127839,78
35,1324,"Cornish,Lazario",North Park,College Conference of Illinois and Wisconsin (CCIW),cciw,19,21.842105263157897,6.95,4.74,0.74,0.89,1.21,1.3157894736842106,0.4953308183673582,77
36,1341,"Winkler,Ian",Millikin,College Conference of Illinois and Wisconsin (CCIW),cciw,19,24.526315789473685,11.68,1.84,2.58,1.0,0.21,2.263157894736842,0.4493893720336042,77
37,1412,"Niego,Jackson",Illinois Wesleyan,College Conference of Illinois and Wisconsin (CCIW),cciw,27,26.62962962962963,5.3,2.44,3.81,1.44,0.15,1.2592592592592593,0.2852845011738375,76
38,1457,"Atkinson,Cam",Augustana,College Conference of Illinois and Wisconsin (CCIW),cciw,25,26.08,11.68,2.48,0.68,0.52,0.2,1.16,0.149899333771238,76
39,1477,"Lawrence,Casen",Illinois Wesleyan,College Conference of Illinois and Wisconsin (CCIW),cciw,27,29.0,10.26,1.52,1.19,1.26,0.0,1.1111111111111112,0.0847048153152793,75
40,1575,"Nesbitt,Antuan",Carthage,College Conference of Illinois and Wisconsin (CCIW),cciw,24,27.5,9.0,3.04,2.0,0.71,0.25,1.6666666666666667,-0.2144847308389519,74
41,1643,"Blachut,Sebastian",Elmhurst,College Conference of Illinois and Wisconsin (CCIW),cciw,27,24.88888888888889,8.63,2.7,2.44,0.74,0.3,1.8888888888888888,-0.3521006627802194,73
42,1705,"Bland,Evan",Carroll,College Conference of Illinois and Wisconsin (CCIW),cciw,21,22.714285714285715,6.71,2.14,2.81,1.14,0.14,1.5238095238095235,-0.5114005684456897,72
43,1726,"Rhoden,Dom",Augustana,College Conference of Illinois and Wisconsin (CCIW),cciw,25,19.92,7.68,2.84,1.04,1.56,0.12,1.44,-0.5571385024951319,72
44,1742,"Estepp,Dennis",Carroll,College Conference of Illinois and Wisconsin (CCIW),cciw,25,23.52,6.2,3.24,1.52,1.52,0.28,1.48,-0.5955880825822583,72
45,1854,"Bates,William",North Park,College Conference of Illinois and Wisconsin (CCIW),cciw,25,26.32,10.0,2.56,1.36,0.88,0.0,1.92,-0.8354275327450752,70
46,1877,"Swierczek,Tyler",North Central,College Conference of Illinois and Wisconsin (CCIW),cciw,25,23.52,8.24,3.08,0.44,0.44,0.04,0.6,-0.912066595063647,70
47,1894,"Surin,Tyler",North Central,College Conference of Illinois and Wisconsin (CCIW),cciw,17,21.294117647058822,6.76,3.53,1.12,0.76,0.12,1.0,-0.9491271528095158,70
48,1983,"Wynja,Brady",Wheaton,College Conference of Illinois and Wisconsin (CCIW),cciw,26,18.346153846153847,5.62,5.35,0.5,0.23,0.54,0.9615384615384616,-1.14317249396933,69
49,2012,"Romero,Dani",Augustana,College Conference of Illinois and Wisconsin (CCIW),cciw,23,23.565217391304348,5.61,2.87,2.87,0.91,0.17,1.826086956521739,-1.2104491629946903,68
50,2039,"Aldana,Eli",Augustana,College Conference of Illinois and Wisconsin (CCIW),cciw,14,18.714285714285715,6.21,1.5,1.5,0.64,0.0,0.4285714285714285,-1.278932471207874,68
51,2111,"Spates,Tionne",Millikin,College Conference of Illinois and Wisconsin (CCIW),cciw,23,20.60869565217391,4.13,4.87,0.65,0.26,0.87,1.0,-1.4300786723483705,67
