rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,50,2025-26,"Laurent,Raphel",UMass Boston,G,Little East Conference (LEC),lec,26,36.80769230769231,22.38,5.12,2.46,2.0,0.46,2.3846153846153846,7.266357504859523,95
2,69,2025-26,"Cooper,Jordan",Keene State,G,Little East Conference (LEC),lec,28,31.035714285714285,21.25,5.18,2.25,1.96,0.32,2.2857142857142856,6.556360632945392,94
3,134,2025-26,"Radcliff,Will",VTSU Castleton,F,Little East Conference (LEC),lec,25,30.52,19.52,8.96,2.44,1.28,0.4,3.2,5.687971826290012,93
4,138,2025-26,"Perkins,Cameron",UMass Boston,F,Little East Conference (LEC),lec,26,35.23076923076923,22.0,5.85,1.5,1.12,0.58,2.730769230769231,5.601135992323538,93
5,156,2025-26,"Lynch,Tayejon",Western Connecticut,G,Little East Conference (LEC),lec,27,27.77777777777778,13.15,4.78,4.7,2.26,0.52,2.111111111111111,5.388996683432349,93
6,204,2025-26,"Reyes,Danny",UMass Dartmouth,G,Little East Conference (LEC),lec,25,32.08,15.6,6.12,4.88,1.44,0.24,2.84,5.019497228339692,92
7,245,2025-26,Thomas Whelan,Southern Maine,*,Little East Conference (LEC),lec,26,34.07692307692308,21.31,4.96,3.19,1.65,0.35,4.1923076923076925,4.70914477463936,92
8,275,2025-26,"Weeks,Tyriek",Rhode Island College,F,Little East Conference (LEC),lec,26,32.34615384615385,13.96,7.54,1.27,0.88,1.42,1.8076923076923077,4.533145059674667,92
9,284,2025-26,"Mendez,Xavier",Rhode Island College,F,Little East Conference (LEC),lec,26,27.153846153846153,16.92,9.04,1.96,1.19,0.38,2.9615384615384617,4.442786848384354,91
10,312,2025-26,"Sanchez,Julian",Eastern Connecticut,F,Little East Conference (LEC),lec,27,26.555555555555557,15.74,8.11,1.41,0.96,0.48,2.0,4.22718961962086,91
11,345,2025-26,"Flauto,Ryan",UMass Dartmouth,C,Little East Conference (LEC),lec,25,24.44,12.68,8.24,0.88,1.2,1.0,1.64,3.9401000608903822,91
12,374,2025-26,"Henry,Marcel",Western Connecticut,F,Little East Conference (LEC),lec,27,27.25925925925926,15.37,5.07,0.7,0.7,1.11,1.3703703703703705,3.7776135180393657,90
13,381,2025-26,"Sanders,Davon",UMass Boston,G,Little East Conference (LEC),lec,26,35.88461538461539,14.08,4.42,3.38,1.5,0.35,2.1538461538461537,3.7342806507838326,90
14,436,2025-26,Yansel Reyes,Plymouth State,*,Little East Conference (LEC),lec,23,30.0,17.87,4.0,3.78,1.57,0.09,3.652173913043478,3.49906193888977,89
15,453,2025-26,Noah Dowling,Southern Maine,0,Little East Conference (LEC),lec,26,25.576923076923077,11.5,6.04,1.5,1.31,0.77,1.2307692307692308,3.3478372139492674,89
16,469,2025-26,"Wainaina,Denis",Keene State,C,Little East Conference (LEC),lec,28,24.392857142857142,6.04,5.96,1.11,0.46,3.64,1.5357142857142858,3.2732573684775117,89
17,513,2025-26,"Hamblin,Jalen",Eastern Connecticut,F,Little East Conference (LEC),lec,27,27.0,14.33,6.52,1.56,0.89,0.63,2.185185185185185,3.0783047469262264,88
18,551,2025-26,"DiChiara,Camden",UMass Dartmouth,G,Little East Conference (LEC),lec,20,30.25,14.45,5.3,0.8,1.55,0.3,1.75,2.9042418105811767,88
19,568,2025-26,"Boyce,Nick",Western Connecticut,F,Little East Conference (LEC),lec,25,22.72,10.76,4.48,2.16,1.96,0.84,1.96,2.838567464610419,88
20,608,2025-26,Evans Sterling,Southern Maine,*,Little East Conference (LEC),lec,26,31.53846153846154,12.08,5.23,2.27,1.27,0.73,2.1153846153846154,2.7318924625289545,87
21,612,2025-26,"Dao,Dominick",Eastern Connecticut,G,Little East Conference (LEC),lec,27,30.11111111111111,13.3,3.85,2.3,1.3,0.44,1.851851851851852,2.729124524616842,87
22,699,2025-26,"Chaikin,Leo",Keene State,G,Little East Conference (LEC),lec,27,27.666666666666668,11.96,6.56,1.96,0.93,0.19,1.7037037037037035,2.3703059057293925,86
23,758,2025-26,"Dunbury,Camden",UMass Dartmouth,C,Little East Conference (LEC),lec,22,18.40909090909091,10.86,5.91,0.5,0.59,1.59,1.7272727272727273,2.137913510957616,85
24,776,2025-26,"Boyd,Nic",UMass Dartmouth,G,Little East Conference (LEC),lec,25,35.16,13.52,2.68,3.96,0.88,0.0,2.24,2.0956034081609456,85
25,812,2025-26,Gabe Lash,Southern Maine,*,Little East Conference (LEC),lec,26,32.11538461538461,9.85,5.85,2.19,1.35,0.42,1.8076923076923077,1.9780795737065031,84
26,816,2025-26,"Soltis,Drew",Eastern Connecticut,F,Little East Conference (LEC),lec,27,23.333333333333332,9.59,8.0,0.89,0.93,0.74,1.6296296296296295,1.953828980264748,84
27,909,2025-26,Brady Hulland,Plymouth State,*,Little East Conference (LEC),lec,24,24.333333333333332,10.5,4.63,1.25,1.25,0.54,1.4583333333333333,1.635106629957855,83
28,962,2025-26,Eli Pockette,Plymouth State,*,Little East Conference (LEC),lec,21,30.047619047619047,9.52,3.43,3.19,1.48,0.14,1.761904761904762,1.4683943484178208,82
29,1038,2025-26,Torran Bosworth,Plymouth State,*,Little East Conference (LEC),lec,25,29.16,12.36,2.64,1.44,1.2,0.04,1.4,1.2092797049675383,81
30,1069,2025-26,"Wilson,CJ",Rhode Island College,G,Little East Conference (LEC),lec,26,31.153846153846153,6.92,4.38,3.5,1.69,0.31,1.9615384615384617,1.1181945702652591,81
31,1198,2025-26,"Guillaume,Elijah",Western Connecticut,G,Little East Conference (LEC),lec,27,20.88888888888889,8.22,3.44,1.41,1.56,0.37,1.148148148148148,0.7913040980489108,79
32,1221,2025-26,Carter Galley,Southern Maine,0,Little East Conference (LEC),lec,26,23.807692307692307,11.73,3.04,1.27,1.04,0.0,1.4230769230769231,0.7316698519243591,79
33,1253,2025-26,"Chupas,Loudon",Rhode Island College,G,Little East Conference (LEC),lec,26,26.653846153846153,10.46,4.38,0.96,0.85,0.27,1.3846153846153846,0.6656870085444657,78
34,1270,2025-26,"Bom,Noe",Rhode Island College,G,Little East Conference (LEC),lec,24,33.375,12.63,3.42,3.04,1.04,0.08,3.125,0.6223425552099473,78
35,1314,2025-26,"Carter,Ray",Eastern Connecticut,G,Little East Conference (LEC),lec,26,26.692307692307693,11.81,2.12,1.35,1.04,0.12,1.5384615384615383,0.5168271525175087,78
36,1352,2025-26,"Morgan,Jahlyl",Western Connecticut,G,Little East Conference (LEC),lec,27,26.59259259259259,6.96,3.89,2.85,1.56,0.07,1.6666666666666667,0.4131734577087682,77
37,1375,2025-26,"Shettles,Mitch",Keene State,G,Little East Conference (LEC),lec,26,23.653846153846153,11.88,4.62,0.62,0.35,0.04,1.3461538461538465,0.3689567960039062,77
38,1502,2025-26,"Blakey,Ryan",Keene State,G,Little East Conference (LEC),lec,24,19.333333333333332,7.21,3.13,2.42,1.79,0.04,1.7916666666666667,0.0071122343626786,75
39,1539,2025-26,"Carothers,Michael",Eastern Connecticut,G,Little East Conference (LEC),lec,27,27.85185185185185,2.96,3.0,6.0,1.0,0.15,1.8148148148148149,-0.0971941523104101,75
40,1587,2025-26,"McNair,Mahdee",UMass Dartmouth,G,Little East Conference (LEC),lec,19,25.68421052631579,10.95,3.32,0.89,1.21,0.37,2.4210526315789473,-0.2351833957580316,74
41,1716,2025-26,"Porter,Kareem",Keene State,C,Little East Conference (LEC),lec,17,14.117647058823527,5.12,7.24,0.88,0.47,0.71,1.4705882352941178,-0.539855628539304,72
42,1833,2025-26,"Seiler,Ben",VTSU Castleton,G,Little East Conference (LEC),lec,25,24.96,11.44,2.48,0.68,0.56,0.04,1.76,-0.7991118444691293,71
43,1871,2025-26,Asante' Aurora,Plymouth State,0,Little East Conference (LEC),lec,24,18.541666666666668,6.58,2.96,1.21,1.13,0.08,1.0416666666666667,-0.8972550669479558,70
44,1896,2025-26,"Venezia,Skyler",UMass Boston,G,Little East Conference (LEC),lec,23,16.26086956521739,6.3,3.13,0.65,0.57,0.35,0.5217391304347826,-0.9542305206377256,70
45,1899,2025-26,Andrew Hartel,Southern Maine,*,Little East Conference (LEC),lec,23,18.652173913043477,6.09,4.39,1.0,0.22,0.91,1.391304347826087,-0.9640195206759972,70
46,1941,2025-26,"Maldonado,Elijah",VTSU Castleton,G,Little East Conference (LEC),lec,24,24.333333333333332,6.54,1.71,2.75,1.71,0.04,2.1666666666666665,-1.065280806538573,69
47,2010,2025-26,"Walden,Connor",UMass Boston,F,Little East Conference (LEC),lec,24,16.083333333333332,3.46,4.25,0.63,0.42,0.96,0.5833333333333334,-1.2004729030993824,68
48,2060,2025-26,"Bull,Jaeden",Western Connecticut,G,Little East Conference (LEC),lec,21,13.476190476190476,5.76,2.95,0.95,1.0,0.14,0.9047619047619048,-1.3215002318068323,68
49,2136,2025-26,"Peterson,Darius",UMass Dartmouth,G,Little East Conference (LEC),lec,25,18.16,5.2,1.96,0.8,0.76,0.4,0.52,-1.4801411293754438,67
50,2164,2025-26,Will Mollica,Plymouth State,*,Little East Conference (LEC),lec,23,19.08695652173913,3.22,3.7,1.43,0.83,0.48,0.9130434782608696,-1.5451021437963046,66
51,2203,2025-26,"Meczywor,Carson",UMass Boston,G,Little East Conference (LEC),lec,26,23.73076923076923,3.65,3.69,0.92,1.31,0.04,0.7692307692307693,-1.6398450654206966,66
52,2213,2025-26,"Buxton,Joe",VTSU Castleton,F,Little East Conference (LEC),lec,24,18.833333333333332,6.79,3.5,0.83,0.79,0.17,1.5416666666666667,-1.6612541648672268,66
53,2257,2025-26,Keegan Martinez,Plymouth State,0,Little East Conference (LEC),lec,24,13.958333333333334,4.71,3.21,0.58,0.79,0.38,0.8333333333333334,-1.7415561867152354,65
54,2311,2025-26,"Cordero,Steven",UMass Boston,G,Little East Conference (LEC),lec,25,15.08,3.84,2.08,1.04,1.28,0.28,0.84,-1.850649300114057,64
55,2320,2025-26,"Taitt-Christina,Avery",Western Connecticut,F,Little East Conference (LEC),lec,25,14.28,5.6,1.64,0.96,1.6,0.2,1.52,-1.868556878802102,64
56,2426,2025-26,Cohen Galley,Southern Maine,0,Little East Conference (LEC),lec,26,16.23076923076923,5.77,1.81,1.31,0.54,0.0,0.8461538461538461,-2.0561562799868742,63
57,2436,2025-26,"Thompson,Zach",VTSU Castleton,G,Little East Conference (LEC),lec,25,18.24,5.52,2.04,1.96,0.92,0.0,1.56,-2.0692329853980485,63
58,2538,2025-26,"Johnston,Liam",Keene State,F,Little East Conference (LEC),lec,28,17.607142857142858,4.71,2.61,0.89,0.32,0.11,0.5714285714285714,-2.270412765692466,61
59,2587,2025-26,"McKearin,Conner",VTSU Castleton,G,Little East Conference (LEC),lec,24,22.5,3.63,3.38,1.63,1.04,0.13,1.5833333333333333,-2.3537973217209647,61
60,2600,2025-26,"Bilodeau,Adam",VTSU Castleton,G,Little East Conference (LEC),lec,21,20.047619047619047,4.76,2.9,1.76,0.67,0.24,1.761904761904762,-2.3867566825505513,60
61,2613,2025-26,Caden Brown,Plymouth State,0,Little East Conference (LEC),lec,14,14.857142857142858,3.71,3.57,0.43,0.79,0.07,0.7142857142857143,-2.406954188728195,60
62,2625,2025-26,"Wright,Allyn",Keene State,G,Little East Conference (LEC),lec,28,14.464285714285714,4.93,1.29,1.71,0.61,0.07,1.0714285714285714,-2.4219371427479017,60
63,2726,2025-26,"Claude,Jalen",Rhode Island College,G,Little East Conference (LEC),lec,26,17.384615384615383,5.23,1.5,0.73,0.5,0.19,0.8846153846153846,-2.6243933220933977,59
64,2784,2025-26,"Moore,Nicholas",Western Connecticut,G,Little East Conference (LEC),lec,27,16.037037037037038,4.48,1.93,1.44,0.78,0.04,1.3703703703703705,-2.7744792983594837,58
65,2831,2025-26,Javari Ellison,Plymouth State,0,Little East Conference (LEC),lec,15,11.666666666666666,2.0,2.2,0.2,0.47,0.87,0.5333333333333333,-2.8521978388756972,57
66,2832,2025-26,"Paquette,Mike",Rhode Island College,G,Little East Conference (LEC),lec,26,15.423076923076923,3.62,2.19,1.15,0.54,0.0,0.7692307692307693,-2.854052480828508,57
67,2863,2025-26,"Williams,Joshua",Keene State,G,Little East Conference (LEC),lec,28,12.214285714285714,3.96,1.68,0.82,0.43,0.0,0.5,-2.919835857466711,57
68,2982,2025-26,"Sandhu,Armaan",Western Connecticut,G,Little East Conference (LEC),lec,27,12.88888888888889,2.44,1.33,0.89,0.63,0.04,0.2962962962962963,-3.15990637938848,55
69,2985,2025-26,"Jones,Javontae",Eastern Connecticut,G,Little East Conference (LEC),lec,27,10.74074074074074,2.74,1.52,1.59,0.63,0.04,0.8888888888888888,-3.1627151061830117,55
70,3024,2025-26,"Lussier,Ethan",VTSU Castleton,G,Little East Conference (LEC),lec,20,16.85,2.35,2.55,0.95,0.35,0.1,0.6,-3.268163920958899,55
71,3025,2025-26,"Perry,Pedro",Eastern Connecticut,G,Little East Conference (LEC),lec,25,12.6,4.16,1.48,0.88,0.32,0.0,0.76,-3.2700708567054093,55
72,3034,2025-26,"McLaren,Clayton",UMass Boston,G,Little East Conference (LEC),lec,20,12.15,1.5,1.4,0.95,0.9,0.15,0.5,-3.3110297606686285,55
73,3059,2025-26,"Doyle,Jackson",VTSU Castleton,,Little East Conference (LEC),lec,22,14.863636363636363,4.64,1.23,0.55,0.23,0.05,0.7272727272727273,-3.366459719398813,54
74,3147,2025-26,"Byrd,Corrie",UMass Boston,F,Little East Conference (LEC),lec,13,10.384615384615383,2.38,2.46,0.15,0.23,0.38,0.6153846153846154,-3.6015715823981456,53
75,3155,2025-26,"Prete,Kyle",Rhode Island College,G,Little East Conference (LEC),lec,26,10.384615384615383,4.12,1.12,0.15,0.23,0.19,0.6538461538461539,-3.631575677844412,53
76,3215,2025-26,Evan Berkeley,Plymouth State,0,Little East Conference (LEC),lec,25,11.16,3.12,1.12,0.76,0.2,0.04,0.6,-3.807783976329695,52
77,3238,2025-26,"Similien,Cedrick",Eastern Connecticut,G,Little East Conference (LEC),lec,26,11.692307692307692,3.0,0.96,0.69,0.23,0.08,0.6153846153846154,-3.8985183666696344,52
78,3301,2025-26,"Ogutuga,Isaac",Keene State,C,Little East Conference (LEC),lec,25,13.0,2.32,1.64,0.24,0.32,0.24,0.72,-4.0691033239242715,51
79,3304,2025-26,"Joseph,Strada",UMass Dartmouth,G,Little East Conference (LEC),lec,19,12.68421052631579,2.0,1.32,1.11,0.42,0.05,0.8947368421052632,-4.075985230966036,51
