rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
49,1997,"Okebiorun,Ife",Rowan,New Jersey Athletic Conference (NJAC),njac,27,19.666666666666668,3.52,4.59,0.37,0.26,1.52,1.037037037037037,-1.1752478364628836,69
50,2015,"Crawford,Makai",Rutgers-Camden,New Jersey Athletic Conference (NJAC),njac,22,20.681818181818183,5.14,3.18,1.86,0.68,0.45,1.2727272727272727,-1.221382679873368,68
51,2022,"Payoute,Jahmir",Stockton,New Jersey Athletic Conference (NJAC),njac,27,19.444444444444443,5.19,5.3,0.74,0.48,0.37,1.037037037037037,-1.2377770280182332,68
52,2050,"McSorley,Matt",NJCU,New Jersey Athletic Conference (NJAC),njac,25,17.28,3.84,3.48,0.8,0.92,0.44,0.52,-1.303166865049513,68
53,2120,"Hayes,CJ",Rowan,New Jersey Athletic Conference (NJAC),njac,22,14.545454545454543,7.77,2.09,0.64,1.0,0.18,1.3636363636363635,-1.4521901381097182,67
54,2162,"Rodriguez,Manny",Rutgers-Newark,New Jersey Athletic Conference (NJAC),njac,23,23.17391304347826,5.39,4.04,0.65,0.65,0.3,1.0,-1.5422261188376285,66
55,2199,"Williams,Arterio",NJCU,New Jersey Athletic Conference (NJAC),njac,23,17.47826086956522,6.78,4.0,0.48,0.22,0.17,0.9565217391304348,-1.6310895935080485,66
56,2232,Ryan Cassels,Montclair State,New Jersey Athletic Conference (NJAC),njac,27,14.592592592592592,7.0,1.41,0.67,0.7,0.04,0.6666666666666666,-1.694119623296689,65
57,2238,"Johnson,Devon",Stockton,New Jersey Athletic Conference (NJAC),njac,27,16.77777777777778,6.33,2.22,1.11,0.63,0.11,0.9629629629629628,-1.7066873755515617,65
58,2286,"Brown,Jayden",NJCU,New Jersey Athletic Conference (NJAC),njac,24,18.458333333333332,5.96,1.67,1.71,1.0,0.0,1.2916666666666667,-1.7996445256307507,65
59,2332,"Shelton,Brince",NJCU,New Jersey Athletic Conference (NJAC),njac,22,17.954545454545453,7.64,1.95,1.0,1.0,0.05,1.7272727272727273,-1.8946594264269772,64
60,2359,Kunga Tsering,Montclair State,New Jersey Athletic Conference (NJAC),njac,24,10.125,6.54,2.88,0.63,0.25,0.29,1.0416666666666667,-1.9415537801541256,64
61,2431,"O'Leary,Jack",Ramapo,New Jersey Athletic Conference (NJAC),njac,11,18.181818181818183,7.36,1.91,0.91,1.09,0.0,1.7272727272727273,-2.063556490414438,63
62,2444,"Lewis,Nahum",Ramapo,New Jersey Athletic Conference (NJAC),njac,21,17.19047619047619,7.71,2.57,1.0,0.38,0.38,1.9523809523809523,-2.0896605730973645,63
63,2449,"Moran,Jianni",William Paterson,New Jersey Athletic Conference (NJAC),njac,24,18.416666666666668,6.88,1.17,1.63,0.96,0.04,1.7083333333333333,-2.1013121300106943,62
64,2512,"Etienne,Gardy",Rutgers-Camden,New Jersey Athletic Conference (NJAC),njac,23,15.26086956521739,4.65,3.57,0.74,0.7,0.43,1.434782608695652,-2.2363788354850977,62
65,2555,"Clarke,Deaundre",Kean,New Jersey Athletic Conference (NJAC),njac,16,17.75,5.56,1.88,1.06,0.63,0.06,1.0,-2.29542554893622,61
66,2584,"Brown, Jr.,Marc",NJCU,New Jersey Athletic Conference (NJAC),njac,23,25.17391304347826,4.7,1.43,1.96,1.09,0.17,1.6521739130434785,-2.3482769827529824,61
67,2629,"Sylvester,Zahkai",Rutgers-Newark,New Jersey Athletic Conference (NJAC),njac,24,16.916666666666668,4.83,2.38,0.92,0.79,0.08,1.0833333333333333,-2.429843137228696,60
68,2734,"Rodriguez,Steve",Rutgers-Newark,New Jersey Athletic Conference (NJAC),njac,12,19.333333333333332,5.83,2.75,1.92,1.25,0.0,2.6666666666666665,-2.634309603477402,59
69,2751,"Yarus,Daniel",TCNJ,New Jersey Athletic Conference (NJAC),njac,21,15.0,4.19,2.33,0.19,0.29,0.1,0.1904761904761904,-2.6756468643132245,58
70,2753,"Dipasupil,Lucas",TCNJ,New Jersey Athletic Conference (NJAC),njac,23,11.695652173913045,4.3,2.04,0.65,0.78,0.04,0.782608695652174,-2.680010408089301,58
71,2758,"Pearson,Ty'Shawn",William Paterson,New Jersey Athletic Conference (NJAC),njac,25,20.48,5.16,3.24,2.52,1.16,0.16,3.08,-2.6884506071220393,58
72,2770,"McCarron,Chris",Rowan,New Jersey Athletic Conference (NJAC),njac,23,19.47826086956522,4.3,2.13,1.09,0.7,0.04,1.0434782608695652,-2.7259268050823264,58
73,2795,"Mangione,Mason",TCNJ,New Jersey Athletic Conference (NJAC),njac,27,12.77777777777778,4.67,0.89,0.26,0.37,0.11,0.1481481481481481,-2.7974034499304903,58
74,2841,Mason Thear,Montclair State,New Jersey Athletic Conference (NJAC),njac,27,10.962962962962964,3.59,1.85,0.93,0.85,0.0,0.8148148148148148,-2.8783706988814366,57
75,2933,"Ezike,Raymond",NJCU,New Jersey Athletic Conference (NJAC),njac,24,11.166666666666666,2.04,2.5,0.17,0.38,0.67,0.5,-3.0606310190814994,56
76,2938,"Milligan,Anthony",TCNJ,New Jersey Athletic Conference (NJAC),njac,21,11.142857142857142,2.95,1.9,0.24,0.33,0.38,0.3333333333333333,-3.0793448961444625,56
77,3001,"Kinchen Jr.,Demond",William Paterson,New Jersey Athletic Conference (NJAC),njac,24,11.916666666666666,3.71,2.42,0.17,0.29,0.13,0.5416666666666666,-3.2193385077862335,55
78,3071,"Philogene,Mekhi",NJCU,New Jersey Athletic Conference (NJAC),njac,26,13.692307692307692,4.12,1.38,0.73,0.81,0.0,1.1538461538461535,-3.380016583980158,54
79,3102,"Green,Isaiah",NJCU,New Jersey Athletic Conference (NJAC),njac,25,12.76,2.8,1.12,0.64,0.76,0.04,0.6,-3.4647795691768186,54
80,3127,"Robinson,Jordan",TCNJ,New Jersey Athletic Conference (NJAC),njac,24,10.583333333333334,2.63,1.63,0.79,0.63,0.33,1.0833333333333333,-3.5539299612562116,53
81,3154,"Brown,Preston",Rutgers-Newark,New Jersey Athletic Conference (NJAC),njac,14,12.142857142857142,4.71,1.86,0.64,0.57,0.14,1.6428571428571428,-3.630822686922674,53
82,3174,"Jones,Greg",Rutgers-Newark,New Jersey Athletic Conference (NJAC),njac,24,17.5,4.38,1.25,1.08,0.46,0.13,1.5416666666666667,-3.699596197535287,53
83,3244,"Richmond,Noah",Rutgers-Camden,New Jersey Athletic Conference (NJAC),njac,21,14.238095238095235,2.86,1.1,1.1,0.76,0.0,1.238095238095238,-3.909992142938109,52
84,3253,"Fessel,Alex",Stockton,New Jersey Athletic Conference (NJAC),njac,26,11.26923076923077,1.42,0.96,1.08,0.54,0.19,0.6923076923076923,-3.939741763535828,52
85,3265,"Kline,Ty",Kean,New Jersey Athletic Conference (NJAC),njac,23,11.130434782608695,1.39,1.87,0.48,0.7,0.0,0.5652173913043478,-3.976326614558885,52
86,3292,"Ambrosius,Chase",Rutgers-Camden,New Jersey Athletic Conference (NJAC),njac,22,11.545454545454543,3.55,1.05,0.41,0.23,0.0,0.7272727272727273,-4.052807567284042,51
87,3309,"Shuler,Keith",Ramapo,New Jersey Athletic Conference (NJAC),njac,18,10.88888888888889,3.17,1.11,0.33,0.39,0.11,0.8888888888888888,-4.126765199558631,51
88,3329,"Carey,Josiah",William Paterson,New Jersey Athletic Conference (NJAC),njac,25,16.52,3.12,1.56,2.28,0.56,0.04,2.32,-4.211062815720145,51
89,3375,"Crosby,Caleb",Rutgers-Camden,New Jersey Athletic Conference (NJAC),njac,19,12.578947368421051,2.42,0.68,0.53,0.21,0.11,1.4210526315789471,-5.245702905131384,50
