rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,59,"Baldwin,Corey",Cairn University,North Eastern Athletic Conference,north_eastern_athletic_c,28,33.035714285714285,16.0,7.86,2.75,2.14,0.82,1.7857142857142858,7.017878838480797,94
2,82,"Lewis,Marlon",Notre Dame of Maryland,North Eastern Athletic Conference,north_eastern_athletic_c,26,25.615384615384617,18.0,6.5,0.81,1.19,1.54,1.5769230769230769,6.293004751649394,94
3,84,"Hurst,Camden",Lancaster Bible College,North Eastern Athletic Conference,north_eastern_athletic_c,27,28.14814814814815,21.07,3.67,2.81,2.0,0.56,2.6296296296296298,6.282256724611024,94
4,133,"Pierce,Jalen",Wilson College,North Eastern Athletic Conference,north_eastern_athletic_c,27,33.888888888888886,16.19,5.63,3.44,1.78,0.26,1.7777777777777777,5.690586179176736,93
5,145,"Bowie,Jalen",Wilson College,North Eastern Athletic Conference,north_eastern_athletic_c,27,34.333333333333336,15.52,7.85,2.63,1.63,0.89,2.4814814814814814,5.522963321125438,93
6,159,"Simpson,Jaylon",Cairn University,North Eastern Athletic Conference,north_eastern_athletic_c,28,31.142857142857142,20.25,3.89,1.64,1.14,0.57,1.75,5.371199040068135,93
7,254,"Storr,Connor",Lancaster Bible College,North Eastern Athletic Conference,north_eastern_athletic_c,26,22.807692307692307,15.73,5.88,2.5,2.0,0.85,2.923076923076923,4.639583614816049,92
8,319,"Jones,Armani",Wilson College,North Eastern Athletic Conference,north_eastern_athletic_c,27,32.18518518518518,16.22,7.81,1.67,0.74,0.7,2.3703703703703702,4.146211262450198,91
9,340,"Golding,Jden",Keystone College,North Eastern Athletic Conference,north_eastern_athletic_c,27,34.03703703703704,17.19,6.15,3.07,1.3,0.15,3.074074074074074,3.9601519449664666,91
10,347,"Valencia, Jory",Gallaudet University,North Eastern Athletic Conference,north_eastern_athletic_c,18,31.0,12.67,4.5,6.5,1.94,0.44,3.8333333333333335,3.928032525809376,91
11,386,"Kelly,JoJo",Penn State Abington,North Eastern Athletic Conference,north_eastern_athletic_c,25,36.04,19.92,5.84,2.2,0.92,0.28,3.52,3.704540381184255,90
12,395,"Holland II,Corwin",Penn State Brandywine,North Eastern Athletic Conference,north_eastern_athletic_c,27,25.88888888888889,14.7,6.52,0.89,1.0,0.41,1.2592592592592593,3.654924111288967,90
