rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,11,2025-26,Ben Pearce,Emory,G,University Athletic Association (UAA),uaa,24,37.041666666666664,24.04,4.0,7.25,1.25,0.17,2.7083333333333335,9.314460948067945,96
2,34,2025-26,Tomiwa Adetosoye,Rochester,g,University Athletic Association (UAA),uaa,25,32.36,17.52,5.24,4.92,2.36,0.84,2.32,7.83562194800936,95
3,43,2025-26,Ethan Fauss,Emory,F,University Athletic Association (UAA),uaa,21,30.428571428571427,14.9,8.14,2.19,1.38,2.05,1.3333333333333333,7.623260050297486,95
4,51,2025-26,Jair Knight,Emory,G,University Athletic Association (UAA),uaa,25,33.52,18.96,6.36,2.28,1.6,0.84,1.48,7.253633714498323,94
5,66,2025-26,Shane Regan,Chicago,G,University Athletic Association (UAA),uaa,25,32.4,19.56,4.64,5.12,0.8,0.12,1.76,6.761087043492081,94
6,89,2025-26,Connor May,Washington St. Louis,F,University Athletic Association (UAA),uaa,25,32.6,17.2,7.04,2.0,1.4,0.92,1.68,6.237693697171553,94
7,93,2025-26,Elias Rodl,Brandeis,*,University Athletic Association (UAA),uaa,25,35.48,23.28,7.56,2.04,0.4,0.2,2.52,6.144083280353547,94
8,132,2025-26,Nikola Dimitrijevic,Carnegie Mellon,F,University Athletic Association (UAA),uaa,23,29.565217391304348,17.13,7.57,2.78,0.74,1.48,2.8260869565217392,5.694479039459331,93
9,154,2025-26,Ethan Edwards,Case Western Reserve,G,University Athletic Association (UAA),uaa,21,26.61904761904762,20.1,3.62,1.33,1.71,0.38,1.6666666666666667,5.419094680117124,93
10,174,2025-26,Alex Zakheim,Brandeis,*,University Athletic Association (UAA),uaa,25,34.68,18.2,4.76,3.84,1.28,0.16,2.32,5.259850009918535,93
11,225,2025-26,Carnegie Johnson,New York,G,University Athletic Association (UAA),uaa,23,32.391304347826086,15.83,4.57,4.22,1.48,0.13,2.130434782608696,4.8186029043637255,92
12,236,2025-26,Nick Roper,Chicago,G,University Athletic Association (UAA),uaa,21,30.142857142857142,15.71,7.48,1.52,0.76,0.67,1.4285714285714286,4.757890405821369,92
13,265,2025-26,Corvin Oprea,Rochester,g,University Athletic Association (UAA),uaa,25,31.52,17.84,6.16,1.8,1.0,0.16,1.76,4.582159553656984,92
14,357,2025-26,Luke Kolaja,New York,F,University Athletic Association (UAA),uaa,22,23.772727272727273,13.95,5.64,1.91,0.45,0.91,1.2272727272727273,3.847974017827633,90
15,372,2025-26,Mario Awasum,Emory,F,University Athletic Association (UAA),uaa,25,25.36,8.8,7.36,1.92,0.76,2.16,1.6,3.7950772039975695,90
16,450,2025-26,Buckley DeJardin,Carnegie Mellon,G,University Athletic Association (UAA),uaa,25,33.52,13.8,3.44,1.84,1.4,0.72,1.48,3.369072624589315,89
17,452,2025-26,Daniel Cochran,Chicago,F,University Athletic Association (UAA),uaa,25,26.68,10.48,7.52,2.04,0.68,0.88,1.2,3.3556407677775124,89
18,459,2025-26,AJ Harris,Emory,F,University Athletic Association (UAA),uaa,25,29.56,10.24,5.36,2.56,1.68,0.16,0.84,3.306320461785398,89
19,517,2025-26,Aedan Using,Brandeis,0,University Athletic Association (UAA),uaa,18,27.61111111111111,6.44,7.0,2.94,1.39,1.22,1.3333333333333333,3.0644741917996483,88
20,611,2025-26,Yogi Oliff,Washington St. Louis,G,University Athletic Association (UAA),uaa,22,24.454545454545453,7.77,7.18,4.64,1.09,0.09,1.6363636363636365,2.7302550984163787,87
21,647,2025-26,Evan Mirazimi,Carnegie Mellon,F,University Athletic Association (UAA),uaa,25,31.52,11.84,6.72,1.88,0.92,0.8,2.2,2.5432783741213782,87
22,654,2025-26,Alex Vincent,Case Western Reserve,F,University Athletic Association (UAA),uaa,24,23.875,10.42,7.42,1.67,0.25,1.58,2.0833333333333335,2.524298948551281,86
23,688,2025-26,Darren Rubin,New York,G,University Athletic Association (UAA),uaa,25,26.8,14.48,2.92,3.64,0.56,0.0,1.92,2.4147365198227875,86
24,717,2025-26,Andrew Waldman,New York,F,University Athletic Association (UAA),uaa,18,22.666666666666668,6.94,6.33,3.11,1.11,0.33,0.8333333333333334,2.2820447482038024,86
25,743,2025-26,Eamonn Kenah,Chicago,G,University Athletic Association (UAA),uaa,21,31.142857142857142,11.38,4.14,1.57,0.67,0.57,0.8571428571428571,2.1896655074634035,85
26,756,2025-26,Jordan Owusu,Rochester,0,University Athletic Association (UAA),uaa,25,25.84,11.92,3.2,1.52,1.24,0.64,1.36,2.1413396574385444,85
27,792,2025-26,Joe Berry,Chicago,G,University Athletic Association (UAA),uaa,25,31.4,9.36,3.48,3.36,0.96,0.52,1.28,2.0526507973404353,85
28,804,2025-26,Andrew Fox,Case Western Reserve,F,University Athletic Association (UAA),uaa,25,23.12,8.92,6.16,1.36,0.68,1.08,1.2,2.0089606482910587,84
29,818,2025-26,Sam Adusei,Carnegie Mellon,G,University Athletic Association (UAA),uaa,25,33.44,12.44,4.68,3.12,1.72,0.28,3.16,1.945345037567916,84
30,1055,2025-26,Bryan Moussako,New York,G,University Athletic Association (UAA),uaa,25,32.88,10.88,2.48,2.32,0.64,0.08,0.92,1.1541630415850928,81
31,1214,2025-26,Ryan Cohen,Washington St. Louis,G,University Athletic Association (UAA),uaa,25,30.96,11.04,2.92,1.36,0.44,0.12,0.76,0.7635510805342105,79
32,1265,2025-26,John Mayhew,Rochester,f,University Athletic Association (UAA),uaa,25,20.52,7.2,5.12,0.68,0.72,0.84,0.8,0.6295466930741385,78
33,1275,2025-26,Isaac Higgs,Carnegie Mellon,G,University Athletic Association (UAA),uaa,25,32.08,9.96,4.48,1.48,1.08,0.28,1.8,0.6132097446251703,78
34,1332,2025-26,Justin Odibo,Rochester,g,University Athletic Association (UAA),uaa,25,29.04,10.44,2.84,0.92,0.76,0.2,0.88,0.4711542715145725,77
35,1463,2025-26,Logan Brown,Case Western Reserve,F,University Athletic Association (UAA),uaa,21,21.61904761904762,5.14,7.0,1.14,0.62,0.62,1.0,0.1244295093955081,76
36,1476,2025-26,Matthew Ellis,Case Western Reserve,G,University Athletic Association (UAA),uaa,19,19.157894736842103,11.74,1.32,0.68,0.84,0.11,1.0526315789473684,0.0861110712782597,75
