rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,68,Brandon Harris,Russell Sage,Empire 8 (E8),e8,26,33.61538461538461,17.42,5.46,3.19,2.38,0.38,1.8461538461538465,6.661439474267106,94
2,88,"Lovelace,Lamar",Keuka,Empire 8 (E8),e8,28,32.857142857142854,21.82,6.0,2.61,1.5,0.04,2.5,6.267632712956079,94
3,110,"Rose,Anthony",Poly,Empire 8 (E8),e8,26,32.5,19.27,5.19,1.92,1.42,0.77,1.9615384615384617,5.908568828307754,94
4,129,"Pericolosi,Robert",Geneseo,Empire 8 (E8),e8,27,32.25925925925926,13.56,7.59,3.07,2.07,0.41,1.5925925925925926,5.718116346892283,93
5,185,"Brown,Kelton",Elmira,Empire 8 (E8),e8,25,31.4,17.8,7.32,3.36,2.08,0.48,3.84,5.173914545795685,93
6,214,"Garelle,Josh",Geneseo,Empire 8 (E8),e8,27,33.48148148148148,16.04,7.04,3.04,1.37,0.52,2.5185185185185186,4.949029980564016,92
7,222,Lou Bellamy,Houghton,Empire 8 (E8),e8,25,32.4,19.28,10.52,2.8,1.04,0.4,4.36,4.832679517327266,92
8,260,"Savage,Jaylen",Nazareth,Empire 8 (E8),e8,26,34.26923076923077,17.5,4.69,2.69,1.31,0.38,2.1923076923076925,4.621271890622254,92
9,274,"Teague,Liam",Utica,Empire 8 (E8),e8,24,30.625,12.75,7.04,2.04,0.92,1.58,1.875,4.533251659163056,92
10,281,Pape Tunkara,Russell Sage,Empire 8 (E8),e8,24,25.791666666666668,15.79,4.0,2.88,2.67,0.17,2.5416666666666665,4.469152160003274,91
11,323,"Insley,Luke",Nazareth,Empire 8 (E8),e8,26,30.03846153846154,11.46,2.42,6.85,0.85,0.04,1.3461538461538465,4.115088753977219,91
12,349,"Holly,Merritt",Nazareth,Empire 8 (E8),e8,26,29.73076923076923,14.77,10.81,0.58,0.5,0.54,1.9230769230769231,3.923002176428141,91
13,382,"Parks,Keyaton",Utica,Empire 8 (E8),e8,26,27.03846153846154,11.15,8.96,0.46,0.35,1.85,1.4615384615384617,3.72064731608052,90
14,464,"Cardello,Tyler",Elmira,Empire 8 (E8),e8,25,26.96,15.32,5.2,1.4,1.08,0.44,1.8,3.298594607450423,89
15,508,"Aybar,Pharell",Brockport,Empire 8 (E8),e8,28,27.214285714285715,11.64,4.25,3.29,1.61,0.43,1.8928571428571428,3.0867321272392014,88
16,523,"Cain,Jordan",Utica,Empire 8 (E8),e8,26,28.923076923076923,14.46,4.08,1.77,2.38,0.08,2.3076923076923075,3.0412766877852686,88
17,547,"Dyer,Camron",Brockport,Empire 8 (E8),e8,28,23.392857142857142,11.71,5.04,2.14,1.54,0.75,1.9285714285714288,2.9266802876998343,88
18,555,"Oka,Jacob",Brockport,Empire 8 (E8),e8,28,28.714285714285715,13.11,6.25,2.0,2.04,0.46,2.892857142857143,2.889253576288388,88
19,560,Khalel Noteman,Russell Sage,Empire 8 (E8),e8,26,27.423076923076923,13.19,7.42,0.35,1.15,0.46,1.5384615384615383,2.869168991925025,88
20,562,"Lucas,Robby",Hartwick,Empire 8 (E8),e8,25,32.12,13.48,5.36,3.48,1.16,0.04,2.4,2.8610774261120193,88
21,662,"Thompson,Dayion",Utica,Empire 8 (E8),e8,26,31.46153846153846,16.19,2.96,1.96,1.5,0.12,2.4615384615384617,2.5023260945135934,86
22,664,"Baitey,Zion",Alfred,Empire 8 (E8),e8,25,31.72,12.28,6.28,1.72,1.56,0.4,2.28,2.4944513829277515,86
23,692,"Comstock,Kamryn",Poly,Empire 8 (E8),e8,26,27.26923076923077,10.58,7.0,1.54,0.88,0.65,1.5384615384615383,2.392690219965683,86
24,759,"Michalski,Maximus",St. John Fisher,Empire 8 (E8),e8,27,25.37037037037037,12.04,6.19,0.85,0.59,1.89,2.814814814814815,2.133740199298864,85
25,773,Franlys Valenzuela,Alfred,Empire 8 (E8),e8,22,27.227272727272727,9.09,10.59,1.68,0.73,0.73,2.409090909090909,2.1039083668725187,85
26,799,Tyson Clark,Houghton,Empire 8 (E8),e8,25,31.16,15.64,3.16,2.2,1.24,0.08,2.6,2.0337378065060507,85
27,811,"White, Omar",Brockport,Empire 8 (E8),e8,27,27.40740740740741,7.3,4.81,2.19,1.89,1.0,1.6666666666666667,1.9781908308184,84
28,813,"Morrison,Makya",Keuka,Empire 8 (E8),e8,24,26.291666666666668,8.13,6.96,0.96,0.83,1.92,2.0416666666666665,1.9775623877085735,84
29,819,Donovan Loudermill,Houghton,Empire 8 (E8),e8,14,27.642857142857142,11.07,3.79,2.71,1.71,0.43,2.2857142857142856,1.944128255780176,84
30,903,"Nutifafa,Kaleb",Keuka,Empire 8 (E8),e8,28,25.428571428571427,9.82,7.11,1.43,0.64,1.07,2.142857142857143,1.6567200921937848,83
31,920,"Gitz,Mike",Hartwick,Empire 8 (E8),e8,25,25.84,12.52,2.96,0.92,0.84,0.16,0.72,1.605803297552668,83
32,940,"Bonin,Brian",Poly,Empire 8 (E8),e8,26,26.423076923076923,7.62,5.42,2.19,1.15,0.46,1.0769230769230769,1.5576135643160496,83
33,997,"Popoola,Akinlana",Keuka,Empire 8 (E8),e8,25,30.2,13.6,2.32,2.0,1.12,0.08,1.96,1.33777678750082,82
34,1036,Kyle Dhu,Russell Sage,Empire 8 (E8),e8,26,23.807692307692307,10.88,3.73,1.46,1.23,0.38,1.6153846153846154,1.2115160271119154,81
35,1061,Jeremy Rosario,Russell Sage,Empire 8 (E8),e8,26,21.846153846153847,8.73,4.77,0.69,0.85,0.96,1.0769230769230769,1.1331870270151263,81
36,1080,"Babcock,JJ",Elmira,Empire 8 (E8),e8,25,24.2,6.28,6.6,2.72,0.6,1.08,1.92,1.0693502169031746,81
37,1098,Jake Verschoyle,Houghton,Empire 8 (E8),e8,25,30.64,12.04,3.16,2.08,0.84,0.56,2.28,1.0109929752516782,81
38,1163,"Hofer,Trevor",Geneseo,Empire 8 (E8),e8,27,24.14814814814815,13.11,2.41,1.56,1.04,0.0,1.7777777777777777,0.886991750040174,80
39,1169,"Karkari-Mensah,Emmanuel",Elmira,Empire 8 (E8),e8,23,30.434782608695652,9.96,4.13,2.0,1.22,0.22,1.826086956521739,0.8721636204904393,80
40,1271,"Samuels,Marqiis",Poly,Empire 8 (E8),e8,26,29.576923076923077,9.5,3.46,3.31,1.46,0.15,2.576923076923077,0.6220443934346966,78
41,1386,"Curran,Tyler",Alfred,Empire 8 (E8),e8,24,31.125,12.33,4.08,2.96,0.79,0.13,3.25,0.3499222105883297,77
42,1390,"McFarlane,Solomon",Nazareth,Empire 8 (E8),e8,26,25.115384615384617,8.27,2.69,1.04,1.46,0.12,0.7307692307692307,0.3426452245680364,77
43,1460,"Putney,Tyler",Nazareth,Empire 8 (E8),e8,25,23.88,9.6,3.04,0.44,0.76,0.2,0.64,0.1333990956887455,76
44,1484,"Mercer,Alec",Elmira,Empire 8 (E8),e8,25,23.36,10.8,2.16,0.64,0.88,0.08,0.96,0.0656652928376576,75
45,1520,"McCardle,Ryan",Utica,Empire 8 (E8),e8,26,23.23076923076923,7.88,2.73,1.12,0.92,0.31,0.7307692307692307,-0.0475236858949567,75
46,1538,"Gidney,Mekhi",St. John Fisher,Empire 8 (E8),e8,25,21.4,9.8,3.92,0.68,0.6,0.24,1.24,-0.0928882856141113,75
47,1597,"Violante,Andrew",St. John Fisher,Empire 8 (E8),e8,27,23.40740740740741,9.33,2.93,1.63,1.67,0.04,2.185185185185185,-0.263748107631777,74
48,1611,Deavion Springsteen,Russell Sage,Empire 8 (E8),e8,13,18.076923076923077,6.54,2.0,2.31,1.31,0.08,1.0,-0.2863318427529595,74
49,1635,"Schneider,Max",St. John Fisher,Empire 8 (E8),e8,26,28.307692307692307,6.35,2.58,3.35,1.23,0.04,1.6538461538461535,-0.3295633736018042,73
50,1636,"McCaffrey,Jonathan",St. John Fisher,Empire 8 (E8),e8,27,24.814814814814813,6.96,5.11,1.15,0.59,0.56,1.4074074074074074,-0.3397741455392116,73
51,1666,"Leonard,Kesean",Hartwick,Empire 8 (E8),e8,24,25.333333333333332,9.58,2.79,2.38,0.83,0.08,2.125,-0.4205743829394719,73
52,1687,"Flemming,Ajani",Brockport,Empire 8 (E8),e8,27,22.59259259259259,8.33,1.96,1.63,1.0,0.11,1.1851851851851851,-0.4809775494968364,73
53,1713,"Janes,Jack",St. John Fisher,Empire 8 (E8),e8,27,16.074074074074073,6.52,3.26,1.0,0.81,0.78,1.1851851851851851,-0.5303319217077882,72
54,1747,Adam Myers,Russell Sage,Empire 8 (E8),e8,22,18.59090909090909,5.5,2.45,3.05,1.18,0.23,1.5454545454545454,-0.6197273267364892,72
55,1750,Ben Aprilante,Russell Sage,Empire 8 (E8),e8,25,18.8,4.4,5.44,0.84,0.84,0.48,0.76,-0.639046068812537,72
56,1753,"Evans,Marco",Brockport,Empire 8 (E8),e8,11,14.454545454545457,7.09,3.55,1.09,0.73,0.36,1.0909090909090908,-0.6432390425948361,72
57,1828,"Barnwell,Samaj",Hartwick,Empire 8 (E8),e8,23,15.782608695652174,7.0,2.87,0.61,0.48,0.48,0.6086956521739131,-0.7964138182935483,71
58,1865,"Yearwood,Justin",Geneseo,Empire 8 (E8),e8,23,20.60869565217391,7.04,4.35,0.57,0.61,0.22,0.9565217391304348,-0.8802028162054313,70
59,1867,"Manolopoulos,Emmanouil",Houghton,Empire 8 (E8),e8,10,32.6,8.1,3.5,3.8,1.2,0.1,3.4,-0.8834436792958744,70
60,1928,"Hydara,Oumaru",Poly,Empire 8 (E8),e8,25,18.32,10.0,2.44,1.08,0.72,0.08,1.84,-1.0328516043438958,69
61,1946,"Ademiju,Josh",Alfred,Empire 8 (E8),e8,14,14.071428571428571,5.07,6.71,0.43,0.14,0.29,0.7142857142857143,-1.0737218190053643,69
62,1973,"Gentile,Colin",Geneseo,Empire 8 (E8),e8,26,24.076923076923077,7.69,2.62,0.77,0.65,0.23,1.0384615384615383,-1.1260938007066996,69
63,2030,"Scanlon,William",Poly,Empire 8 (E8),e8,26,21.73076923076923,7.92,1.35,0.69,0.77,0.12,0.7692307692307693,-1.253738084620116,68
64,2070,"Williams,Noreon",Keuka,Empire 8 (E8),e8,12,11.666666666666666,5.75,2.67,0.75,0.42,0.33,0.4166666666666667,-1.3411717543377202,68
65,2072,Hudson Idzi,Houghton,Empire 8 (E8),e8,20,26.8,4.6,4.35,1.8,0.65,0.55,1.6,-1.344276416414551,68
66,2098,"Hayes,Alex",St. John Fisher,Empire 8 (E8),e8,27,17.40740740740741,8.19,2.74,1.44,0.3,0.26,1.6296296296296295,-1.3985931839080212,67
67,2112,"Bartone,Alec",Poly,Empire 8 (E8),e8,25,10.04,2.8,2.64,0.84,0.44,1.12,0.36,-1.4322283931770512,67
68,2189,"Etienne,TJ",Hartwick,Empire 8 (E8),e8,23,15.478260869565217,6.96,3.87,0.78,0.65,0.52,1.9130434782608696,-1.5964671421686731,66
69,2247,"Thomas,Xymier",Hartwick,Empire 8 (E8),e8,25,15.96,5.44,4.68,1.52,0.48,0.0,1.4,-1.717552184656255,65
70,2268,"Pownall,Cameron",Brockport,Empire 8 (E8),e8,27,10.814814814814817,4.63,2.44,0.37,0.19,0.93,0.5555555555555556,-1.7627334043142926,65
71,2361,"VanKerkhove,Quinn",Keuka,Empire 8 (E8),e8,27,15.74074074074074,5.63,1.04,0.74,0.78,0.04,0.3703703703703703,-1.9448033516626464,64
72,2393,"Amica,Christian",Brockport,Empire 8 (E8),e8,27,15.592592592592592,5.52,2.19,0.67,0.56,0.15,0.6296296296296297,-1.9990739308301668,63
73,2466,"Clancy,Jack",Brockport,Empire 8 (E8),e8,27,18.62962962962963,4.48,2.59,1.3,0.78,0.04,0.925925925925926,-2.1305133347590814,62
74,2504,"Picco,Gennaro",Alfred,Empire 8 (E8),e8,23,19.347826086956523,6.48,1.35,1.35,0.61,0.13,1.3478260869565215,-2.22089625809712,62
75,2509,"Polson,Malachi",Hartwick,Empire 8 (E8),e8,25,15.32,5.52,1.92,1.24,0.6,0.04,1.0,-2.23250214152055,62
76,2537,"Casey,Jackson",Geneseo,Empire 8 (E8),e8,27,25.074074074074073,4.0,1.52,2.78,0.52,0.04,1.1851851851851851,-2.269383752558833,61
77,2576,"Wilkins,Jude",Elmira,Empire 8 (E8),e8,24,14.916666666666666,5.58,2.29,0.75,0.63,0.0,0.9166666666666666,-2.333771582071912,61
78,2609,"Junious-Fuller,Malik",Keuka,Empire 8 (E8),e8,26,21.153846153846153,3.92,2.65,1.46,1.27,0.04,1.5,-2.398644407716569,60
79,2627,"Jones,Jaiyden",Geneseo,Empire 8 (E8),e8,23,13.73913043478261,4.87,2.3,0.39,0.43,0.04,0.391304347826087,-2.4279878794665333,60
80,2646,James Wang,Houghton,Empire 8 (E8),e8,10,16.6,4.6,2.3,0.8,0.6,0.3,1.0,-2.446792822129683,60
81,2678,"Schillaci,Giovanni",St. John Fisher,Empire 8 (E8),e8,24,12.708333333333334,5.0,0.79,0.75,0.42,0.04,0.25,-2.5182430294742386,59
82,2703,"Lord,Zyon",Utica,Empire 8 (E8),e8,25,15.32,4.48,2.04,0.52,0.24,0.6,0.84,-2.568581579587038,59
83,2760,"Fay,Louis",St. John Fisher,Empire 8 (E8),e8,25,14.28,3.12,3.28,0.6,0.88,0.04,0.8,-2.691961670446286,58
84,2761,"Gilbert,Nolan",Alfred,Empire 8 (E8),e8,25,19.2,5.28,1.88,0.68,0.12,0.08,0.6,-2.7020790497442206,58
85,2764,"Thomas,Daemon",Elmira,Empire 8 (E8),e8,25,17.6,3.08,3.36,1.0,0.48,0.36,1.08,-2.7111899868662084,58
86,2773,"Purdie,Nick",Nazareth,Empire 8 (E8),e8,25,12.08,3.0,2.28,0.16,0.8,0.16,0.28,-2.7322462548379165,58
87,2843,Sidney Lebonzo,Russell Sage,Empire 8 (E8),e8,26,12.115384615384617,3.73,2.85,0.42,0.31,0.35,0.8076923076923077,-2.883823687582608,57
88,2922,"Hicks,Robby",Alfred,Empire 8 (E8),e8,21,11.38095238095238,6.0,0.48,0.19,0.33,0.0,0.5238095238095238,-3.034722612387899,56
89,2960,"Hind,Tyler",Alfred,Empire 8 (E8),e8,25,21.8,5.48,1.56,1.44,0.52,0.08,1.76,-3.131121025960264,56
90,2973,"Paolillo,Keegan",Hartwick,Empire 8 (E8),e8,24,10.541666666666666,3.58,2.83,0.67,0.13,0.38,1.0,-3.144383992991462,55
91,2975,"McFarland,Zachary",Nazareth,Empire 8 (E8),e8,26,11.153846153846152,4.77,0.88,0.08,0.5,0.04,0.4230769230769231,-3.152372687036066,55
92,3028,"Graham,AJ",Elmira,Empire 8 (E8),e8,24,11.416666666666666,2.75,2.04,0.5,0.54,0.17,0.5833333333333334,-3.28457169968072,55
93,3032,"Frame,Jackson",Hartwick,Empire 8 (E8),e8,20,10.4,2.2,2.3,0.75,0.2,0.15,0.3,-3.3015027688018175,55
94,3049,"Wittman,Ben",Utica,Empire 8 (E8),e8,24,12.625,2.21,2.21,0.92,0.33,0.38,0.7916666666666666,-3.3422316895038087,54
95,3056,"Barasa,Griffin",Utica,Empire 8 (E8),e8,26,17.03846153846154,2.38,1.42,1.65,0.65,0.15,1.0769230769230769,-3.360545379596278,54
96,3081,"Hardinson,Cosmo",Hartwick,Empire 8 (E8),e8,23,13.782608695652174,3.78,1.87,0.61,0.39,0.13,0.9130434782608696,-3.4089742099679423,54
97,3105,"Reed,Marcus",Keuka,Empire 8 (E8),e8,26,10.0,3.12,1.35,0.42,0.31,0.31,0.5769230769230769,-3.4684882974099027,54
98,3108,"McLaurin,Joey",Hartwick,Empire 8 (E8),e8,18,11.22222222222222,2.61,1.33,1.72,0.39,0.06,0.9444444444444444,-3.474676316172585,54
99,3124,"Brunken,Landon",Geneseo,Empire 8 (E8),e8,27,10.185185185185183,3.52,0.96,0.96,0.33,0.04,0.7037037037037037,-3.5474005735742367,53
100,3150,"Siamashvili,Andria",Alfred,Empire 8 (E8),e8,18,14.61111111111111,3.94,2.33,0.67,0.22,0.17,1.2222222222222223,-3.6044408197734543,53
101,3165,"LaBarge,Ty",Keuka,Empire 8 (E8),e8,26,10.346153846153848,1.35,2.69,0.81,0.31,0.08,0.5,-3.6899742532530646,53
102,3169,"Welch,Chase",Keuka,Empire 8 (E8),e8,24,14.791666666666666,3.25,1.63,0.79,0.46,0.08,1.0,-3.691319761126048,53
103,3187,"Burton,James",Geneseo,Empire 8 (E8),e8,12,11.083333333333334,2.83,1.17,0.42,0.25,0.08,0.3333333333333333,-3.738886851447351,53
104,3239,"Rahmaan,Wallace",Geneseo,Empire 8 (E8),e8,18,13.0,2.06,1.33,0.72,0.56,0.06,0.6666666666666666,-3.899301678805877,52
105,3245,"Toure,Abdoul",Alfred,Empire 8 (E8),e8,22,14.272727272727272,2.64,1.36,0.68,0.73,0.27,1.2727272727272727,-3.9127104996324937,52
106,3266,Ioannis Galanis,Houghton,Empire 8 (E8),e8,22,15.181818181818182,1.55,1.95,0.5,0.32,0.23,0.5909090909090909,-3.9764924639981607,52
107,3271,"Smith,Isaiah",Utica,Empire 8 (E8),e8,24,11.083333333333334,3.0,1.33,0.88,0.38,0.0,0.9583333333333334,-3.9803945047369127,51
108,3275,Jair Bialek,Houghton,Empire 8 (E8),e8,21,14.857142857142858,1.62,1.14,0.76,0.43,0.1,0.4761904761904761,-3.9891417388235832,51
109,3297,"Eldaye,Gabe",Alfred,Empire 8 (E8),e8,16,14.8125,2.19,1.56,0.81,0.19,0.25,0.875,-4.060140868318391,51
110,3370,"Dowdall,Steven",Poly,Empire 8 (E8),e8,21,11.38095238095238,1.38,0.71,0.57,0.38,0.0,0.7142857142857143,-4.822222616746094,50
