rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,73,2025-26,David Kearney,McDaniel,F,Centennial Conference,centennial_conference,26,32.76923076923077,17.46,6.81,1.27,1.92,1.35,1.9615384615384617,6.532745670042786,94
2,131,2025-26,Charlie Jackson,Johns Hopkins,G,Centennial Conference,centennial_conference,27,29.814814814814813,18.89,7.37,2.0,1.7,0.59,2.7777777777777777,5.700971247336765,93
3,180,2025-26,Mohamed Toure,Ursinus,G,Centennial Conference,centennial_conference,27,28.48148148148148,17.33,5.93,0.96,1.07,1.0,1.4814814814814814,5.193024312557164,93
4,267,2025-26,Adam Strong-Jacobson,Haverford,F,Centennial Conference,centennial_conference,25,22.76,12.04,8.08,1.4,1.08,1.56,1.64,4.57050960855848,92
5,320,2025-26,Wyatt Eglinton Manner,Johns Hopkins,G,Centennial Conference,centennial_conference,27,28.074074074074073,13.19,5.56,3.37,1.37,0.26,1.5925925925925926,4.144900208287119,91
6,387,2025-26,Kevin Nowoswiat,Franklin & Marshall,G,Centennial Conference,centennial_conference,27,34.111111111111114,16.22,7.37,2.52,1.04,0.15,2.7777777777777777,3.687552515159135,90
7,447,2025-26,Jamie Murphy,Ursinus,G,Centennial Conference,centennial_conference,27,29.333333333333332,16.3,6.59,2.52,1.7,0.3,3.5555555555555554,3.4175845529824413,89
8,487,2025-26,Eddie Paquette,Swarthmore,G,Centennial Conference,centennial_conference,26,25.884615384615383,15.04,5.85,1.85,1.08,0.04,1.8076923076923077,3.1871453891383585,89
9,522,2025-26,Dane Moran,Dickinson,F,Centennial Conference,centennial_conference,25,25.72,14.92,8.2,0.84,0.64,1.12,2.88,3.0417427707944524,88
10,583,2025-26,Aidan Mess,Gettysburg,F,Centennial Conference,centennial_conference,26,20.384615384615383,9.04,7.15,1.62,0.69,1.73,1.7692307692307692,2.798975150986153,87
11,698,2025-26,Vakaris Grauslys,Franklin & Marshall,G,Centennial Conference,centennial_conference,27,31.88888888888889,13.0,3.44,3.48,1.48,0.37,2.7037037037037037,2.3774739568083945,86
12,762,2025-26,Nick Nocito,Ursinus,G,Centennial Conference,centennial_conference,27,28.88888888888889,11.52,3.81,5.59,1.7,0.07,3.592592592592593,2.130797483177858,85
13,826,2025-26,Peter Stanton-Shepherd,Muhlenberg,F,Centennial Conference,centennial_conference,25,29.2,9.92,6.84,1.44,0.84,0.52,1.4,1.935778111295953,84
14,864,2025-26,Jack Woodard,Muhlenberg,F,Centennial Conference,centennial_conference,25,29.16,11.0,5.0,1.96,0.4,1.0,1.8,1.8201524737679629,84
15,886,2025-26,Ray Zamloot,Gettysburg,G,Centennial Conference,centennial_conference,27,31.074074074074073,11.81,4.26,1.44,1.22,0.33,1.5925925925925926,1.73255832799675,83
16,948,2025-26,Drew Buck,Muhlenberg,G,Centennial Conference,centennial_conference,25,31.76,11.92,3.52,1.16,1.16,0.4,1.44,1.529823442006477,83
17,1046,2025-26,Jon Nalty,Washington College,G,Centennial Conference,centennial_conference,25,26.36,11.32,3.52,1.68,1.84,0.0,1.96,1.1979121095793517,81
18,1059,2025-26,Matthew Field,Ursinus,F,Centennial Conference,centennial_conference,27,21.703703703703702,7.41,5.59,1.04,0.85,0.96,1.037037037037037,1.1471240222605177,81
19,1070,2025-26,Jaedon Harris,Washington College,G,Centennial Conference,centennial_conference,25,20.6,9.04,2.36,2.16,2.4,0.04,1.64,1.1149719399880562,81
20,1083,2025-26,Nolan Waldon,Washington College,G,Centennial Conference,centennial_conference,20,26.8,12.75,1.85,2.5,2.15,0.0,2.85,1.0655225643555906,81
21,1152,2025-26,Tanti Felli,Johns Hopkins,G,Centennial Conference,centennial_conference,26,24.346153846153847,8.85,4.35,0.92,0.81,0.81,1.1153846153846154,0.9112351742847272,80
22,1202,2025-26,Max Portnoy,Washington College,G,Centennial Conference,centennial_conference,25,26.96,8.52,5.44,2.64,1.16,0.48,2.4,0.7889309939214828,79
23,1217,2025-26,Caleb Gillus,Gettysburg,G,Centennial Conference,centennial_conference,23,28.565217391304348,11.3,2.87,3.09,0.96,0.13,2.347826086956522,0.7603004863707854,79
24,1269,2025-26,Nate Williams,Gettysburg,G,Centennial Conference,centennial_conference,13,24.923076923076923,9.08,3.92,0.85,1.77,0.23,1.4615384615384617,0.6223836584556224,78
25,1291,2025-26,Steve Donahue,Franklin & Marshall,G,Centennial Conference,centennial_conference,27,28.185185185185187,12.22,2.7,1.33,1.19,0.11,1.9259259259259256,0.5825435710848602,78
26,1298,2025-26,Jeb Williams,Johns Hopkins,G,Centennial Conference,centennial_conference,27,26.88888888888889,8.93,3.89,0.89,1.48,0.52,1.5555555555555556,0.555539642240348,78
27,1307,2025-26,Franklin Jones,Franklin & Marshall,F,Centennial Conference,centennial_conference,27,23.185185185185187,5.85,5.0,1.15,1.52,0.78,1.2592592592592593,0.5333351005413323,78
28,1323,2025-26,Zander Jimenez,Swarthmore,G,Centennial Conference,centennial_conference,18,25.27777777777778,12.67,4.44,0.83,0.78,0.11,2.0555555555555554,0.4996964499745185,78
29,1381,2025-26,Juan Ruiz,Dickinson,F,Centennial Conference,centennial_conference,21,16.047619047619047,6.38,6.76,1.24,0.52,0.86,1.4285714285714286,0.359360613289514,77
