rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,18,"Overby,Tanner",Willamette,Northwest Conference (NWC),nwc,22,28.681818181818183,24.64,4.86,3.23,2.32,0.41,2.409090909090909,8.880209136538944,95
2,104,"Hrboka,Anthony",Pacific,Northwest Conference (NWC),nwc,25,35.64,20.72,2.64,3.24,2.12,0.04,2.16,6.032713003672005,94
3,135,"Vacco,Max",Pacific,Northwest Conference (NWC),nwc,24,28.5,10.42,5.46,5.17,3.04,0.5,2.0,5.670170245249216,93
4,140,"Kapranos,Charlie",Pacific Lutheran ,Northwest Conference (NWC),nwc,17,30.176470588235293,13.82,8.29,4.35,1.24,0.41,2.0588235294117645,5.585340387239379,93
5,170,"Cooks,Donovan",George Fox ,Northwest Conference (NWC),nwc,18,30.833333333333332,19.33,3.78,3.89,1.33,0.11,2.4444444444444446,5.267752659572222,93
6,181,"Nyquist,Ben",Whitworth,Northwest Conference (NWC),nwc,27,27.444444444444443,11.85,4.3,3.56,3.37,0.11,1.4814814814814814,5.185593257940223,93
7,217,"Treadwell,Andre",Lewis & Clark,Northwest Conference (NWC),nwc,20,29.75,18.55,6.6,1.1,0.75,0.35,1.45,4.915368584336469,92
8,218,"White,Justin",Lewis & Clark,Northwest Conference (NWC),nwc,22,27.59090909090909,12.73,7.05,2.73,1.82,0.95,2.0454545454545454,4.8826742570269905,92
9,220,"Behil,Stephen",Whitworth,Northwest Conference (NWC),nwc,27,28.74074074074074,17.07,7.37,2.0,1.0,0.3,1.8888888888888888,4.858146024030094,92
10,227,"Bateman,Caden",Whitworth,Northwest Conference (NWC),nwc,27,24.074074074074073,12.52,7.96,1.44,0.7,1.26,0.925925925925926,4.797023832967962,92
11,388,"Tellez,Ben",Pacific Lutheran ,Northwest Conference (NWC),nwc,25,31.0,17.96,3.8,2.0,1.16,0.2,2.16,3.6855253594051383,90
12,425,"Miller,Zane",Puget Sound,Northwest Conference (NWC),nwc,26,28.884615384615383,13.19,4.85,3.15,1.15,0.23,1.5384615384615383,3.545341099305081,89
13,435,"Rutherfurd,Hugo",Puget Sound,Northwest Conference (NWC),nwc,25,27.44,13.16,5.44,1.04,0.24,2.04,1.76,3.508993765738027,89
14,439,"Gray,Lucas",Pacific,Northwest Conference (NWC),nwc,25,28.12,11.76,2.96,3.04,2.92,0.2,1.92,3.488714068859628,89
