rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,23,"Ramey,Armonie",Howard Payne,American Southwest Conference (ASC),asc,22,25.59090909090909,20.09,6.32,3.14,3.14,0.27,2.272727272727273,8.201514352221771,95
2,171,"Bryant,Chris",Hardin-Simmons,American Southwest Conference (ASC),asc,27,28.444444444444443,15.07,6.7,2.0,0.74,1.78,2.037037037037037,5.266021488556019,93
3,242,"Roberts,Michael",East Texas Baptist,American Southwest Conference (ASC),asc,22,33.36363636363637,17.59,8.82,1.45,1.27,0.64,2.9545454545454546,4.7298477412268465,92
4,271,"Engels,Zachary",Mary Hardin-Baylor,American Southwest Conference (ASC),asc,27,27.62962962962963,15.78,7.85,2.74,1.52,0.44,2.888888888888889,4.551658357667208,92
5,364,"Phillip,Ben",Howard Payne,American Southwest Conference (ASC),asc,26,27.423076923076923,14.85,5.73,1.92,0.77,0.96,1.9615384615384617,3.822463039155194,90
6,380,"Johnson,Hudson",Mary Hardin-Baylor,American Southwest Conference (ASC),asc,26,31.5,19.81,3.58,3.0,1.08,0.04,3.076923076923077,3.7418887820764697,90
7,472,"Alexander,Matthew",Hardin-Simmons,American Southwest Conference (ASC),asc,20,25.6,12.2,5.05,2.5,1.9,0.4,1.95,3.262259485498927,89
8,554,"Pease,Jack",East Texas Baptist,American Southwest Conference (ASC),asc,26,36.53846153846154,12.92,3.69,4.35,1.46,0.04,2.423076923076923,2.889349373355638,88
9,629,"Fleming,Nathan",East Texas Baptist,American Southwest Conference (ASC),asc,26,21.423076923076923,9.54,8.31,1.04,1.0,0.88,1.4230769230769231,2.6302782677612053,87
10,666,"Williams,Tyler",Hardin-Simmons,American Southwest Conference (ASC),asc,27,23.074074074074073,11.85,5.0,2.26,1.41,0.48,2.0,2.491199032180385,86
11,711,"Lawrence,Elijah",Mary Hardin-Baylor,American Southwest Conference (ASC),asc,27,27.03703703703704,12.44,3.96,3.0,1.22,0.0,1.7777777777777777,2.3084235285754535,86
12,830,"McClendon,Jordan",Howard Payne,American Southwest Conference (ASC),asc,26,21.076923076923077,11.81,3.73,1.73,1.42,0.27,1.5384615384615383,1.9227073745758028,84
13,868,"Coady,Donta",Mary Hardin-Baylor,American Southwest Conference (ASC),asc,26,23.653846153846153,10.19,5.58,1.54,0.69,0.69,1.3461538461538465,1.800386580638038,84
14,900,"Fleming,Asher",Hardin-Simmons,American Southwest Conference (ASC),asc,23,28.47826086956522,12.13,5.3,2.57,0.74,0.26,2.260869565217391,1.6754133449067452,83
15,928,"Amason,Myles",Hardin-Simmons,American Southwest Conference (ASC),asc,27,16.444444444444443,7.19,4.59,0.85,0.56,1.74,0.7777777777777778,1.585865213999856,83
16,1204,"Jessen,Grant",Mary Hardin-Baylor,American Southwest Conference (ASC),asc,26,16.96153846153846,6.65,5.69,1.65,1.0,0.77,1.3846153846153846,0.7819878386983036,79
17,1282,"Davis,Silas",Hardin-Simmons,American Southwest Conference (ASC),asc,16,30.8125,10.13,4.19,2.63,1.19,0.0,2.25,0.5955849818854068,78
18,1290,"Jackson,Trey",Howard Payne,American Southwest Conference (ASC),asc,21,22.952380952380953,10.86,2.71,1.19,1.43,0.38,1.8571428571428572,0.5830471343086846,78
19,1379,"Zamiara,Connor",Mary Hardin-Baylor,American Southwest Conference (ASC),asc,27,22.14814814814815,6.93,6.48,1.22,0.48,0.59,1.1851851851851851,0.3640448209066731,77
20,1469,"Coleman,Avant",Howard Payne,American Southwest Conference (ASC),asc,24,17.583333333333332,9.25,2.46,1.54,1.46,0.13,1.5416666666666667,0.1093379241603415,76
21,1480,"Howell,Trevion",Hardin-Simmons,American Southwest Conference (ASC),asc,19,23.63157894736842,7.47,2.47,0.89,1.58,0.32,0.8421052631578947,0.077160464242842,75
22,1685,"Levy,Shad",East Texas Baptist,American Southwest Conference (ASC),asc,26,28.384615384615383,9.81,3.38,1.0,0.65,0.35,1.7692307692307692,-0.4712371240939162,73
23,1731,"Dews,Christian",East Texas Baptist,American Southwest Conference (ASC),asc,26,23.384615384615383,6.04,5.04,0.35,0.5,0.73,0.8846153846153846,-0.572922579509676,72
24,1761,"Crosby,Braylon",Howard Payne,American Southwest Conference (ASC),asc,23,22.47826086956522,7.04,4.04,2.26,1.09,0.09,1.9565217391304348,-0.6700379287519947,72
25,1891,"Gooden III,Orlando",East Texas Baptist,American Southwest Conference (ASC),asc,25,22.36,8.2,2.04,1.36,0.84,0.12,1.28,-0.9443394363687688,70
26,2127,"May,Carter",Howard Payne,American Southwest Conference (ASC),asc,26,15.76923076923077,4.15,4.77,0.42,0.46,0.73,0.8846153846153846,-1.4640111574918564,67
27,2314,"Ingram,Jamar",Hardin-Simmons,American Southwest Conference (ASC),asc,22,15.545454545454543,5.91,3.91,1.14,0.32,0.36,1.5,-1.8548400571822252,64
28,2374,"Scott,Nathan",Howard Payne,American Southwest Conference (ASC),asc,26,13.923076923076923,6.73,2.42,0.85,0.46,0.15,1.1538461538461535,-1.9753325176039236,63
29,2619,"Joe,Joshua",East Texas Baptist,American Southwest Conference (ASC),asc,24,20.916666666666668,4.17,2.42,1.83,0.79,0.08,1.375,-2.411017705208278,60
