rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,1,2025-26,"Chicone,Luke",John Carroll,G,North Coast Athletic Conference (NCAC),ncac,28,32.82142857142857,24.29,4.75,6.29,2.71,0.29,2.1785714285714284,11.25482382715206,99
2,255,2025-26,"Cox-Holloway,Jaiden",Wooster,F,North Coast Athletic Conference (NCAC),ncac,25,33.68,15.88,7.44,1.72,1.16,1.0,2.44,4.634667238150136,92
3,331,2025-26,"Burke,Jackson",Kenyon,F,North Coast Athletic Conference (NCAC),ncac,22,28.363636363636363,10.64,6.59,1.73,0.73,1.68,1.1363636363636365,4.044004835518136,91
4,378,2025-26,"Stevenson,Reph",DePauw,F,North Coast Athletic Conference (NCAC),ncac,26,26.884615384615383,14.35,8.73,1.38,0.27,0.88,1.9230769230769231,3.755216081782484,90
5,476,2025-26,"Frey,Peyton",Ohio Wesleyan,G,North Coast Athletic Conference (NCAC),ncac,18,26.944444444444443,14.78,5.94,1.56,1.11,0.44,2.0,3.2450738065347706,89
6,496,2025-26,"Gray,JJ",Oberlin,G,North Coast Athletic Conference (NCAC),ncac,21,28.952380952380953,14.86,3.67,2.05,0.95,0.29,1.380952380952381,3.146270712068453,89
7,501,2025-26,"Ellspermann,Luke",Wabash,G,North Coast Athletic Conference (NCAC),ncac,25,29.92,15.92,4.92,2.64,0.84,0.04,2.16,3.1238436672082717,88
8,505,2025-26,"Battle,Jessee",Ohio Wesleyan,F,North Coast Athletic Conference (NCAC),ncac,25,25.08,14.4,4.48,1.52,1.0,0.64,1.64,3.093462165213916,88
9,607,2025-26,"Lowman,Jake",Ohio Wesleyan,F,North Coast Athletic Conference (NCAC),ncac,25,27.56,8.8,5.24,3.24,1.72,0.36,1.44,2.7325063436867265,87
10,640,2025-26,"Schippert,Gavin",Wabash,C,North Coast Athletic Conference (NCAC),ncac,26,29.5,10.69,8.54,1.35,0.58,0.12,0.9230769230769232,2.568284398681093,87
11,772,2025-26,"Roeder,Isaac",Wooster,G,North Coast Athletic Conference (NCAC),ncac,25,34.72,12.64,5.2,1.72,1.08,0.16,1.72,2.104153467852272,85
12,775,2025-26,"Hunt,Kasey",John Carroll,G,North Coast Athletic Conference (NCAC),ncac,28,22.5,14.11,2.61,1.07,1.0,0.25,1.1071428571428572,2.095729995933672,85
13,825,2025-26,"Jacobs,Sam",DePauw,G,North Coast Athletic Conference (NCAC),ncac,25,31.68,14.92,3.24,2.72,0.6,0.2,2.32,1.9410991445470045,84
14,828,2025-26,"Brown,Eddie",Wittenberg,F,North Coast Athletic Conference (NCAC),ncac,27,29.88888888888889,10.93,6.96,1.48,0.7,0.44,1.6296296296296295,1.930349905913512,84
15,847,2025-26,"Smith,Zach",Oberlin,G,North Coast Athletic Conference (NCAC),ncac,26,28.846153846153847,14.58,3.69,1.35,1.12,0.04,1.8461538461538465,1.8800867536448336,84
16,914,2025-26,"Mazeika,Marius",Kenyon,F,North Coast Athletic Conference (NCAC),ncac,25,30.68,13.4,4.44,1.64,0.56,0.12,1.64,1.6202311541445562,83
17,923,2025-26,"Smith,Kellon",Denison,G,North Coast Athletic Conference (NCAC),ncac,27,25.666666666666668,13.78,4.41,1.11,0.59,0.04,1.4074074074074074,1.6020456284685374,83
18,937,2025-26,"Washington,Caleb",DePauw,F,North Coast Athletic Conference (NCAC),ncac,26,27.115384615384617,12.27,5.5,2.42,0.62,0.15,2.1538461538461537,1.5630552210566877,83
19,1017,2025-26,"Kamenko,Sam",Oberlin,G,North Coast Athletic Conference (NCAC),ncac,26,28.53846153846154,4.88,6.81,1.96,1.23,0.81,1.0769230769230769,1.2700399615582325,82
20,1024,2025-26,"Giannoulias,Owen",Denison,G,North Coast Athletic Conference (NCAC),ncac,27,23.925925925925927,7.81,3.78,3.0,1.0,0.11,0.8518518518518519,1.250513001159774,82
21,1109,2025-26,"Jones,Quincy",Wooster,F,North Coast Athletic Conference (NCAC),ncac,25,23.64,12.28,6.12,0.72,0.24,0.44,1.84,0.992098725650628,80
22,1116,2025-26,"Whack,Josh",Wabash,G,North Coast Athletic Conference (NCAC),ncac,20,26.65,9.6,2.65,2.75,0.55,0.15,0.9,0.9857432982633738,80
23,1122,2025-26,"Lamirand,Mike",John Carroll,F,North Coast Athletic Conference (NCAC),ncac,28,19.392857142857142,7.79,3.43,0.71,1.57,0.54,0.6071428571428571,0.975666114177454,80
24,1158,2025-26,"Salkowski,Luke",Denison,F,North Coast Athletic Conference (NCAC),ncac,25,23.08,6.56,6.56,2.2,0.64,1.0,1.8,0.8944536275139143,80
25,1175,2025-26,"Collins,Sean",John Carroll,F,North Coast Athletic Conference (NCAC),ncac,28,23.964285714285715,6.54,4.18,1.68,1.14,0.57,0.7142857142857143,0.8558674786787988,79
26,1196,2025-26,"Micanovic,Milun",Oberlin,C,North Coast Athletic Conference (NCAC),ncac,26,25.653846153846153,10.5,8.27,0.42,0.27,0.69,2.1538461538461537,0.8005005675615501,79
27,1219,2025-26,"Kunka,Brady",DePauw,G,North Coast Athletic Conference (NCAC),ncac,26,27.96153846153846,10.65,6.27,1.46,0.85,0.0,1.9615384615384617,0.7543304996063394,79
28,1225,2025-26,"Ward,Isaac",Ohio Wesleyan,G,North Coast Athletic Conference (NCAC),ncac,25,29.96,12.76,2.4,1.56,0.68,0.04,1.52,0.7187634514683625,79
29,1227,2025-26,"Frayer,Noah",Wittenberg,G,North Coast Athletic Conference (NCAC),ncac,27,27.666666666666668,12.52,2.33,0.85,0.74,0.07,1.0740740740740742,0.7160223509421186,79
