rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,35,2025-26,"Blackmon,TJ",Thomas,G,North Atlantic Conference (NAC),nac,24,32.875,16.46,5.75,4.92,2.58,1.21,2.7083333333333335,7.828858789322063,95
2,37,2025-26,Jason Reynolds,UMaine-Farmington,*,North Atlantic Conference (NAC),nac,27,30.51851851851852,17.15,15.48,2.11,0.74,0.04,1.4444444444444444,7.764579000864507,95
3,40,2025-26,"McIntyre,Wesley",VTSU Lyndon,G,North Atlantic Conference (NAC),nac,23,32.43478260869565,27.78,5.26,2.74,1.57,0.26,3.608695652173913,7.721606860342078,95
4,57,2025-26,Zach McLaughin,UMaine-Farmington,*,North Atlantic Conference (NAC),nac,21,32.04761904761905,25.76,3.76,1.24,1.05,0.62,2.0,7.084900892335852,94
5,61,2025-26,"Baker,Jason",VTSU Johnson,F,North Atlantic Conference (NAC),nac,14,35.785714285714285,22.07,7.86,3.36,0.86,2.14,4.857142857142857,6.96464501266719,94
6,76,2025-26,"Ahlers,Eric",Husson ,G,North Atlantic Conference (NAC),nac,26,30.23076923076923,20.27,9.19,2.38,0.77,0.23,2.1923076923076925,6.457705178962038,94
7,188,2025-26,"McMichael,Akhe",UMaine-Presque Isle,G,North Atlantic Conference (NAC),nac,26,27.423076923076923,16.23,5.69,3.69,2.19,0.5,3.076923076923077,5.148977788510685,93
8,212,2025-26,"Banks,Jack",Maine Maritime,F,North Atlantic Conference (NAC),nac,20,32.75,17.65,7.1,3.9,0.8,1.05,3.75,4.959503432875579,92
9,232,2025-26,"Gonyea Jr.,Gregory",VTSU Lyndon,G,North Atlantic Conference (NAC),nac,22,29.954545454545453,20.45,4.09,2.77,2.18,0.05,3.409090909090909,4.776750543391531,92
10,339,2025-26,"Semega,Mohammed",VTSU Johnson,G,North Atlantic Conference (NAC),nac,25,29.24,10.08,7.56,2.4,2.68,0.44,2.0,3.965542574216117,91
11,350,2025-26,"McCalla,Doug",UMaine-Presque Isle,F,North Atlantic Conference (NAC),nac,17,27.705882352941178,13.06,5.94,2.24,1.41,0.41,1.411764705882353,3.901432019259704,90
12,356,2025-26,"Ibrahim,Abdul-Jaleel",SUNY Delhi,G,North Atlantic Conference (NAC),nac,24,33.041666666666664,17.58,4.33,1.79,1.92,0.21,2.5833333333333335,3.8650315038582814,90
13,407,2025-26,"Heald,Connor",Husson ,G,North Atlantic Conference (NAC),nac,26,31.423076923076923,14.88,3.73,2.81,1.31,0.12,1.5769230769230769,3.606803608486169,90
14,411,2025-26,"Tanksley,Marquay",SUNY Cobleskill,F,North Atlantic Conference (NAC),nac,25,32.44,10.52,6.24,2.48,1.36,0.96,1.56,3.5896008521425258,90
15,414,2025-26,"Matondo,Gil",Husson ,F,North Atlantic Conference (NAC),nac,26,28.423076923076923,11.62,6.31,2.38,0.81,1.5,2.076923076923077,3.5804994910429615,90
16,430,2025-26,"Schade,Marcus",Maine Maritime,G,North Atlantic Conference (NAC),nac,21,31.095238095238095,14.95,3.76,2.38,2.0,0.05,1.9523809523809523,3.530541105822945,89
17,531,2025-26,Gabe Michaud,UMaine-Farmington,*,North Atlantic Conference (NAC),nac,27,33.7037037037037,7.7,4.04,6.11,1.41,0.3,1.7777777777777777,3.0064364002093513,88
18,617,2025-26,"Harvey,Kai",SUNY Delhi,G,North Atlantic Conference (NAC),nac,25,28.84,11.92,3.12,4.6,2.28,0.16,3.04,2.7079416635268547,87
19,633,2025-26,"Pensel,Aaron",Maine Maritime,F,North Atlantic Conference (NAC),nac,26,28.346153846153847,11.42,7.0,1.5,1.08,1.31,2.576923076923077,2.604198110301202,87
20,638,2025-26,"McCauley,Andre",Husson ,G,North Atlantic Conference (NAC),nac,22,26.772727272727273,14.68,3.82,2.86,0.77,0.36,2.272727272727273,2.5721259529791687,87
21,663,2025-26,Ryan Ellis,Lesley,0,North Atlantic Conference (NAC),nac,25,27.96,6.8,8.2,2.04,0.8,1.28,1.36,2.4951264126257926,86
22,670,2025-26,"Doyle,Matt",VTSU Lyndon,F,North Atlantic Conference (NAC),nac,25,27.88,10.76,8.6,0.64,0.6,0.6,1.2,2.4699650656235757,86
23,708,2025-26,"Carter,Matthew",VTSU Johnson,G,North Atlantic Conference (NAC),nac,13,30.923076923076923,14.62,4.54,1.31,0.92,0.31,1.8461538461538465,2.324144467656339,86
24,751,2025-26,"Hamilton,Drew",Maine Maritime,G,North Atlantic Conference (NAC),nac,26,32.76923076923077,16.0,2.23,1.5,1.15,0.12,1.8846153846153848,2.153685303791123,85
25,791,2025-26,CJ Leonard,Lesley,*,North Atlantic Conference (NAC),nac,23,19.47826086956522,13.48,5.74,0.91,0.87,0.26,1.6956521739130437,2.053545552584252,85
26,837,2025-26,Charlie Houghton,UMaine-Farmington,*,North Atlantic Conference (NAC),nac,27,24.074074074074073,10.89,5.0,2.48,1.19,0.11,1.6666666666666667,1.90900590400664,84
27,863,2025-26,"Enget,Tyson",UMaine-Presque Isle,G,North Atlantic Conference (NAC),nac,28,32.035714285714285,9.71,3.86,2.89,1.25,0.18,1.3214285714285714,1.8203859993283211,84
28,890,2025-26,"Godley,Isaiah",Thomas,G,North Atlantic Conference (NAC),nac,25,23.36,11.12,6.28,1.4,0.68,0.72,1.92,1.7295305315713383,83
29,907,2025-26,Kory Donlin,UMaine-Farmington,0,North Atlantic Conference (NAC),nac,25,25.84,13.08,2.56,1.16,0.68,0.6,1.28,1.640804267009346,83
30,913,2025-26,"Tagios,Jason",SUNY Delhi,F,North Atlantic Conference (NAC),nac,25,25.52,8.92,6.2,1.08,0.76,0.72,1.04,1.6273347673679763,83
31,1044,2025-26,"Morel,Rowan",SUNY Cobleskill,F,North Atlantic Conference (NAC),nac,17,19.235294117647054,7.76,4.53,1.82,1.06,1.35,1.8823529411764703,1.204381644042864,81
32,1076,2025-26,St pierre Brayden,UMaine-Farmington,*,North Atlantic Conference (NAC),nac,27,29.0,6.89,4.3,2.74,1.0,0.37,0.9629629629629628,1.0819922495063885,81
33,1084,2025-26,"Madera,Adan",SUNY Delhi,G,North Atlantic Conference (NAC),nac,25,26.8,13.4,5.36,0.56,0.76,0.44,2.32,1.064720226754568,81
34,1130,2025-26,"Nabli,Emilio",SUNY Cobleskill,G,North Atlantic Conference (NAC),nac,15,20.133333333333333,10.47,2.53,2.53,1.4,0.47,2.2,0.957518211465059,80
35,1166,2025-26,"Burpee,Dylan",Husson ,F,North Atlantic Conference (NAC),nac,26,22.73076923076923,5.85,4.54,1.31,1.42,0.81,0.8461538461538461,0.8840155191488125,80
36,1172,2025-26,"Williams,Dwaine",UMaine-Presque Isle,F,North Atlantic Conference (NAC),nac,13,26.53846153846154,8.69,4.31,1.08,0.92,0.23,0.6153846153846154,0.8594483453592298,80
37,1230,2025-26,Ethan Arnold,Lesley,0,North Atlantic Conference (NAC),nac,23,23.73913043478261,10.74,3.78,1.13,0.52,0.17,0.9565217391304348,0.7100906276036592,79
38,1268,2025-26,"Mohamud,Yasmo",Thomas,F,North Atlantic Conference (NAC),nac,23,23.08695652173913,10.48,4.0,2.17,0.65,0.17,1.7391304347826086,0.6249113622311913,78
39,1285,2025-26,"Gargiulo,Joseph",VTSU Johnson,G,North Atlantic Conference (NAC),nac,15,26.866666666666667,11.53,2.53,2.07,1.13,0.0,1.8666666666666667,0.5932021331653407,78
40,1366,2025-26,"Brown,Jaylen",VTSU Johnson,G,North Atlantic Conference (NAC),nac,23,26.52173913043478,10.48,4.43,1.09,1.7,0.04,2.217391304347826,0.3880345106049851,77
41,1408,2025-26,"Chung,Chrischen",SUNY Cobleskill,G,North Atlantic Conference (NAC),nac,26,25.115384615384617,8.92,3.04,2.58,0.62,0.12,1.3076923076923077,0.2908917426820631,76
42,1423,2025-26,"Smith,Christian",Husson ,G,North Atlantic Conference (NAC),nac,23,23.217391304347824,8.7,2.43,3.17,1.09,0.3,2.0434782608695654,0.2494363655291622,76
43,1430,2025-26,"Mitchell,Payton",Thomas,G,North Atlantic Conference (NAC),nac,25,25.68,5.12,6.24,2.12,1.32,0.36,1.56,0.2350060719884919,76
44,1494,2025-26,"Rhode,Cameron",SUNY Cobleskill,F,North Atlantic Conference (NAC),nac,26,21.115384615384617,7.96,4.96,1.54,0.65,0.42,1.5384615384615383,0.0242967567459199,75
45,1590,2025-26,"Ishibashi,Yuki",UMaine-Presque Isle,G,North Atlantic Conference (NAC),nac,28,23.714285714285715,9.68,3.64,2.0,0.68,0.0,1.8214285714285712,-0.2419548632120656,74
