rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,63,Scott Gyimesi,Tufts,New England Small College Athletic Conference (NESCAC),nescac,24,31.166666666666668,16.38,9.75,2.67,0.92,0.96,1.7083333333333333,6.849045140240789,94
2,127,"Cuevas,Ray",Bowdoin,New England Small College Athletic Conference (NESCAC),nescac,25,32.88,22.16,4.4,2.64,1.2,0.44,2.8,5.741724565525403,93
3,166,"Civello,Dan",Colby,New England Small College Athletic Conference (NESCAC),nescac,25,26.6,18.28,5.68,3.0,0.36,1.12,2.4,5.291595931206353,93
4,191,"Okorougo,Jarrel",Trinity,New England Small College Athletic Conference (NESCAC),nescac,27,25.925925925925927,15.78,6.63,1.33,1.33,0.81,1.4074074074074074,5.131801837842434,93
5,228,Joshua Bernstein,Tufts,New England Small College Athletic Conference (NESCAC),nescac,25,24.68,10.56,8.76,2.12,0.56,1.88,1.44,4.793803765250779,92
6,269,"Lazarre,Drew",Trinity,New England Small College Athletic Conference (NESCAC),nescac,27,26.03703703703704,10.89,4.52,2.44,2.41,0.78,1.0,4.555883982101638,92
7,283,"Pouye,Babacar",Bates,New England Small College Athletic Conference (NESCAC),nescac,23,24.52173913043478,14.48,7.91,1.96,0.7,1.26,2.260869565217391,4.4510897870171195,91
8,295,"Wolinski,Zach",Wesleyan,New England Small College Athletic Conference (NESCAC),nescac,27,33.888888888888886,18.19,3.81,2.07,0.78,0.19,1.3333333333333333,4.37690465540198,91
9,353,"Pohlman,Sam",Wesleyan,New England Small College Athletic Conference (NESCAC),nescac,27,30.444444444444443,12.44,5.59,6.44,0.67,0.11,2.592592592592593,3.884692492619767,90
10,401,Elias Chin,Amherst,New England Small College Athletic Conference (NESCAC),nescac,24,27.833333333333332,10.29,6.71,3.88,1.04,0.88,2.0416666666666665,3.6363709663212926,90
11,404,"Watson,Dylan",Conn. College,New England Small College Athletic Conference (NESCAC),nescac,25,25.84,11.76,8.36,1.36,0.92,0.64,1.24,3.6218296256117486,90
12,412,"Reese,Jalen",Hamilton,New England Small College Athletic Conference (NESCAC),nescac,24,29.708333333333332,9.13,7.92,1.92,1.25,1.42,1.6666666666666667,3.5876610880188653,90
13,427,"Vetter,Henry",Trinity,New England Small College Athletic Conference (NESCAC),nescac,27,26.40740740740741,13.93,3.63,2.89,1.67,0.07,1.5555555555555556,3.541159509743965,89
14,433,"LaFrance,James",Conn. College,New England Small College Athletic Conference (NESCAC),nescac,25,29.4,16.0,3.88,1.24,1.36,0.48,1.64,3.521276055979218,89
15,477,"Espinosa,Elias",Conn. College,New England Small College Athletic Conference (NESCAC),nescac,25,26.52,13.04,3.56,2.16,1.24,0.48,1.12,3.2412365392945404,89
16,494,"Yates,Aidan",Williams,New England Small College Athletic Conference (NESCAC),nescac,24,30.583333333333332,12.46,4.42,1.29,0.88,0.92,0.9166666666666666,3.156099746844108,89
17,506,"Keyhani,Garret",Hamilton,New England Small College Athletic Conference (NESCAC),nescac,15,26.666666666666668,13.47,5.6,1.07,0.8,0.93,1.5333333333333334,3.091909493053468,88
18,564,"Rein,Jackson",Williams,New England Small College Athletic Conference (NESCAC),nescac,24,29.083333333333332,13.79,6.0,0.83,0.88,0.42,1.3333333333333333,2.8518782029433445,88
19,566,"Dawkins,Mason",Bowdoin,New England Small College Athletic Conference (NESCAC),nescac,25,30.24,11.4,5.24,2.48,1.8,0.56,2.16,2.847228196036364,88
20,627,"Poulton,Max",Colby,New England Small College Athletic Conference (NESCAC),nescac,25,29.04,11.6,5.88,2.72,0.6,0.4,1.52,2.639384415950075,87
21,631,Jon Medley,Tufts,New England Small College Athletic Conference (NESCAC),nescac,20,26.65,10.6,3.4,3.75,1.3,0.65,1.9,2.6208440531994106,87
22,643,Chris Hammond,Amherst,New England Small College Athletic Conference (NESCAC),nescac,25,30.68,10.04,6.8,1.08,1.4,0.48,1.12,2.5540821079298213,87
23,659,"Cantwell,Greg",Conn. College,New England Small College Athletic Conference (NESCAC),nescac,25,27.64,11.72,5.08,2.72,1.12,0.36,1.84,2.510604607668613,86
24,733,"Coyne,Brady",Bates,New England Small College Athletic Conference (NESCAC),nescac,26,26.0,12.81,3.62,1.73,0.96,0.12,1.0384615384615383,2.2190441816169857,85
25,793,"Hansen,Hudson",Williams,New England Small College Athletic Conference (NESCAC),nescac,23,25.17391304347826,11.78,4.7,2.35,0.61,0.74,1.9130434782608696,2.0517695615432503,85
26,850,"Hauser,Fritz",Wesleyan,New England Small College Athletic Conference (NESCAC),nescac,27,28.37037037037037,9.19,5.26,1.74,0.96,0.96,1.4814814814814814,1.864603608517713,84
27,880,"Rideout,Matthew",Hamilton,New England Small College Athletic Conference (NESCAC),nescac,17,28.705882352941178,15.18,1.47,2.0,0.94,0.18,1.8823529411764703,1.7429934760271255,83
28,887,Zion Watt,Tufts,New England Small College Athletic Conference (NESCAC),nescac,25,24.88,8.64,4.12,0.72,1.6,0.76,0.76,1.7321175143748886,83
29,938,"Murray,Ian",Middlebury,New England Small College Athletic Conference (NESCAC),nescac,24,25.958333333333332,12.08,4.5,2.71,0.71,0.13,2.0,1.5598077499361225,83
30,963,"Ayles,David",Trinity,New England Small College Athletic Conference (NESCAC),nescac,27,22.555555555555557,6.7,2.44,2.74,1.96,0.37,0.8148148148148148,1.46540491537657,82
31,972,"Lyttle,Ben",Wesleyan,New England Small College Athletic Conference (NESCAC),nescac,26,24.0,8.12,7.23,1.27,0.65,0.5,1.0,1.433013890703054,82
32,1010,"Davis,Tristan",Trinity,New England Small College Athletic Conference (NESCAC),nescac,25,20.44,7.16,4.92,0.68,1.28,0.96,0.76,1.302338225069064,82
33,1016,K.J. Neville,Amherst,New England Small College Athletic Conference (NESCAC),nescac,25,25.36,10.36,4.32,2.08,1.0,0.24,1.56,1.270999997593951,82
34,1065,"Hinman,Sam",Colby,New England Small College Athletic Conference (NESCAC),nescac,25,26.52,11.08,3.72,1.52,0.76,0.12,1.08,1.1316677940151718,81
35,1096,"Reeves,Kevin",Bowdoin,New England Small College Athletic Conference (NESCAC),nescac,25,19.6,9.8,6.12,0.6,0.44,1.64,2.36,1.0292696687113827,81
36,1138,Dylan Reilly,Tufts,New England Small College Athletic Conference (NESCAC),nescac,20,27.6,9.75,2.85,1.1,0.8,0.5,0.7,0.9371278299366548,80
37,1162,"Edelman,Oscar",Wesleyan,New England Small College Athletic Conference (NESCAC),nescac,27,23.666666666666668,9.78,5.89,1.0,0.44,0.37,1.1851851851851851,0.8885539469159761,80
38,1274,"Witherington,Edward",Middlebury,New England Small College Athletic Conference (NESCAC),nescac,23,23.347826086956523,7.87,5.26,0.96,0.48,0.52,0.6956521739130435,0.61533044524627,78
39,1300,"Stroud,Savion",Colby,New England Small College Athletic Conference (NESCAC),nescac,25,28.52,6.2,4.88,3.88,1.56,0.36,2.52,0.5505307005801654,78
40,1318,"Sparks,Keenan",Bates,New England Small College Athletic Conference (NESCAC),nescac,16,24.5,7.38,5.56,3.13,0.63,0.19,1.75,0.5080830811932402,78
41,1353,"Ducree,Dominick",Middlebury,New England Small College Athletic Conference (NESCAC),nescac,20,22.1,13.05,2.85,1.0,0.65,0.1,1.75,0.4115995734663009,77
42,1396,"Montiel,Marcos",Colby,New England Small College Athletic Conference (NESCAC),nescac,13,20.46153846153846,8.38,4.15,2.62,0.85,0.23,1.7692307692307692,0.33510541103109,77
