rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,97,"Haynes,Jack",Loras,American Rivers Conference (ARC),arc,23,29.043478260869566,16.91,9.22,0.91,1.13,0.57,1.0869565217391304,6.10236624224815,94
2,115,"Bienemann,Austin",Wartburg,American Rivers Conference (ARC),arc,26,32.34615384615385,15.58,4.46,3.42,2.08,1.23,2.3846153846153846,5.874360143237633,94
3,123,"Nailor,Cooper",Coe,American Rivers Conference (ARC),arc,27,36.74074074074074,15.52,6.33,5.44,2.11,0.22,3.111111111111111,5.775770172135242,94
4,155,"Yungtum,Ethan",Wartburg,American Rivers Conference (ARC),arc,26,29.692307692307693,15.54,11.23,0.96,0.62,0.19,0.9615384615384616,5.4099839285630225,93
5,161,"Thompson,Grady",Univ. of Dubuque,American Rivers Conference (ARC),arc,25,31.08,18.32,6.16,1.68,1.2,0.16,1.36,5.357563603252822,93
6,187,"Bryte,Kanyon",Coe,American Rivers Conference (ARC),arc,27,25.22222222222222,12.52,7.67,1.52,0.93,1.78,1.3703703703703705,5.15020043687664,93
7,261,"Sievers,Carter",Buena Vista,American Rivers Conference (ARC),arc,21,32.285714285714285,17.81,3.57,3.52,0.71,0.1,1.619047619047619,4.599321135931687,92
8,276,"Williams,Jacob",Univ. of Dubuque,American Rivers Conference (ARC),arc,28,30.642857142857142,15.75,6.5,1.04,0.71,1.32,1.75,4.53181674261225,91
9,360,"Berendes,Nolan",Loras,American Rivers Conference (ARC),arc,27,30.85185185185185,12.89,7.07,1.26,1.26,0.63,1.2962962962962965,3.8368762705911066,90
10,367,"Schipper,Owen",Central,American Rivers Conference (ARC),arc,25,35.0,12.48,8.84,2.92,0.8,0.36,2.0,3.808399944953539,90
11,400,"Henderson,Cam",Simpson,American Rivers Conference (ARC),arc,25,30.2,16.92,2.84,1.8,1.36,0.16,1.52,3.6390947130798783,90
12,418,"Howard,Nick",Nebraska Wesleyan,American Rivers Conference (ARC),arc,26,27.153846153846153,15.46,5.73,1.65,0.38,1.04,2.0,3.569416539023349,90
13,503,"Newton,Seth",Nebraska Wesleyan,American Rivers Conference (ARC),arc,25,30.52,8.76,6.92,2.52,1.76,0.4,1.28,3.1014309172204997,88
14,504,"Scott,Jalen",Univ. of Dubuque,American Rivers Conference (ARC),arc,24,26.833333333333332,9.25,4.33,5.5,2.04,0.5,2.7916666666666665,3.0975353141966764,88
15,577,"Cahill,Calix",Simpson,American Rivers Conference (ARC),arc,16,24.5,13.13,6.69,1.75,0.94,0.69,2.25,2.812643850171185,87
16,597,"Sarvis,Gavin",Loras,American Rivers Conference (ARC),arc,24,26.375,13.08,3.83,3.04,1.21,0.54,2.2083333333333335,2.765014736002882,87
17,603,"Gott,Anthony",Central,American Rivers Conference (ARC),arc,24,23.375,11.08,5.71,1.42,0.33,1.75,1.7083333333333333,2.7509409219223184,87
18,605,"Schramm,Cael",Wartburg,American Rivers Conference (ARC),arc,26,26.576923076923077,11.62,7.08,0.77,0.15,1.15,1.1153846153846154,2.7411971662967365,87
19,669,"Cason,Kyle",Central,American Rivers Conference (ARC),arc,25,26.08,13.84,5.12,1.6,1.24,0.4,2.16,2.477549411392549,86
20,675,"Bowman,Jackson",Coe,American Rivers Conference (ARC),arc,25,32.68,14.88,5.8,0.64,0.28,0.32,1.28,2.445292509409427,86
