rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,7,2025-26,L Johnson Jr.,Canton,,State University of New York Athletic Conference (SUNYAC),sunyac,18,33.4,19.8,12.0,3.2,2.6,2.0,4.1,9.784766574883932,97
2,13,2025-26,R Welch,Plattsburgh,,State University of New York Athletic Conference (SUNYAC),sunyac,25,37.6,26.1,8.2,4.2,1.6,0.2,3.5,9.118849682140876,95
3,87,2025-26,A Coston,Cortland,,State University of New York Athletic Conference (SUNYAC),sunyac,27,30.4,14.9,7.9,3.3,0.9,1.1,1.6,6.2712882004274775,94
4,192,2025-26,D Judd,Oswego,,State University of New York Athletic Conference (SUNYAC),sunyac,28,30.0,18.1,9.0,1.4,0.9,0.9,2.8,5.119611573265726,93
5,268,2025-26,K Arcuri,Cortland,,State University of New York Athletic Conference (SUNYAC),sunyac,23,31.2,13.2,7.1,2.8,1.0,0.4,1.2,4.569794359756014,92
6,301,2025-26,C LaClair,Oneonta,,State University of New York Athletic Conference (SUNYAC),sunyac,25,30.8,14.2,7.8,2.3,1.0,0.2,1.5,4.306531243181329,91
7,313,2025-26,M Garza,Fredonia,,State University of New York Athletic Conference (SUNYAC),sunyac,25,33.9,16.3,5.4,1.8,1.4,0.4,1.9,4.210832079100699,91
8,325,2025-26,L Matthews,New Paltz,,State University of New York Athletic Conference (SUNYAC),sunyac,26,33.1,16.2,6.3,1.2,1.0,0.2,1.3,4.103451243461465,91
9,333,2025-26,M Hancock,Potsdam,,State University of New York Athletic Conference (SUNYAC),sunyac,25,30.4,13.5,6.6,3.3,1.2,0.4,2.1,4.037692591394251,91
10,396,2025-26,I Rivera,New Paltz,,State University of New York Athletic Conference (SUNYAC),sunyac,25,29.9,15.2,7.1,1.8,1.6,1.1,3.5,3.6487497867879335,90
11,416,2025-26,J Reese,Canton,,State University of New York Athletic Conference (SUNYAC),sunyac,25,26.4,13.6,5.0,1.8,2.1,0.8,2.4,3.5759572574393426,90
12,468,2025-26,J McGhee,Oswego,,State University of New York Athletic Conference (SUNYAC),sunyac,28,22.9,14.5,3.1,2.1,1.2,0.2,1.1,3.274997679057167,89
13,600,2025-26,A Foster,Oswego,,State University of New York Athletic Conference (SUNYAC),sunyac,28,29.0,10.5,6.6,2.6,1.8,0.3,2.1,2.7615233371112256,87
14,679,2025-26,G McLane,Oswego,,State University of New York Athletic Conference (SUNYAC),sunyac,28,27.7,8.0,5.6,2.1,2.5,0.6,1.8,2.4353712527006,86
15,725,2025-26,J Davis,Cortland,,State University of New York Athletic Conference (SUNYAC),sunyac,27,28.3,9.7,7.0,2.3,1.1,1.1,2.5,2.2489484931272097,85
16,731,2025-26,J Works,Morrisville,,State University of New York Athletic Conference (SUNYAC),sunyac,26,24.4,10.8,3.5,1.7,1.2,0.7,1.1,2.2269686477093504,85
17,777,2025-26,D Knox,Oneonta,,State University of New York Athletic Conference (SUNYAC),sunyac,24,28.6,9.0,5.3,2.0,1.0,0.6,1.0,2.091129838012863,85
18,821,2025-26,B Streb,Canton,,State University of New York Athletic Conference (SUNYAC),sunyac,24,31.5,10.2,6.5,2.0,0.9,0.8,2.1,1.9431028043731535,84
19,822,2025-26,S Bradley,Oswego,,State University of New York Athletic Conference (SUNYAC),sunyac,27,28.9,11.4,4.0,2.0,0.8,0.3,1.1,1.9429163163652736,84
20,833,2025-26,M Sylla,New Paltz,,State University of New York Athletic Conference (SUNYAC),sunyac,25,28.4,12.1,6.0,2.7,1.7,0.1,3.0,1.9153522208038056,84
21,839,2025-26,K Screen,Plattsburgh,,State University of New York Athletic Conference (SUNYAC),sunyac,25,28.0,9.8,8.0,1.2,0.5,0.6,1.4,1.900505612182805,84
22,874,2025-26,A Grainger,Morrisville,,State University of New York Athletic Conference (SUNYAC),sunyac,26,22.2,10.5,4.2,1.7,1.1,1.2,2.1,1.7670777109517593,84
23,875,2025-26,J Gladney,Plattsburgh,,State University of New York Athletic Conference (SUNYAC),sunyac,26,35.8,11.2,3.3,2.9,1.4,0.1,1.8,1.763960545291695,83
24,891,2025-26,E Sokolowski,Fredonia,,State University of New York Athletic Conference (SUNYAC),sunyac,20,27.3,8.3,5.5,4.0,1.4,0.1,2.1,1.7215831466715308,83
25,906,2025-26,N Cortez,Oneonta,,State University of New York Athletic Conference (SUNYAC),sunyac,26,27.3,12.3,3.9,2.2,1.2,0.0,1.8,1.6419456622871986,83
26,922,2025-26,T Amalfitano,New Paltz,,State University of New York Athletic Conference (SUNYAC),sunyac,25,27.6,12.0,3.1,1.9,0.9,0.5,1.6,1.60280938446132,83
27,949,2025-26,N Cohen,Oneonta,,State University of New York Athletic Conference (SUNYAC),sunyac,25,22.3,11.0,4.4,1.0,1.2,0.3,1.2,1.5269186648912805,83
28,961,2025-26,C Ani,Buffalo State,,State University of New York Athletic Conference (SUNYAC),sunyac,25,25.0,8.2,7.4,0.7,0.6,1.4,1.7,1.4696337685576055,82
29,1002,2025-26,J Moorehead,Morrisville,,State University of New York Athletic Conference (SUNYAC),sunyac,26,20.3,12.7,2.0,1.5,1.4,0.1,1.5,1.3305433781075573,82
30,1133,2025-26,K Haskins,Morrisville,,State University of New York Athletic Conference (SUNYAC),sunyac,25,24.0,9.1,4.1,3.2,1.1,0.1,1.9,0.9476686426635558,80
31,1135,2025-26,B Wingate,Morrisville,,State University of New York Athletic Conference (SUNYAC),sunyac,24,22.1,10.7,4.2,1.5,1.4,0.2,1.9,0.9436558363871173,80
32,1259,2025-26,O DeJesus,Buffalo State,,State University of New York Athletic Conference (SUNYAC),sunyac,24,25.3,8.5,3.0,3.1,1.3,0.0,1.6,0.6427244943939179,78
