rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,30,2025-26,Sawyer Butler,Franciscan,G,Presidents Athletic Conference (PAC),pac,27,31.59259259259259,21.89,5.67,2.22,2.48,0.81,2.4814814814814814,7.917517287162363,95
2,46,2025-26,Nathan Plotner,W&J,F,Presidents Athletic Conference (PAC),pac,28,31.0,14.32,6.68,1.64,2.14,2.61,1.75,7.50061846453837,95
3,47,2025-26,Diaun Pinkett,Chatham,G,Presidents Athletic Conference (PAC),pac,27,34.111111111111114,17.3,7.19,3.93,2.33,0.48,2.1481481481481484,7.465669528720676,95
4,116,2025-26,DJ Harrell,Westminster,G,Presidents Athletic Conference (PAC),pac,28,33.285714285714285,21.0,3.82,3.14,0.89,0.32,1.9642857142857144,5.860563642647404,94
5,126,2025-26,Mike Christenson,Grove City,G,Presidents Athletic Conference (PAC),pac,26,31.153846153846153,19.42,6.0,2.38,1.38,0.31,2.1153846153846154,5.76001677154175,93
6,148,2025-26,Lovenson Xavier,Chatham,G,Presidents Athletic Conference (PAC),pac,27,32.74074074074074,16.93,8.07,1.48,1.15,0.85,1.962962962962963,5.477940369768792,93
7,152,2025-26,Coco Rose,Bethany,G,Presidents Athletic Conference (PAC),pac,24,30.208333333333332,18.67,2.58,4.17,2.0,0.33,2.6666666666666665,5.452984974073501,93
8,157,2025-26,Jaden Gales,Saint Vincent,F,Presidents Athletic Conference (PAC),pac,23,27.47826086956522,17.39,7.52,0.91,1.13,0.7,1.5217391304347827,5.376419652675716,93
9,344,2025-26,Kyle Randle,Grove City,G,Presidents Athletic Conference (PAC),pac,26,28.23076923076923,15.88,4.12,1.73,1.73,0.35,1.7692307692307692,3.941711058019151,91
10,417,2025-26,Dev Ostrowski,Saint Vincent,G,Presidents Athletic Conference (PAC),pac,26,28.615384615384617,12.58,3.92,1.96,1.92,0.23,0.9615384615384616,3.5736705591102984,90
11,437,2025-26,Zach Oliver,Franciscan,F,Presidents Athletic Conference (PAC),pac,25,25.88,13.2,8.12,1.28,0.76,0.16,1.08,3.490672861395743,89
12,455,2025-26,Trey DePietro,Westminster,G,Presidents Athletic Conference (PAC),pac,27,26.77777777777778,11.93,5.52,1.89,0.52,1.33,1.4074074074074074,3.346267170060261,89
13,481,2025-26,Ryan Lang,Allegheny,*,Presidents Athletic Conference (PAC),pac,26,35.69230769230769,14.81,6.73,3.58,0.88,0.12,2.923076923076923,3.213622663925774,89
14,486,2025-26,Ryan Reasbeck,Bethany,G,Presidents Athletic Conference (PAC),pac,25,29.36,13.24,5.12,1.84,1.64,0.12,1.48,3.1909168053121872,89
15,495,2025-26,Jayden Jackson,Bethany,F,Presidents Athletic Conference (PAC),pac,25,30.12,15.84,7.64,1.08,0.72,0.8,2.8,3.1492757100241437,89
16,528,2025-26,Drew Weir,Westminster,G,Presidents Athletic Conference (PAC),pac,29,31.03448275862069,14.21,7.31,1.52,0.83,0.52,2.2413793103448274,3.015598905525819,88
17,565,2025-26,Tommy Coletti,Geneva,G,Presidents Athletic Conference (PAC),pac,26,34.73076923076923,13.46,5.85,2.54,0.69,1.04,2.730769230769231,2.847443892164492,88
18,581,2025-26,Alex Acosta,W&J,F,Presidents Athletic Conference (PAC),pac,28,25.892857142857142,11.93,6.86,0.71,1.14,0.79,1.5357142857142858,2.7998770307239544,87
19,656,2025-26,Matt Seidl,W&J,G,Presidents Athletic Conference (PAC),pac,28,32.42857142857143,11.71,5.21,2.57,2.14,0.36,2.6785714285714284,2.521871132533959,86
20,689,2025-26,Jonathan Bertovich,Geneva,G,Presidents Athletic Conference (PAC),pac,23,31.043478260869566,14.0,4.91,3.13,0.91,0.43,2.869565217391304,2.4100613562985576,86
21,739,2025-26,Jake TenBerge,Chatham,F,Presidents Athletic Conference (PAC),pac,27,27.703703703703702,12.07,6.0,1.74,0.59,0.59,1.7407407407407407,2.2065451267818377,85
22,744,2025-26,Drew Vizenor,Chatham,G,Presidents Athletic Conference (PAC),pac,27,26.666666666666668,10.7,4.44,1.3,1.11,0.63,1.0,2.1818323535476445,85
23,763,2025-26,DJ Niles,Hiram,F,Presidents Athletic Conference (PAC),pac,24,21.583333333333332,8.67,5.75,1.04,0.54,1.54,1.0833333333333333,2.13029301923364,85
24,832,2025-26,Troy Hixson,Bethany,G,Presidents Athletic Conference (PAC),pac,25,30.48,11.48,4.52,1.56,0.64,0.48,1.12,1.9163769570120308,84
25,843,2025-26,Jackson Rhodes,Waynesburg,F,Presidents Athletic Conference (PAC),pac,21,33.857142857142854,14.1,4.33,1.29,0.76,0.1,1.5714285714285714,1.8931823555846767,84
26,845,2025-26,Pijus Latauskas,Allegheny,*,Presidents Athletic Conference (PAC),pac,26,31.46153846153846,13.77,5.12,0.54,0.5,0.85,1.8846153846153848,1.888352864746563,84
27,862,2025-26,Jevontae Jones,Saint Vincent,G,Presidents Athletic Conference (PAC),pac,25,23.72,10.32,5.12,1.68,0.92,1.04,1.92,1.8212249628968125,84
28,894,2025-26,Cameron Rowell,W&J,G,Presidents Athletic Conference (PAC),pac,24,19.208333333333332,8.13,3.08,0.96,2.04,0.75,0.7916666666666666,1.6979307267869717,83
29,943,2025-26,Karl Yonkeu,Franciscan,F,Presidents Athletic Conference (PAC),pac,27,24.703703703703702,7.04,5.19,1.63,1.0,1.56,1.5925925925925926,1.5468121952996774,83
30,954,2025-26,Anthony Henderson II,Thiel,G,Presidents Athletic Conference (PAC),pac,23,32.82608695652174,10.09,2.87,2.0,1.17,0.17,0.8260869565217391,1.4949709191149132,82
31,958,2025-26,Maxwell Gordon,Saint Vincent,G,Presidents Athletic Conference (PAC),pac,24,26.208333333333332,8.54,2.96,4.21,1.21,0.08,1.5416666666666667,1.4754054025249388,82
32,1058,2025-26,Austin Johncour,Grove City,C,Presidents Athletic Conference (PAC),pac,26,19.46153846153846,9.62,6.58,0.65,0.27,0.92,1.3846153846153846,1.1493097042271334,81
33,1067,2025-26,Matthew Carte,W&J,G,Presidents Athletic Conference (PAC),pac,28,24.321428571428573,11.25,2.96,2.86,1.11,0.07,1.9642857142857144,1.1219713923227466,81
34,1074,2025-26,Bryson Bishop,Bethany,G,Presidents Athletic Conference (PAC),pac,15,25.333333333333332,6.93,5.73,1.47,0.87,1.47,1.8,1.1029226688422695,81
35,1092,2025-26,Trey Barker,Geneva,G,Presidents Athletic Conference (PAC),pac,26,32.88461538461539,13.27,4.5,0.88,0.38,0.08,1.4615384615384617,1.0430629699149834,81
36,1111,2025-26,Alex Andrews,Bethany,F,Presidents Athletic Conference (PAC),pac,12,17.25,7.67,6.0,0.5,0.58,1.17,1.0833333333333333,0.9894123537881916,80
37,1112,2025-26,Drovinsky Ulysse,Hiram,F,Presidents Athletic Conference (PAC),pac,26,22.923076923076923,6.92,4.15,1.73,1.15,1.04,1.3076923076923077,0.9892204229542492,80
