rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
40,1428,"Wolff,Eli",Gustavus,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,23.03703703703704,9.41,2.96,1.11,0.67,0.11,0.6666666666666666,0.2397816350719667,76
41,1452,"Hart,Daveion",Augsburg,Minnesota Intercollegiate Athletic Conference (MIAC),miac,16,18.4375,8.94,2.25,1.19,0.75,0.38,0.75,0.1776306747481124,76
42,1546,"Markham,Sawyer",Saint Mary's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,28.6,9.08,3.2,3.36,0.92,0.12,2.52,-0.1295898754297371,75
43,1548,"Brown,Jayden",St. Scholastica,Minnesota Intercollegiate Athletic Conference (MIAC),miac,24,24.666666666666668,9.38,4.04,1.29,0.75,0.29,1.7083333333333333,-0.1314166406869445,75
44,1553,"Kraay,Max",St. Olaf,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,20.32,7.4,3.04,1.44,0.44,0.36,0.56,-0.1460507409765307,74
45,1605,"Kloos,Hayden",St. Scholastica,Minnesota Intercollegiate Athletic Conference (MIAC),miac,23,22.652173913043477,5.83,4.26,0.74,0.78,0.7,0.7391304347826086,-0.2711196952366587,74
46,1627,"Hamburge,Noah",Macalester,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,25.92,8.72,3.52,1.48,0.96,0.08,1.52,-0.3183628879023131,73
47,1661,Vincent Hillesheim,Saint John's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,22.074074074074073,8.15,5.22,0.74,0.26,0.11,0.8888888888888888,-0.4002602654874604,73
48,1665,"Smith,Patrick",Carleton,Minnesota Intercollegiate Athletic Conference (MIAC),miac,23,18.60869565217391,5.43,5.57,1.7,0.65,0.26,1.0869565217391304,-0.4204976956444183,73
49,1727,"Beauchamp,Connor",Gustavus,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,14.037037037037036,5.7,4.85,0.59,0.67,0.04,0.1851851851851851,-0.5577475111233656,72
