rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,108,2025-26,"Heckman,Julian",Otterbein,G,Ohio Athletic Conference (OAC),oac,27,34.370370370370374,13.44,4.74,5.44,2.7,0.33,2.3333333333333335,5.939204807848936,94
2,124,2025-26,"Davis,Duane",Muskingum,G,Ohio Athletic Conference (OAC),oac,26,32.0,18.92,4.15,1.96,2.04,0.46,1.8461538461538465,5.763731838875858,94
3,169,2025-26,Elijah Farrington,Mount Union,*,Ohio Athletic Conference (OAC),oac,25,26.44,15.48,8.16,2.0,0.84,0.72,1.52,5.268603310381258,93
4,196,2025-26,"Cathey,Elijah",Wilmington,F,Ohio Athletic Conference (OAC),oac,26,27.153846153846153,15.08,5.58,2.38,1.31,0.77,1.4230769230769231,5.079901654017785,93
5,234,2025-26,"Johnson-Nichols,Markell",Heidelberg,G,Ohio Athletic Conference (OAC),oac,26,33.15384615384615,13.85,5.73,3.73,1.31,0.42,1.6923076923076923,4.763914228374148,92
6,306,2025-26,Chance Casenhiser,Mount Union,*,Ohio Athletic Conference (OAC),oac,26,31.153846153846153,17.46,3.19,2.42,1.65,0.04,1.7692307692307692,4.263858114076268,91
7,324,2025-26,"Calloway-White,Se'Ron",Capital,F,Ohio Athletic Conference (OAC),oac,24,28.958333333333332,17.0,4.75,1.63,1.29,0.42,1.875,4.105499575675376,91
8,394,2025-26,"Killens,Trey",Heidelberg,G,Ohio Athletic Conference (OAC),oac,27,32.666666666666664,13.63,4.89,2.26,1.48,0.26,1.4074074074074074,3.662296192854441,90
9,402,2025-26,"Cathey,Izaiah",Wilmington,G,Ohio Athletic Conference (OAC),oac,26,25.076923076923077,11.81,4.35,2.0,1.42,1.31,1.5769230769230769,3.634242573588197,90
10,440,2025-26,"Farley,Domenic",Wilmington,G,Ohio Athletic Conference (OAC),oac,25,25.84,16.24,3.2,2.28,1.08,0.12,1.52,3.471311148312525,89
11,490,2025-26,"Singleton,Jake",Marietta,G,Ohio Athletic Conference (OAC),oac,25,31.08,15.76,4.2,1.16,1.2,0.12,1.36,3.1686981562305774,89
12,493,2025-26,"Harden,Elijah",Marietta,G,Ohio Athletic Conference (OAC),oac,25,30.88,19.28,2.64,1.88,0.8,0.16,2.32,3.157826122667294,89
