rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
35,1929,2025-2026,H Kennedy,UC Santa Cruz,,Coast-To-Coast Athletic Conference (C2C),c2c,21,20.3,6.6,2.8,2.8,0.8,0.1,1.8,-1.03398627274147,69
36,1971,2025-2026,I Dozier,Chris. Newport,,Coast-To-Coast Athletic Conference (C2C),c2c,24,18.6,7.0,4.1,1.4,0.9,0.2,1.8,-1.11648261146139,69
37,2025,2025-2026,T Conley,UC Santa Cruz,,Coast-To-Coast Athletic Conference (C2C),c2c,26,24.9,7.6,3.4,1.1,0.5,0.3,1.5,-1.2445863493092315,68
38,2148,2025-2026,G Worley,Regent,,Coast-To-Coast Athletic Conference (C2C),c2c,21,20.0,8.0,2.2,1.3,0.4,0.1,1.3,-1.5012212985124591,66
39,2285,2025-2026,N Cotton,Warren Wilson,,Coast-To-Coast Athletic Conference (C2C),c2c,22,18.5,4.1,2.8,1.1,0.3,0.9,1.0,-1.7981686233099172,65
40,2329,2025-2026,A Robinson,Johnson & Wales - Charlotte,,Coast-To-Coast Athletic Conference (C2C),c2c,18,12.6,3.8,3.1,0.3,0.4,0.4,0.1,-1.889919814067497,64
41,2388,2025-2026,J Sewordor,Mary Washington,,Coast-To-Coast Athletic Conference (C2C),c2c,27,15.7,4.0,2.6,1.3,0.8,0.0,0.6,-1.9936710568318765,63
42,2402,2025-2026,B Crocker,Warren Wilson,,Coast-To-Coast Athletic Conference (C2C),c2c,22,23.5,7.4,2.0,0.9,0.5,0.0,1.2,-2.0142137046963215,63
43,2534,2025-2026,C Outlaw,Johnson & Wales - Charlotte,,Coast-To-Coast Athletic Conference (C2C),c2c,23,12.1,4.0,2.6,0.3,0.7,0.3,0.5,-2.266227482323062,61
44,3377,2025-2026,J Smith,Johnson & Wales - Charlotte,,Coast-To-Coast Athletic Conference (C2C),c2c,20,15.6,5.5,,,,,,,50
45,3378,2025-2026,W Givens,Johnson & Wales - Charlotte,,Coast-To-Coast Athletic Conference (C2C),c2c,21,12.0,5.0,,,,,,,50
46,3379,2025-2026,H Hammad,Mary Washington,,Coast-To-Coast Athletic Conference (C2C),c2c,27,18.5,4.9,,,,,,,50
47,3380,2025-2026,I Layne,Regent,,Coast-To-Coast Athletic Conference (C2C),c2c,21,15.3,4.2,,,,,,,50
48,3381,2025-2026,J Gamez,UC Santa Cruz,,Coast-To-Coast Athletic Conference (C2C),c2c,23,14.0,4.1,,,,,,,50
49,3382,2025-2026,M Burrows,UC Santa Cruz,,Coast-To-Coast Athletic Conference (C2C),c2c,25,15.8,3.8,,,,,,,50
