rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,49,J Rodriguez,Pitt.-Bradford,Allegheny Mountain Collegiate Conference (AMCC),amcc,25,27.1,19.6,3.8,1.9,3.0,0.4,1.4,7.273823632232,95
2,130,T Rozich,Pitt.-Greensburg,Allegheny Mountain Collegiate Conference (AMCC),amcc,27,33.8,16.6,6.9,4.4,1.3,0.2,2.4,5.703949950338135,93
3,153,K Claar,Penn St.-Altoona,Allegheny Mountain Collegiate Conference (AMCC),amcc,26,29.9,15.2,5.8,2.3,2.5,0.4,1.8,5.437486317841973,93
4,183,M Rainey,La Roche,Allegheny Mountain Collegiate Conference (AMCC),amcc,27,33.1,16.1,6.6,1.4,0.7,1.8,2.1,5.176804108061823,93
5,202,J Byer,Pitt.-Greensburg,Allegheny Mountain Collegiate Conference (AMCC),amcc,26,26.8,15.0,5.8,2.0,2.1,0.2,1.3,5.056122245800041,92
6,208,L Morse,Hilbert,Allegheny Mountain Collegiate Conference (AMCC),amcc,27,31.1,18.9,8.2,1.0,0.9,0.7,2.5,4.983211580799771,92
7,233,B Epps,La Roche,Allegheny Mountain Collegiate Conference (AMCC),amcc,27,31.6,16.9,6.3,2.4,1.6,0.1,2.1,4.7755687328999645,92
8,248,J Dunkle,Penn St.-Behrend,Allegheny Mountain Collegiate Conference (AMCC),amcc,27,29.8,17.0,8.3,1.0,0.7,0.7,1.9,4.691825889740502,92
9,279,J Montgomery,Hilbert,Allegheny Mountain Collegiate Conference (AMCC),amcc,27,30.6,9.0,4.9,6.9,1.9,0.7,2.6,4.477560443703263,91
10,391,S Jenkins,Mt. Aloysius,Allegheny Mountain Collegiate Conference (AMCC),amcc,25,30.1,12.9,9.7,1.0,1.2,0.4,1.8,3.6744868862431455,90
11,406,D Bass-Briscoe,Mt. Aloysius,Allegheny Mountain Collegiate Conference (AMCC),amcc,25,28.3,14.2,5.1,3.8,1.6,0.3,2.8,3.615057909807166,90
