conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,composite_score,rank,rating,global_rank
lec,Little East Conference (LEC),2025-26,msoc,UMass Boston,"Gross, Rafael",0,,20,21,16,0.0,0.0,15.0,30.0,15.0,1.0,7.0,0.0,0.0,1.43,0.71,0.71,0.333,0.048,8.0,0.0,0.0,0.0,5.0,3.0,4.0,0.19,10.0,0.0,1.0,0.0,0.48,0.05,0.0,0.0,0.0,,1092:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.453761132499164,12,88,413
lec,Little East Conference (LEC),2025-26,msoc,Southern Maine,Exauce Lenge,0,,10,17,9,0.0,0.0,13.0,23.0,14.0,2.0,6.0,0.0,0.0,1.35,0.76,0.82,0.353,0.118,7.0,0.0,0.0,0.0,5.0,1.0,1.0,0.059,3.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,,694:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.3416677263739505,13,87,432
lec,Little East Conference (LEC),2025-26,msoc,Rhode Island College,"Sanches, Luizandro",0,,22,18,18,0.0,0.0,24.0,47.0,12.0,2.0,5.0,2.0,1.0,2.61,1.33,0.67,0.278,0.111,19.0,1.0,0.0,0.0,1.0,2.0,1.0,0.056,31.0,0.0,1.0,0.0,1.72,0.06,0.0,0.0,0.0,,1364:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.8431647945534495,14,87,511
lec,Little East Conference (LEC),2025-26,msoc,VTSU Castleton,Jacques Alfani,0,,31,18,5,0.0,0.0,12.0,33.0,11.0,5.0,3.0,1.0,0.0,1.83,0.67,0.61,0.167,0.278,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,,945:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.841584348192862,15,86,509
lec,Little East Conference (LEC),2025-26,msoc,Western Connecticut,Gomez herrera Juan,0,,9,21,19,0.0,0.0,17.0,53.0,11.0,5.0,3.0,1.0,0.0,2.52,0.81,0.52,0.143,0.238,14.0,0.0,0.0,0.0,2.0,0.0,1.0,0.048,5.0,0.0,3.0,0.0,0.24,0.14,0.0,0.0,0.0,,1458:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.677781188387416,16,86,543
lec,Little East Conference (LEC),2025-26,msoc,Western Connecticut,Maximus Vigo,0,,21,22,8,0.0,0.0,18.0,39.0,13.0,1.0,6.0,1.0,1.0,1.77,0.82,0.59,0.273,0.045,12.0,1.0,0.0,0.0,2.0,1.0,2.0,0.091,7.0,0.0,2.0,0.0,0.32,0.09,0.0,0.0,0.0,,799:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.652976396660603,17,85,545
lec,Little East Conference (LEC),2025-26,msoc,Keene State,"Lubunga, Martin",0,,18,16,5,0.0,0.0,9.0,21.0,12.0,4.0,4.0,0.0,0.0,1.31,0.56,0.75,0.25,0.25,5.0,0.0,0.0,0.0,2.0,1.0,3.0,0.188,14.0,0.0,4.0,0.0,0.88,0.25,0.0,0.0,0.0,,772:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.412022339490057,18,85,585
lec,Little East Conference (LEC),2025-26,msoc,VTSU Castleton,Michael O'Connor,0,,24,18,18,0.0,0.0,7.0,19.0,12.0,2.0,5.0,0.0,0.0,1.06,0.39,0.67,0.278,0.111,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.056,20.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,,1569:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.318392390120651,19,84,607
lec,Little East Conference (LEC),2025-26,msoc,Western Connecticut,Jeffrey Norales,0,,10,21,20,0.0,0.0,8.0,26.0,9.0,7.0,1.0,0.0,0.0,1.24,0.38,0.43,0.048,0.333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.43,0.1,0.0,0.0,0.0,,1424:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.147091819520124,20,84,645
lec,Little East Conference (LEC),2025-26,msoc,Southern Maine,Jack Brady,0,,21,18,18,0.0,0.0,11.0,25.0,10.0,4.0,3.0,0.0,0.0,1.39,0.61,0.56,0.167,0.222,8.0,0.0,0.0,0.0,3.0,1.0,1.0,0.056,2.0,0.0,1.0,0.0,0.11,0.06,0.0,0.0,0.0,,1247:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.04375809457155,21,84,665
lec,Little East Conference (LEC),2025-26,msoc,Keene State,"Correa, Cristian",0,,11,14,12,0.0,0.0,14.0,31.0,11.0,1.0,5.0,1.0,1.0,2.21,1.0,0.79,0.357,0.071,9.0,0.0,0.0,0.0,1.0,2.0,2.0,0.143,2.0,0.0,1.0,0.0,0.14,0.07,0.0,0.0,0.0,,846:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.8228479405173976,22,83,716
lec,Little East Conference (LEC),2025-26,msoc,Western Connecticut,Jokin Martinez,0,,19,22,0,0.0,0.0,12.0,27.0,10.0,2.0,4.0,0.0,0.0,1.23,0.55,0.45,0.182,0.091,8.0,0.0,0.0,0.0,1.0,1.0,2.0,0.091,6.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,,774:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.7107545343921835,23,83,737
lec,Little East Conference (LEC),2025-26,msoc,Western Connecticut,Aidan Roxo,0,,18,20,18,0.0,0.0,10.0,15.0,8.0,6.0,1.0,0.0,0.0,0.75,0.5,0.4,0.05,0.3,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.2,0.05,0.0,0.0,0.0,,1337:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.6977741006167393,24,83,747
lec,Little East Conference (LEC),2025-26,msoc,UMass Dartmouth,"Scanlon, Nick",0,,16,19,0,0.0,0.0,7.0,14.0,10.0,2.0,4.0,0.0,0.0,0.74,0.37,0.53,0.211,0.105,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053,12.0,0.0,1.0,0.0,0.63,0.05,0.0,0.0,0.0,,722:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.404251977775319,25,82,813
lec,Little East Conference (LEC),2025-26,msoc,VTSU Castleton,Liam Cramer,0,,6,18,18,0.0,0.0,10.0,16.0,9.0,3.0,3.0,0.0,0.0,0.89,0.56,0.5,0.167,0.167,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.056,4.0,0.0,2.0,0.0,0.22,0.11,0.0,0.0,0.0,,1491:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.2459318409502362,26,82,870
lec,Little East Conference (LEC),2025-26,msoc,Rhode Island College,"Orellana, Julian",0,,17,15,11,0.0,0.0,10.0,23.0,8.0,4.0,2.0,1.0,1.0,1.53,0.67,0.53,0.133,0.267,8.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,0.53,0.07,0.0,0.0,0.0,,757:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.209408885829538,27,82,884
