conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,composite_score,rank,rating,global_rank
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Rowlee, Killian",,0,19,23,3,0,,1,0,0,2,0,3,4,3,1,3,06:00,0,0,0,0,0,0,3,7,7,14,0.5,1.0,20,9,11,8,0,66,19,5,14,0.21,0,0,,,,,,,,,,,,,,,,,,,15,86,17
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Biester, Ben",,0,20,25,1,0,,0,0,0,0,0,1,0,1,0,5,10:00,0,0,0,0,0,0,5,114,138,252,0.452,1.21,16,10,6,8,0,32,8,7,1,0.03,0,0,,,,,,,,,,,,,,,,,,,16,86,18
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Morton, Andrew",,0,21,12,1,0,,0,0,0,1,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,25,18,43,0.581,0.72,12,8,4,4,0,22,10,4,6,0.27,0,0,,,,,,,,,,,,,,,,,,,17,86,19
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Moreira, JP",,0,22,18,3,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,20,7,13,18,0,16,7,6,1,0.06,0,0,,,,,,,,,,,,,,,,,,,18,85,20
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Isherwood, Tyler",,0,23,19,1,0,,0,0,0,1,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,123,86,209,0.589,0.7,15,10,5,3,0,31,11,8,3,0.1,0,0,,,,,,,,,,,,,,,,,,,19,85,21
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Rothstein, Blake",,0,24,12,0,0,,0,0,0,1,0,0,0,2,1,4,08:00,0,0,0,0,0,0,4,3,3,6,0.5,1.0,12,4,8,5,0,40,10,4,6,0.15,0,0,,,,,,,,,,,,,,,,,,,20,84,22
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Carr, Shane",,0,25,23,8,0,,0,0,0,0,0,0,2,0,0,5,10:00,0,0,0,0,0,0,5,0,0,0,,0.0,14,15,-1,11,0,61,13,8,5,0.08,0,0,,,,,,,,,,,,,,,,,,,21,84,23
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Weinger, Cole",,0,26,16,2,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,1,0,1,1.0,100.0,11,10,1,15,0,26,4,4,0,0.0,0,0,,,,,,,,,,,,,,,,,,,22,84,24
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Cabral, Manny",,0,27,22,5,0,,0,1,0,2,0,0,3,1,0,7,22:00,0,1,0,0,0,0,6,12,5,17,0.706,0.42,15,9,6,6,0,58,19,9,10,0.17,0,0,,,,,,,,,,,,,,,,,,,23,83,25
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Otwell, Jett",,0,28,20,4,0,,0,0,0,2,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,12,13,25,0.48,1.08,16,9,7,7,0,34,14,8,6,0.18,0,0,,,,,,,,,,,,,,,,,,,24,83,26
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Lundgren, Max",,0,29,9,1,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,2,2,4,0.5,1.0,0,6,-6,2,0,5,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,25,83,27
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Soderling, Casper",,0,35,19,9,0,,0,0,0,0,0,0,2,0,0,5,10:00,0,0,0,0,0,0,5,0,0,0,,0.0,17,8,9,9,0,35,5,3,2,0.06,0,0,,,,,,,,,,,,,,,,,,,26,82,28
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Rhodes, Ryan",,0,30,4,4,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,4.0,243:46,10.0,102.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.911,4.0,0.0,0.0,2.46,,27,82,29
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Smith, Cam",,0,31,14,14,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0.0,0,0,14.0,834:03,30.0,308.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,0.0,0.911,11.0,0.0,0.0,2.16,,28,82,30
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,"Heaney, Thomas",,0,33,9,8,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,2,2,0,0.0,0,0,8.0,479:10,17.0,163.0,4103.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.906,8.0,0.0,0.0,2.13,,29,81,31
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Curry College,Casper S&ouml;derlin,,d,35,1,1,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,4,0,4,0,0,1,1,1,0,0.0,0,0,,,,,,,,,,,,,,,,,,,30,81,32
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Peter Sterling,,g,1,25,24,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0.0,0,0,25.0,1476:27,40.0,544.0,41494149.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.932,21.0,0.0,0.0,1.63,,31,81,33
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,James Hooley,,0,2,26,0,0,,0,0,0,0,0,0,0,1,0,3,06:00,0,0,0,0,0,0,3,0,1,1,0.0,0.0,33,6,27,19,0,50,9,8,1,0.02,0,0,,,,,,,,,,,,,,,,,,,32,80,34
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Carson Nickulas,,0,3,8,0,0,,0,0,0,0,0,0,1,0,0,1,02:00,0,0,0,0,0,0,1,0,0,0,,0.0,10,2,8,6,0,18,9,8,1,0.06,0,0,,,,,,,,,,,,,,,,,,,33,80,35
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Brad Zona,,0,4,18,0,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,0,0,,0.0,20,10,10,19,0,38,12,10,2,0.05,0,0,,,,,,,,,,,,,,,,,,,34,80,36
