conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,global_rank,rating
e8,Empire 8 (E8),2025-26,mvb,Elmira,"Peiser, Jordan",0,,20,76,33,0.279,696.0,104.0,298.0,15.0,4.0,77.0,0.0,45.0,61.0,298.0,0.0,0.0,45.0,1.0,122.0,25.0,0.0,18.0,7.0,359.0,1.0,3.92,0.2,1.61,0.33,0.59,4.72,6.424620047556422,1,99
skyline_conference,Skyline Conference,2025-26,mvb,Purchase,"Williams, Channing",0,,12,119,74,0.267,1149.0,222.0,529.0,33.0,6.0,146.0,0.0,34.0,39.0,419.0,0.0,0.0,369.0,32.0,249.0,67.0,17.0,58.0,9.0,601.0,2.0,4.45,0.28,2.09,0.56,0.29,5.05,6.406757679359477,2,97
njac,New Jersey Athletic Conference (NJAC),2025-26,mvb,NJCU,"Pardasie, Marcus",0,,10,103,29,0.313,998.0,140.0,452.0,32.0,4.0,128.0,0.0,33.0,44.0,420.0,0.0,0.0,580.0,14.0,223.0,34.0,1.0,22.0,12.0,508.0,2.0,4.39,0.31,2.17,0.33,0.32,4.93,6.35206919023963,3,96
skyline_conference,Skyline Conference,2025-26,mvb,Sarah Lawrence,"Davis, Nate",0,,4,84,63,0.334,805.0,111.0,380.0,8.0,4.0,70.0,0.0,17.0,34.0,247.0,0.0,0.0,422.0,21.0,163.0,31.0,3.0,21.0,10.0,417.5,0.0,4.52,0.1,1.94,0.37,0.2,4.97,6.27012867984168,4,96
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Stevenson,"Flanagan,Tim",0,,2,80,41,0.315,740.0,94.0,327.0,16.0,3.0,84.0,0.0,26.0,35.0,339.0,0.0,0.0,373.0,11.0,145.0,36.0,2.0,24.0,12.0,377.0,2.0,4.09,0.2,1.81,0.45,0.33,4.71,6.266411299077595,5,95
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Wisconsin Lutheran,"Hilton, Adonis",0,,13,12,6,0.258,93.0,16.0,40.0,4.0,0.0,16.0,0.0,8.0,13.0,45.0,0.0,0.0,59.0,3.0,10.0,4.0,0.0,4.0,0.0,50.0,0.0,3.33,0.33,0.83,0.33,0.67,4.17,6.100140272377367,6,95
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Misericordia,"Piontkowski, Jared",0,,13,120,65,0.29,1145.0,172.0,504.0,5.0,4.0,71.0,0.0,32.0,124.0,385.0,0.0,0.0,1.0,0.0,161.0,92.0,8.0,85.0,7.0,585.5,0.0,4.2,0.04,1.34,0.77,0.27,4.88,5.9259744782578085,7,95
njac,New Jersey Athletic Conference (NJAC),2025-26,mvb,Ramapo,"Kirchofer, Reece",0,,4,96,30,0.259,975.0,137.0,390.0,14.0,2.0,82.0,0.0,34.0,78.0,355.0,0.0,0.0,585.0,28.0,174.0,41.0,9.0,26.0,15.0,452.0,1.0,4.06,0.15,1.81,0.43,0.35,4.71,5.85309329402438,8,94
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Cairn University,"Poirier, Sam",0,,12,64,41,0.271,645.0,121.0,296.0,7.0,3.0,58.0,0.0,10.0,39.0,253.0,0.0,0.0,328.0,16.0,93.0,17.0,1.0,15.0,2.0,315.5,0.0,4.63,0.11,1.45,0.27,0.16,4.93,5.797530703902532,9,94
skyline_conference,Skyline Conference,2025-26,mvb,St. Joseph's-Brooklyn,"Martinez, Jeremias",0,,2,74,24,0.231,746.0,127.0,299.0,11.0,7.0,142.0,0.0,33.0,47.0,234.0,0.0,0.0,361.0,28.0,137.0,11.0,2.0,10.0,1.0,338.0,0.0,4.04,0.15,1.85,0.15,0.45,4.57,5.695992674789223,10,94
