conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,global_rank,rating
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Widener,"Christ, Matthew",0,,7,89,41,0.357,639.0,80.0,308.0,13.0,2.0,54.0,0.0,46.0,66.0,422.0,0.0,0.0,37.0,8.0,139.0,38.0,4.0,33.0,5.0,375.5,1.0,3.46,0.15,1.56,0.43,0.52,4.22,5.664594950026886,11,93
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,MSOE,"Harris, Callan",0,,2,87,39,0.221,813.0,154.0,334.0,15.0,3.0,86.0,0.0,23.0,66.0,295.0,0.0,0.0,7.0,0.0,205.0,52.0,2.0,44.0,8.0,387.0,0.0,3.84,0.17,2.36,0.6,0.26,4.45,5.6620577644197265,12,93
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Concordia Chicago,"Holubek, Tyler",0,,9,79,34,0.198,803.0,164.0,323.0,15.0,3.0,70.0,0.0,14.0,38.0,290.0,0.0,0.0,259.0,10.0,173.0,39.0,1.0,30.0,9.0,361.0,0.0,4.09,0.19,2.19,0.49,0.18,4.57,5.566306068250382,13,93
njac,New Jersey Athletic Conference (NJAC),2025-26,mvb,Kean,"Mitchell, Chris",0,,12,78,24,0.284,749.0,102.0,315.0,8.0,1.0,46.0,0.0,14.0,37.0,259.0,0.0,0.0,13.0,0.0,122.0,39.0,3.0,31.0,8.0,352.5,0.0,4.04,0.1,1.56,0.5,0.18,4.52,5.564850963939823,14,93
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Thiel,"Oesterling, Ezra",0,,2,108,49,0.28,994.0,147.0,425.0,18.0,7.0,111.0,0.0,46.0,105.0,471.0,0.0,0.0,549.0,25.0,202.0,35.0,3.0,19.0,16.0,496.5,0.0,3.94,0.17,1.87,0.32,0.43,4.6,5.553061240717043,15,92
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Wisconsin Lutheran,"Pichler, Brady",0,,8,100,44,0.235,947.0,149.0,372.0,16.0,4.0,102.0,0.0,35.0,72.0,342.0,0.0,0.0,5.0,0.0,169.0,58.0,1.0,42.0,16.0,444.0,1.0,3.72,0.16,1.69,0.58,0.35,4.44,5.536480244775537,16,92
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Messiah,"Kagoro, Alex",0,,4,98,59,0.278,891.0,160.0,408.0,35.0,7.0,138.0,0.0,30.0,80.0,384.0,0.0,0.0,498.0,27.0,168.0,24.0,6.0,13.0,11.0,455.5,0.0,4.16,0.36,1.71,0.24,0.31,4.65,5.339267772557144,17,92
e8,Empire 8 (E8),2025-26,mvb,Nazareth,"Wickens, Owen",0,,4,114,44,0.202,884.0,178.0,357.0,170.0,6.0,408.0,0.0,73.0,88.0,494.0,0.0,0.0,449.0,8.0,236.0,36.0,2.0,29.0,7.0,451.5,1.0,3.13,1.49,2.07,0.32,0.64,3.96,5.309209688376407,18,92
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Saint Vincent,Shawn McSwiggen,0,,18,83,78,0.236,815.0,140.0,332.0,6.0,1.0,53.0,0.0,23.0,38.0,287.0,0.0,0.0,4.0,2.0,164.0,23.0,4.0,17.0,6.0,369.5,1.0,4.0,0.07,1.98,0.28,0.28,4.45,5.308687640383495,19,91
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Valley Forge,"Harris, Toby",0,,12,74,43,0.245,603.0,94.0,242.0,34.0,12.0,191.0,0.0,45.0,73.0,262.0,0.0,0.0,378.0,17.0,160.0,10.0,6.0,4.0,6.0,295.0,0.0,3.27,0.46,2.16,0.14,0.61,3.99,5.252491950774599,20,91
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Aurora,"McLellan, Josh",0,,7,101,43,0.308,930.0,127.0,413.0,6.0,4.0,59.0,0.0,18.0,49.0,323.0,0.0,0.0,368.0,23.0,139.0,42.0,1.0,38.0,4.0,454.0,0.0,4.09,0.06,1.38,0.42,0.18,4.5,5.197780724881787,21,91
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Eastern Mennonite University,"Mills, Andre",0,,8,108,44,0.19,1051.0,170.0,370.0,15.0,5.0,101.0,0.0,35.0,55.0,328.0,0.0,0.0,8.0,3.0,163.0,79.0,2.0,71.0,8.0,448.5,2.0,3.43,0.14,1.51,0.73,0.32,4.15,5.131485610353518,22,91
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,King's,"Dougherty, Logan",0,,21,88,80,0.312,699.0,101.0,319.0,40.0,4.0,130.0,0.0,28.0,46.0,302.0,0.0,0.0,337.0,24.0,121.0,32.0,2.0,18.0,14.0,370.0,2.0,3.63,0.45,1.38,0.36,0.32,4.2,5.10798854282387,23,91
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Benedictine,"Armstrong, Cooper",0,,10,81,34,0.285,565.0,86.0,247.0,34.0,1.0,98.0,0.0,18.0,39.0,306.0,0.0,0.0,356.0,20.0,172.0,66.0,5.0,57.0,9.0,302.5,0.0,3.05,0.42,2.12,0.81,0.22,3.73,5.098378989853734,24,90
skyline_conference,Skyline Conference,2025-26,mvb,St. Joseph's-Long Island,"MacPherson, Luke",0,,7,78,27,0.308,571.0,71.0,247.0,19.0,1.0,71.0,0.0,31.0,39.0,270.0,0.0,0.0,294.0,22.0,153.0,31.0,1.0,27.0,4.0,295.5,0.0,3.17,0.24,1.96,0.4,0.4,3.79,4.99277462109613,25,90
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Stevens,"Sherman, Koby",0,,18,80,28,0.335,620.0,93.0,301.0,4.0,2.0,31.0,0.0,9.0,35.0,150.0,0.0,0.0,7.0,0.0,77.0,48.0,4.0,37.0,11.0,339.5,1.0,3.76,0.05,0.96,0.6,0.11,4.24,4.905725957641427,26,90
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Bryn Athyn,"Shepard, Miles",0,,20,61,30,0.164,615.0,140.0,241.0,12.0,13.0,128.0,0.0,4.0,20.0,157.0,0.0,0.0,309.0,28.0,135.0,22.0,6.0,7.0,15.0,263.5,0.0,3.95,0.2,2.21,0.36,0.07,4.32,4.9034129731883125,27,90
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Randolph-Macon College,"Rogan, Kody",0,,2,101,48,0.268,257.0,44.0,113.0,912.0,21.0,2212.0,0.0,49.0,105.0,422.0,0.0,0.0,7.0,3.0,208.0,61.0,2.0,48.0,13.0,199.0,1.0,1.12,9.03,2.06,0.6,0.49,1.97,4.840400785673413,28,90
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Randolph-Macon College,"Wagenhauser, Ian",0,,12,97,47,0.226,721.0,162.0,325.0,21.0,0.0,63.0,0.0,51.0,84.0,375.0,0.0,0.0,459.0,23.0,128.0,35.0,5.0,31.0,4.0,395.5,0.0,3.35,0.22,1.32,0.36,0.53,4.08,4.814509103237298,29,90
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Dominican,"Geschke, Ty",0,,7,76,33,0.287,613.0,99.0,275.0,14.0,11.0,86.0,0.0,15.0,56.0,241.0,0.0,0.0,365.0,8.0,99.0,38.0,1.0,34.0,4.0,311.0,0.0,3.62,0.18,1.3,0.5,0.2,4.09,4.7754949461286795,30,89
skyline_conference,Skyline Conference,2025-26,mvb,Manhattanville,"Medrano, Emil",0,,8,55,35,0.269,468.0,63.0,189.0,25.0,2.0,123.0,0.0,17.0,39.0,209.0,0.0,0.0,280.0,19.0,118.0,9.0,0.0,6.0,3.0,212.0,2.0,3.44,0.45,2.15,0.16,0.31,3.85,4.75444964704471,31,89
skyline_conference,Skyline Conference,2025-26,mvb,St. Joseph's-Long Island,"O'Donoghue, Denis",0,,14,10,1,0.121,58.0,14.0,21.0,0.0,1.0,2.0,0.0,8.0,7.0,25.0,0.0,0.0,22.0,1.0,15.0,3.0,0.0,1.0,2.0,31.5,0.0,2.1,0.0,1.5,0.3,0.8,3.15,4.703360626709947,32,89
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Bryn Athyn,"Choute, Bryan",0,,13,84,49,0.178,836.0,157.0,306.0,10.0,19.0,161.0,0.0,36.0,69.0,275.0,0.0,0.0,510.0,39.0,136.0,13.0,7.0,7.0,6.0,351.5,1.0,3.64,0.12,1.62,0.15,0.43,4.18,4.647893726403537,33,89
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Neumann,"Edmonds, Trey",0,,3,95,46,0.247,826.0,127.0,331.0,14.0,1.0,109.0,0.0,33.0,57.0,333.0,0.0,0.0,416.0,29.0,186.0,21.0,3.0,12.0,9.0,379.0,2.0,3.48,0.15,1.96,0.22,0.35,3.99,4.57942263122795,34,89
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Benedictine,"Radomski, Chris",0,,9,98,39,0.248,820.0,143.0,346.0,25.0,0.0,113.0,0.0,20.0,60.0,381.0,0.0,0.0,450.0,25.0,183.0,46.0,4.0,43.0,3.0,390.5,0.0,3.53,0.26,1.87,0.47,0.2,3.98,4.541910104248072,35,89
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Hiram,Kyle Martini,0,,10,89,39,0.298,533.0,101.0,260.0,17.0,5.0,105.0,0.0,19.0,66.0,252.0,0.0,0.0,3.0,0.0,117.0,79.0,16.0,62.0,17.0,327.0,0.0,2.92,0.19,1.31,0.89,0.21,3.67,4.516325554085864,36,88
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Misericordia,"DePalma, Anthony",0,,15,119,64,0.288,910.0,124.0,386.0,46.0,5.0,202.0,0.0,43.0,123.0,488.0,0.0,0.0,787.0,27.0,196.0,59.0,4.0,54.0,5.0,461.0,1.0,3.24,0.39,1.65,0.5,0.36,3.87,4.501039087210684,37,88
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Saint Vincent,Zeb Wyant,0,,8,80,69,0.194,628.0,129.0,251.0,20.0,3.0,81.0,0.0,30.0,66.0,348.0,0.0,0.0,448.0,24.0,153.0,30.0,3.0,11.0,19.0,305.5,0.0,3.14,0.25,1.91,0.38,0.38,3.82,4.487796377536849,38,88
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Geneva,"Ubinger, Andrew",0,,13,89,51,0.168,728.0,124.0,246.0,135.0,8.0,473.0,0.0,31.0,45.0,376.0,0.0,0.0,349.0,22.0,192.0,42.0,4.0,38.0,4.0,300.0,1.0,2.76,1.52,2.16,0.47,0.35,3.37,4.44027503199344,39,88
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Hiram,Derek Chiang,0,,20,93,35,0.284,638.0,116.0,297.0,18.0,3.0,80.0,0.0,25.0,26.0,293.0,0.0,0.0,287.0,8.0,163.0,38.0,11.0,27.0,11.0,346.5,1.0,3.19,0.19,1.75,0.41,0.27,3.73,4.355824238189709,40,88
skyline_conference,Skyline Conference,2025-26,mvb,Manhattanville,"Simmons, Kyle",0,,12,83,68,0.176,714.0,131.0,257.0,10.0,3.0,58.0,0.0,33.0,65.0,274.0,0.0,0.0,110.0,5.0,128.0,36.0,9.0,32.0,4.0,310.0,2.0,3.1,0.12,1.54,0.43,0.4,3.73,4.349037316610583,41,88
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Benedictine,"VanEngen, Spencer",0,,3,103,41,0.269,283.0,24.0,100.0,956.0,25.0,2372.0,0.0,17.0,83.0,372.0,0.0,0.0,5.0,2.0,197.0,94.0,3.0,80.0,14.0,171.0,2.0,0.97,9.28,1.91,0.91,0.17,1.66,4.3151092750592355,42,88
e8,Empire 8 (E8),2025-26,mvb,Elmira,"Jata, Luke",0,,16,81,37,0.237,493.0,99.0,216.0,14.0,6.0,77.0,0.0,49.0,74.0,347.0,0.0,0.0,463.0,29.0,132.0,23.0,1.0,11.0,12.0,282.5,0.0,2.67,0.17,1.63,0.28,0.6,3.49,4.254351350891801,43,87
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Dominican,"Goss, Casey",0,,20,57,18,0.226,412.0,72.0,165.0,8.0,4.0,41.0,0.0,21.0,47.0,211.0,0.0,0.0,5.0,1.0,98.0,22.0,0.0,20.0,2.0,198.0,0.0,2.89,0.14,1.72,0.39,0.37,3.47,4.235234192997026,44,87
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Hood,"Casas, Charles",0,,8,92,47,0.139,907.0,205.0,331.0,9.0,4.0,78.0,0.0,30.0,59.0,328.0,0.0,0.0,451.0,39.0,126.0,21.0,2.0,14.0,7.0,375.0,0.0,3.6,0.1,1.37,0.23,0.33,4.08,4.10275506869763,45,87
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Chatham,Benjamin Shelestak,0,,8,82,39,0.114,807.0,196.0,288.0,12.0,4.0,75.0,0.0,19.0,47.0,259.0,0.0,0.0,272.0,20.0,162.0,26.0,8.0,21.0,5.0,322.5,2.0,3.51,0.15,1.98,0.32,0.23,3.93,4.100972182418953,46,87
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Aurora,"Brouwer, Logan",0,,24,103,47,0.265,136.0,17.0,53.0,1020.0,12.0,2434.0,0.0,43.0,92.0,419.0,0.0,0.0,6.0,0.0,182.0,64.0,4.0,57.0,7.0,131.5,2.0,0.51,9.9,1.77,0.62,0.42,1.28,3.932026831416681,47,87
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Virginia Wesleyan,"Wills, JaMarhe",0,,2,91,42,0.207,690.0,136.0,279.0,23.0,1.0,97.0,0.0,20.0,50.0,340.0,0.0,0.0,294.0,19.0,168.0,42.0,5.0,35.0,7.0,323.5,1.0,3.07,0.25,1.85,0.46,0.22,3.55,3.902571467229526,48,87
skyline_conference,Skyline Conference,2025-26,mvb,St. Joseph's-Long Island,"Renniesen, Jesse",0,,22,9,1,0.375,48.0,6.0,24.0,1.0,1.0,5.0,0.0,3.0,3.0,22.0,0.0,0.0,1.0,0.0,9.0,5.0,0.0,5.0,0.0,29.5,0.0,2.67,0.11,1.0,0.56,0.33,3.28,3.900974581961558,49,87
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Marian,"Wills,Derek",0,,7,94,36,0.224,883.0,122.0,320.0,20.0,2.0,54.0,0.0,12.0,51.0,184.0,0.0,0.0,488.0,15.0,165.0,32.0,4.0,25.0,7.0,351.5,0.0,3.4,0.21,1.76,0.34,0.13,3.74,3.8918310795986777,50,86
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Randolph-Macon College,"Luck, Davis",0,,4,21,8,0.158,146.0,29.0,52.0,2.0,1.0,9.0,0.0,9.0,15.0,68.0,0.0,0.0,1.0,0.0,34.0,6.0,1.0,4.0,2.0,65.0,0.0,2.48,0.1,1.62,0.29,0.43,3.1,3.876026068304492,51,86
skyline_conference,Skyline Conference,2025-26,mvb,Old Westbury,"Eisel, Liam",0,,12,78,53,0.162,709.0,97.0,212.0,87.0,15.0,349.0,0.0,20.0,29.0,257.0,0.0,0.0,371.0,27.0,157.0,29.0,4.0,21.0,8.0,250.5,0.0,2.72,1.12,2.01,0.37,0.26,3.21,3.871615868396187,52,86
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Lancaster Bible College,"Yoder, Jordan",0,,24,98,47,0.208,673.0,127.0,267.0,14.0,0.0,78.0,0.0,40.0,96.0,404.0,0.0,0.0,552.0,14.0,189.0,43.0,4.0,29.0,14.0,335.5,0.0,2.72,0.14,1.93,0.44,0.41,3.42,3.8481075060801446,53,86
njac,New Jersey Athletic Conference (NJAC),2025-26,mvb,Rutgers-Newark,"Au, Derek",0,,14,112,32,0.238,248.0,42.0,101.0,1100.0,22.0,2417.0,0.0,38.0,71.0,514.0,0.0,0.0,9.0,2.0,192.0,51.0,7.0,46.0,5.0,167.0,4.0,0.9,9.82,1.71,0.46,0.34,1.49,3.8441496159074897,54,86
njac,New Jersey Athletic Conference (NJAC),2025-26,mvb,Rutgers-Newark,"Kolodziej, Aleks",0,,16,102,30,0.251,710.0,116.0,294.0,10.0,2.0,57.0,0.0,34.0,75.0,369.0,0.0,0.0,5.0,3.0,148.0,49.0,1.0,48.0,1.0,353.0,2.0,2.88,0.1,1.45,0.48,0.33,3.46,3.8235031532533794,55,86
e8,Empire 8 (E8),2025-26,mvb,Russell Sage,"Fox, Dylan",0,,4,102,40,0.178,799.0,169.0,311.0,23.0,5.0,125.0,0.0,22.0,64.0,346.0,0.0,0.0,38.0,2.0,158.0,59.0,12.0,47.0,12.0,368.5,2.0,3.05,0.23,1.55,0.58,0.22,3.61,3.8178462810011617,56,86
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,St. Norbert,"Kornaus, Bennett",0,,22,82,31,0.256,578.0,91.0,239.0,21.0,1.0,68.0,0.0,16.0,19.0,260.0,0.0,0.0,95.0,12.0,191.0,28.0,1.0,27.0,1.0,269.5,0.0,2.91,0.26,2.33,0.34,0.2,3.29,3.8033997840180382,57,86
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Virginia Wesleyan,"Sheppard, Matthew",0,,6,81,36,0.137,510.0,116.0,186.0,19.0,3.0,67.0,0.0,16.0,48.0,256.0,0.0,0.0,3.0,0.0,143.0,81.0,6.0,75.0,6.0,245.5,0.0,2.3,0.23,1.77,1.0,0.2,3.03,3.8003637199548583,58,85
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Geneva,"Kelley, Owen",0,,12,88,51,0.101,766.0,194.0,271.0,8.0,3.0,73.0,0.0,37.0,55.0,334.0,0.0,0.0,403.0,25.0,148.0,23.0,4.0,21.0,2.0,320.5,0.0,3.08,0.09,1.68,0.26,0.42,3.64,3.781929818441179,59,85
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Eastern,"Wokocha, Kaodi",0,,11,99,40,0.25,709.0,114.0,291.0,14.0,6.0,99.0,0.0,29.0,52.0,331.0,0.0,0.0,540.0,25.0,186.0,34.0,3.0,23.0,11.0,342.5,1.0,2.94,0.14,1.88,0.34,0.29,3.46,3.78166485537004,60,85
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Benedictine,"Lambert, Tucker",0,,18,54,14,0.255,326.0,53.0,136.0,5.0,2.0,26.0,0.0,17.0,33.0,166.0,0.0,0.0,37.0,4.0,46.0,33.0,0.0,24.0,9.0,174.0,0.0,2.52,0.09,0.85,0.61,0.31,3.22,3.77592520669413,61,85
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Lynchburg,"Redding, Nick",0,,18,84,40,0.192,639.0,150.0,273.0,15.0,3.0,48.0,0.0,17.0,72.0,259.0,0.0,0.0,1.0,1.0,112.0,39.0,8.0,33.0,6.0,312.5,0.0,3.25,0.18,1.33,0.46,0.2,3.72,3.7754654024958487,62,85
e8,Empire 8 (E8),2025-26,mvb,St. John Fisher,"Rauh, Ian",0,,17,102,69,0.423,461.0,66.0,261.0,8.0,2.0,31.0,0.0,22.0,56.0,281.0,0.0,0.0,2.0,0.0,20.0,93.0,2.0,77.0,16.0,337.5,0.0,2.56,0.08,0.2,0.91,0.22,3.31,3.7732141085338777,63,85
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Lancaster Bible College,"Forney, Dawson",0,,23,95,46,0.227,655.0,122.0,271.0,7.0,2.0,51.0,0.0,31.0,83.0,304.0,0.0,0.0,24.0,4.0,119.0,50.0,1.0,45.0,5.0,329.5,0.0,2.85,0.07,1.25,0.53,0.33,3.47,3.754256657662307,64,85
e8,Empire 8 (E8),2025-26,mvb,St. John Fisher,"Stella, Griffin",0,,3,105,61,0.498,500.0,34.0,283.0,20.0,5.0,70.0,0.0,8.0,10.0,369.0,0.0,0.0,19.0,1.0,65.0,80.0,8.0,50.0,30.0,346.0,0.0,2.7,0.19,0.62,0.76,0.08,3.3,3.752585066208589,65,85
njac,New Jersey Athletic Conference (NJAC),2025-26,mvb,NJCU,"Peralta, Matt",0,,6,84,25,0.245,554.0,114.0,250.0,20.0,1.0,81.0,0.0,27.0,72.0,239.0,0.0,0.0,352.0,36.0,151.0,23.0,0.0,18.0,5.0,291.0,0.0,2.98,0.24,1.8,0.27,0.32,3.46,3.69097736181228,66,85
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Chatham,Logan Pack,0,,11,85,39,0.215,678.0,131.0,277.0,10.0,1.0,59.0,0.0,11.0,50.0,205.0,0.0,0.0,446.0,19.0,122.0,36.0,7.0,24.0,12.0,312.0,1.0,3.26,0.12,1.44,0.42,0.13,3.67,3.681321743777288,67,84
e8,Empire 8 (E8),2025-26,mvb,Poly,"Gottler, Peter",0,,3,108,43,0.28,778.0,114.0,332.0,18.0,4.0,89.0,0.0,40.0,68.0,373.0,0.0,0.0,388.0,24.0,138.0,21.0,4.0,16.0,5.0,385.0,2.0,3.07,0.17,1.28,0.19,0.37,3.56,3.664812811036106,68,84
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Illinois Tech,"Laite, Riley",0,,14,72,26,0.179,492.0,98.0,186.0,16.0,4.0,66.0,0.0,34.0,49.0,218.0,0.0,0.0,283.0,11.0,130.0,16.0,1.0,13.0,3.0,229.5,0.0,2.58,0.22,1.81,0.22,0.47,3.19,3.6396490478308814,69,84
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,MSOE,"Thomas, Seth",0,,1,84,39,0.186,636.0,97.0,215.0,15.0,1.0,84.0,0.0,32.0,55.0,321.0,0.0,0.0,432.0,18.0,157.0,31.0,4.0,27.0,4.0,264.5,1.0,2.56,0.18,1.87,0.37,0.38,3.15,3.590102223847057,70,84
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Wilson College,"Wolfe, Jackson",0,,10,96,45,0.196,708.0,104.0,243.0,9.0,4.0,90.0,0.0,19.0,48.0,309.0,0.0,0.0,13.0,2.0,154.0,69.0,5.0,58.0,11.0,302.0,0.0,2.53,0.09,1.6,0.72,0.2,3.15,3.554678924166834,71,84
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Stevenson,"Thenell,Ryan",0,,5,76,41,0.194,558.0,112.0,220.0,7.0,1.0,49.0,0.0,16.0,47.0,276.0,0.0,0.0,4.0,1.0,138.0,32.0,8.0,30.0,2.0,253.0,0.0,2.89,0.09,1.82,0.42,0.21,3.33,3.541144747764168,72,84
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Edgewood,"Keesling, Jack",0,,14,36,17,0.198,167.0,37.0,70.0,5.0,0.0,17.0,0.0,17.0,13.0,127.0,0.0,0.0,1.0,0.0,18.0,24.0,0.0,22.0,2.0,100.0,0.0,1.94,0.14,0.5,0.67,0.47,2.78,3.53657253213098,73,84
skyline_conference,Skyline Conference,2025-26,mvb,St. Joseph's-Long Island,"Bender, Adam",0,,6,12,1,0.25,76.0,17.0,36.0,2.0,0.0,9.0,0.0,2.0,7.0,27.0,0.0,0.0,2.0,2.0,17.0,2.0,0.0,2.0,0.0,39.0,0.0,3.0,0.17,1.42,0.17,0.17,3.25,3.530414778240549,74,84
