conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
saa,Southern Athletic Association (SAA),2025-26,wbball,Berry,"Azeta,Alana",0,0,23,22,0,21,58,0,0,25,14,56,15,11,7,291,27,40,67,25,0,16,0,0,0.36,0.0,0.56,2.55,3.05,0.32,0.5,0.68,0.7272727272727273,-0.4396697267090276,62,58,2652
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Almeida,Sophia",0,G,0,5,0,1,1,1,1,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,-0.7111516058254683,63,58,2856
saa,Southern Athletic Association (SAA),2025-26,wbball,Sewanee,"Gavin,Grace",0,G,5,25,0,28,96,12,46,15,9,77,7,10,13,352,29,51,80,36,0,22,0,0,0.29,0.26,0.6,3.08,3.2,0.52,0.4,0.28,0.88,-0.7664337066110104,64,57,2816
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Maw,Maddy",0,G,5,28,2,38,133,20,86,30,16,112,6,19,25,456,4,30,34,31,0,38,0,0,0.29,0.23,0.53,4.0,1.21,0.89,0.68,0.21,1.3571428571428572,-0.830216603172788,65,57,2829
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"King,Elaine",0,F,22,14,0,6,10,0,0,2,1,13,6,3,9,122,9,20,29,17,0,4,0,0,0.6,0.0,0.5,0.93,2.07,0.64,0.21,0.43,0.2857142857142857,-0.8945002396511983,66,57,3022
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Elder,Briley",0,G,22,26,3,33,136,24,102,23,15,105,0,13,21,490,11,28,39,19,0,21,0,0,0.24,0.24,0.65,4.04,1.5,0.81,0.5,0.0,0.8076923076923077,-0.9049887910337364,67,56,2836
saa,Southern Athletic Association (SAA),2025-26,wbball,Berry,"Jarrett,Jeryn",0,*,3,9,9,10,30,6,20,4,3,29,0,5,19,225,3,16,19,12,0,24,0,0,0.33,0.3,0.75,3.22,2.11,2.11,0.56,0.0,2.6666666666666665,-1.1396591697827407,68,56,2943
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Pulley,Kate",0,C,25,7,0,4,5,0,0,2,0,8,0,0,0,16,1,2,3,4,0,3,0,0,0.8,0.0,0.0,1.14,0.43,0.0,0.0,0.0,0.42857142857142855,-1.1878184293309741,69,56,3239
saa,Southern Athletic Association (SAA),2025-26,wbball,Berry,"Jackson,Callie",0,0,21,26,12,32,96,21,58,15,10,95,0,8,9,396,7,24,31,20,0,18,0,0,0.33,0.36,0.67,3.65,1.19,0.35,0.31,0.0,0.6923076923076923,-1.2377863309890276,70,55,3155
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Segars,Channing",0,G,0,3,0,0,6,0,3,2,1,1,0,1,0,7,1,3,4,1,0,3,0,0,0.0,0.0,0.5,0.33,1.33,0.0,0.33,0.0,1.0,-1.2664737074675259,71,55,3369
