conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,William Paterson,"Houpt, Abby",0,,15,106,57,0.266,222.0,24.0,83.0,920.0,32.0,2686.0,0.0,54.0,46.0,506.0,0.0,0.0,7.0,0.0,218.0,30.0,3.0,29.0,1.0,152.5,5.0,0.78,8.68,2.06,0.28,0.51,1.44,3.180144362865969,16,81,249
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"O'Brien, Aspen",0,,13,119,46,0.33,200.0,6.0,72.0,1262.0,21.0,3002.0,0.0,52.0,23.0,458.0,0.0,0.0,10.0,1.0,231.0,21.0,1.0,21.0,0.0,134.5,2.0,0.61,10.61,1.94,0.18,0.44,1.13,3.157941338644585,17,80,228
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,William Paterson,"Miller, Cecilia",0,,1,100,21,0.204,894.0,127.0,309.0,15.0,1.0,59.0,0.0,15.0,18.0,134.0,0.0,0.0,360.0,41.0,180.0,22.0,1.0,21.0,1.0,335.5,0.0,3.09,0.15,1.8,0.22,0.15,3.36,3.053293420551351,18,79,393
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,NJCU,"Marrero, Rae",0,,11,97,50,0.145,200.0,29.0,58.0,875.0,48.0,2496.0,0.0,51.0,60.0,377.0,0.0,0.0,3.0,0.0,214.0,28.0,7.0,22.0,6.0,126.0,1.0,0.6,9.02,2.21,0.29,0.53,1.3,3.0127953894537627,19,79,285
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Ramapo,"Palen, Valentina",0,,21,93,46,0.195,759.0,114.0,262.0,11.0,4.0,76.0,0.0,27.0,22.0,239.0,0.0,0.0,327.0,56.0,161.0,15.0,2.0,12.0,3.0,298.0,0.0,2.82,0.12,1.73,0.16,0.29,3.2,2.8766909270528753,20,78,445
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Rowan,"Albrecht, Raven",0,,5,105,49,0.103,97.0,8.0,18.0,978.0,26.0,2553.0,0.0,78.0,26.0,529.0,0.0,0.0,9.0,1.0,227.0,0.0,2.0,0.0,0.0,96.0,3.0,0.17,9.31,2.16,0.0,0.74,0.91,2.540214761669643,21,78,402
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Rutgers-Camden,"Gbolahan, Gabby",0,,11,121,86,0.259,560.0,69.0,214.0,14.0,12.0,98.0,0.0,46.0,25.0,377.0,0.0,0.0,7.0,1.0,89.0,62.0,11.0,41.0,21.0,301.5,0.0,1.77,0.12,0.74,0.51,0.38,2.49,2.264589420929027,22,77,709
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Latino, Victoria",0,,22,109,34,0.192,765.0,117.0,264.0,10.0,3.0,41.0,0.0,17.0,23.0,175.0,0.0,0.0,223.0,24.0,116.0,44.0,2.0,42.0,2.0,304.0,1.0,2.42,0.09,1.06,0.4,0.16,2.79,2.24405580780194,23,77,720
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Rowan,"Bradley, Ciara",0,,21,96,47,0.16,382.0,69.0,130.0,8.0,1.0,40.0,0.0,53.0,50.0,342.0,0.0,0.0,8.0,1.0,50.0,57.0,3.0,45.0,12.0,217.5,0.0,1.35,0.08,0.52,0.59,0.55,2.27,2.0495060268654215,24,76,813
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Montclair State,"Craig, Breanna",0,,8,95,50,0.355,400.0,49.0,191.0,4.0,2.0,33.0,0.0,7.0,22.0,100.0,0.0,0.0,6.0,2.0,17.0,62.0,1.0,49.0,13.0,235.5,0.0,2.01,0.04,0.18,0.65,0.07,2.48,2.036977335627556,25,76,822
