conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Wheaton,"Lyon, Sydney",0,,21,108,48,0.185,891.0,152.0,317.0,27.0,8.0,127.0,0.0,37.0,47.0,314.0,0.0,0.0,474.0,30.0,203.0,26.0,1.0,23.0,3.0,368.5,1.0,2.94,0.25,1.88,0.24,0.34,3.41,3.3661653635831708,16,83,354
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Emerson,"Dickerson, Rachel",0,,17,77,38,0.155,711.0,103.0,213.0,9.0,1.0,70.0,0.0,23.0,14.0,207.0,0.0,0.0,335.0,29.0,115.0,21.0,2.0,18.0,3.0,248.0,2.0,2.77,0.12,1.49,0.27,0.3,3.22,3.290027120203004,17,82,365
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Springfield,"Saelua, Jodi",0,,16,98,50,0.352,488.0,48.0,220.0,8.0,1.0,42.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,17.0,98.0,10.0,78.0,20.0,279.0,0.0,2.24,0.08,0.17,1.0,0.0,2.85,3.148010904384704,18,82,388
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Springfield,"Hughes, Aubrey",0,,18,98,49,0.321,430.0,57.0,195.0,3.0,7.0,43.0,0.0,42.0,43.0,389.0,0.0,0.0,5.0,0.0,50.0,66.0,8.0,58.0,8.0,274.0,1.0,1.99,0.03,0.51,0.67,0.43,2.8,3.0835470841702177,19,81,439
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Springfield,"Keaveney, Emily",0,,4,97,50,0.189,689.0,93.0,223.0,25.0,5.0,115.0,0.0,49.0,38.0,314.0,0.0,0.0,332.0,38.0,253.0,13.0,1.0,12.0,1.0,279.0,0.0,2.3,0.26,2.61,0.13,0.51,2.88,3.0382836031234848,20,81,464
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Salve Regina,"Shurling, Lauren",0,,20,48,19,0.186,312.0,51.0,109.0,10.0,11.0,71.0,0.0,18.0,27.0,152.0,0.0,0.0,227.0,13.0,76.0,15.0,5.0,14.0,1.0,135.0,1.0,2.27,0.21,1.58,0.31,0.38,2.81,2.9727194196063853,21,81,468
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Holm, Angelina",0,,6,106,53,0.333,468.0,57.0,213.0,4.0,0.0,20.0,0.0,27.0,50.0,281.0,0.0,0.0,3.0,0.0,37.0,93.0,2.0,81.0,12.0,292.5,0.0,2.01,0.04,0.35,0.88,0.25,2.76,2.953453583384962,22,80,485
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Fouche, Hailey",0,,4,103,41,0.224,644.0,97.0,241.0,8.0,1.0,56.0,0.0,23.0,48.0,198.0,0.0,0.0,106.0,8.0,126.0,66.0,2.0,56.0,10.0,302.0,2.0,2.34,0.08,1.22,0.64,0.22,2.93,2.916876438370388,23,80,497
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Wellesley,"Hill, Evelyn",0,,4,52,38,0.059,408.0,84.0,108.0,3.0,0.0,55.0,0.0,26.0,16.0,200.0,0.0,0.0,302.0,39.0,103.0,14.0,4.0,12.0,2.0,142.0,0.0,2.08,0.06,1.98,0.27,0.5,2.73,2.906196060374595,24,79,511
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Somer, Sarah",0,,16,71,42,0.25,509.0,66.0,193.0,4.0,2.0,21.0,0.0,2.0,4.0,17.0,0.0,0.0,0.0,0.0,35.0,36.0,9.0,29.0,7.0,216.5,0.0,2.72,0.06,0.49,0.51,0.03,3.05,2.873449833500968,25,79,486
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Smith,"Chapin, Alison",0,,21,74,32,0.249,454.0,70.0,183.0,1.0,3.0,49.0,0.0,20.0,26.0,164.0,0.0,0.0,191.0,7.0,94.0,27.0,4.0,25.0,2.0,217.5,2.0,2.47,0.01,1.27,0.36,0.27,2.94,2.8733909725393505,26,78,509
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,WPI,"Hutchinson, Olivia",0,,5,93,49,0.345,415.0,38.0,181.0,5.0,2.0,34.0,0.0,20.0,26.0,312.0,0.0,0.0,4.0,0.0,67.0,69.0,10.0,52.0,17.0,244.0,1.0,1.95,0.05,0.72,0.74,0.22,2.62,2.7606101370075447,27,78,543
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Ventimiglia, Samantha",0,,18,83,52,0.379,314.0,30.0,149.0,4.0,2.0,33.0,0.0,23.0,17.0,291.0,0.0,0.0,8.0,0.0,61.0,60.0,14.0,45.0,15.0,209.5,0.0,1.8,0.05,0.73,0.72,0.28,2.52,2.7384456497129626,28,78,555
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Underwood, Claire",0,,14,104,49,0.328,500.0,68.0,232.0,6.0,2.0,36.0,0.0,5.0,8.0,23.0,0.0,0.0,7.0,2.0,27.0,74.0,7.0,66.0,8.0,278.0,0.0,2.23,0.06,0.26,0.71,0.05,2.67,2.446906288967149,29,77,645
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Salve Regina,"Jansen, Anouk",0,,10,80,35,0.205,522.0,89.0,196.0,8.0,10.0,98.0,0.0,19.0,21.0,172.0,0.0,0.0,267.0,33.0,85.0,19.0,5.0,12.0,7.0,228.0,1.0,2.45,0.1,1.06,0.24,0.24,2.85,2.405970926099954,30,77,681
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Smith,"Manzer, Madeleine",0,,25,9,3,0.4,25.0,1.0,11.0,1.0,0.0,7.0,0.0,3.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,7.0,2.0,19.5,1.0,1.22,0.11,0.11,1.0,0.33,2.17,2.3898917490647253,31,76,689
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Smith,"Klunder, Addison",0,,9,81,41,0.149,477.0,94.0,165.0,13.0,8.0,94.0,0.0,24.0,23.0,339.0,0.0,0.0,398.0,34.0,185.0,20.0,2.0,18.0,2.0,200.0,6.0,2.04,0.16,2.28,0.25,0.3,2.47,2.1454848062126604,32,76,790
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Clark,Isabella Alcott,0,,9,83,41,0.021,821.0,195.0,212.0,3.0,7.0,66.0,0.0,21.0,30.0,170.0,0.0,0.0,349.0,50.0,148.0,16.0,1.0,13.0,3.0,242.5,2.0,2.55,0.04,1.78,0.19,0.25,2.92,2.098752162593534,33,76,811
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Salve Regina,"Swanson, Lucy",0,,14,69,31,0.184,474.0,69.0,156.0,14.0,14.0,159.0,0.0,11.0,28.0,235.0,0.0,0.0,367.0,22.0,174.0,11.0,1.0,8.0,3.0,174.0,0.0,2.26,0.2,2.52,0.16,0.16,2.52,2.0345125083844513,34,75,832
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Smith,"Hunt, Abby",0,,24,71,34,0.226,389.0,41.0,129.0,4.0,2.0,52.0,0.0,6.0,7.0,86.0,0.0,0.0,229.0,13.0,103.0,44.0,4.0,39.0,5.0,159.5,0.0,1.82,0.06,1.45,0.62,0.08,2.25,2.031898980281736,35,75,810
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Molendyk, Allison",0,,7,48,8,0.146,302.0,64.0,108.0,3.0,1.0,22.0,0.0,8.0,9.0,59.0,0.0,0.0,64.0,7.0,26.0,14.0,0.0,13.0,1.0,123.5,2.0,2.25,0.06,0.54,0.29,0.17,2.57,1.9583721233176465,36,75,859
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Wheaton,"Wingler, Julia",0,,33,105,45,0.212,425.0,63.0,153.0,13.0,4.0,65.0,0.0,35.0,38.0,280.0,0.0,0.0,4.0,1.0,57.0,73.0,10.0,59.0,14.0,231.5,1.0,1.46,0.12,0.54,0.7,0.33,2.2,1.9512812344393395,37,74,911
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Salve Regina,"Hoyle, Lauren",0,,8,67,35,0.209,445.0,69.0,162.0,7.0,7.0,96.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,36.0,23.0,2.0,20.0,3.0,176.0,2.0,2.42,0.1,0.54,0.34,0.01,2.63,1.913170630819287,38,74,870
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Allen, Isabella",0,,9,107,46,0.226,787.0,112.0,290.0,2.0,4.0,41.0,0.0,1.0,5.0,20.0,0.0,0.0,75.0,8.0,64.0,23.0,0.0,19.0,4.0,304.5,1.0,2.71,0.02,0.6,0.21,0.01,2.85,1.8801518853258918,39,74,904
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Munro, Ailsa",0,,20,108,49,0.298,396.0,58.0,176.0,4.0,2.0,35.0,0.0,4.0,11.0,49.0,0.0,0.0,6.0,3.0,32.0,98.0,2.0,88.0,10.0,234.0,1.0,1.63,0.04,0.3,0.91,0.04,2.17,1.8653875732095238,40,73,921
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"May, Liberty",0,,26,83,22,0.209,401.0,78.0,162.0,11.0,3.0,47.0,0.0,22.0,49.0,201.0,0.0,0.0,54.0,1.0,69.0,33.0,1.0,28.0,5.0,203.0,2.0,1.95,0.13,0.83,0.4,0.27,2.45,1.8345774126487528,41,73,991
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Smith,"Teske, Olivia",0,,13,56,10,0.134,253.0,53.0,87.0,9.0,4.0,61.0,0.0,12.0,16.0,91.0,0.0,0.0,75.0,3.0,51.0,35.0,4.0,29.0,6.0,119.5,2.0,1.55,0.16,0.91,0.63,0.21,2.13,1.8220356932410648,42,73,971
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Wheaton,"Orban, Ajsa",0,,4,80,27,0.22,127.0,17.0,45.0,437.0,24.0,1273.0,0.0,31.0,36.0,215.0,0.0,0.0,0.0,0.0,113.0,23.0,5.0,20.0,3.0,89.0,8.0,0.56,5.46,1.41,0.29,0.39,1.11,1.767088183100359,43,72,982
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Emerson,"Yu, Shirley",0,,1,90,26,0.108,734.0,164.0,243.0,5.0,7.0,49.0,0.0,3.0,4.0,33.0,0.0,0.0,86.0,18.0,67.0,20.0,5.0,17.0,3.0,257.5,3.0,2.7,0.06,0.74,0.22,0.03,2.86,1.761047530911242,44,72,996
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Mount Holyoke,"Duffrin, Sadie",0,,3,101,37,0.034,148.0,21.0,26.0,842.0,14.0,2508.0,0.0,31.0,31.0,368.0,0.0,0.0,3.0,1.0,223.0,13.0,6.0,13.0,0.0,63.5,8.0,0.26,8.34,2.21,0.13,0.31,0.63,1.7378599345997803,45,72,966
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,WPI,"Spees, Bridget",0,,9,89,38,0.114,624.0,97.0,168.0,19.0,2.0,91.0,0.0,23.0,16.0,266.0,0.0,0.0,462.0,32.0,214.0,19.0,3.0,17.0,2.0,201.5,2.0,1.89,0.21,2.4,0.21,0.26,2.26,1.7315140516656453,46,71,1034
