conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Colby,Cyanne Jones,0,,23,107,45,0.238,432.0,71.0,174.0,22.0,0.0,60.0,0.0,40.0,29.0,389.0,0.0,0.0,7.0,1.0,88.0,119.0,9.0,95.0,24.0,285.5,1.0,1.63,0.21,0.82,1.11,0.37,2.67,2.8800963462753453,16,84,302
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Amherst,"Rasmussen, Charlotte",0,,21,42,18,0.178,314.0,51.0,107.0,3.0,0.0,22.0,0.0,7.0,12.0,113.0,0.0,0.0,189.0,16.0,66.0,15.0,3.0,14.0,1.0,122.0,0.0,2.55,0.07,1.57,0.36,0.17,2.9,2.78838428495416,17,83,475
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Hamilton,"Steel, Allie",0,,14,15,3,0.259,85.0,13.0,35.0,2.0,1.0,14.0,0.0,4.0,5.0,32.0,0.0,0.0,28.0,3.0,11.0,5.0,0.0,5.0,0.0,41.5,0.0,2.33,0.13,0.73,0.33,0.27,2.77,2.787014941271172,18,83,505
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Bates,Anais Reneaum,0,,21,73,69,0.344,358.0,40.0,163.0,2.0,1.0,11.0,0.0,1.0,0.0,9.0,0.0,0.0,11.0,1.0,18.0,70.0,11.0,58.0,12.0,205.0,0.0,2.23,0.03,0.25,0.96,0.01,2.81,2.715256744937073,19,82,400
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Hamilton,"Allen, Caitlin",0,,21,57,47,0.235,221.0,34.0,86.0,5.0,0.0,34.0,0.0,14.0,22.0,200.0,0.0,0.0,13.0,0.0,28.0,71.0,4.0,56.0,15.0,143.0,0.0,1.51,0.09,0.49,1.25,0.25,2.51,2.705954564969679,20,82,359
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Tufts,"Castor, Claire",0,,17,102,56,0.204,763.0,106.0,262.0,21.0,1.0,97.0,0.0,33.0,52.0,352.0,0.0,0.0,518.0,23.0,217.0,29.0,6.0,25.0,4.0,311.5,0.0,2.57,0.21,2.13,0.28,0.32,3.05,2.6927258833272725,21,81,488
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Colby,Kendall Glover,0,,6,78,33,0.369,331.0,41.0,163.0,6.0,3.0,20.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,24.0,81.0,1.0,63.0,18.0,213.5,2.0,2.09,0.08,0.31,1.04,0.01,2.74,2.6551544777596106,22,81,405
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Williams,"Campuzano, Keely",0,,17,95,51,0.227,638.0,121.0,266.0,5.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,51.0,57.0,6.0,51.0,6.0,297.5,0.0,2.8,0.05,0.54,0.6,0.0,3.13,2.5543788794236066,23,80,477
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Amherst,"Ngwadom, Chideraa",0,,15,44,18,0.158,183.0,35.0,64.0,2.0,1.0,22.0,0.0,11.0,11.0,142.0,0.0,0.0,2.0,0.0,37.0,50.0,12.0,41.0,9.0,104.5,1.0,1.45,0.05,0.84,1.14,0.25,2.38,2.533348524792646,24,80,436
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Middlebury,Campbell Bartley,0,,12,89,33,0.111,108.0,12.0,24.0,853.0,22.0,2327.0,0.0,22.0,14.0,339.0,0.0,0.0,1.0,0.0,190.0,28.0,0.0,28.0,0.0,60.0,1.0,0.27,9.58,2.13,0.31,0.25,0.67,2.527176199894882,25,79,585
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Tufts,"Kamdje, Maiwenn",0,,16,107,21,0.27,651.0,109.0,285.0,5.0,0.0,38.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,60.0,67.0,7.0,61.0,6.0,321.5,0.0,2.66,0.05,0.56,0.63,0.0,3.0,2.431673873515438,26,79,521
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Colby,LJ Grant,0,,4,80,23,0.177,555.0,79.0,177.0,8.0,4.0,44.0,0.0,21.0,11.0,279.0,0.0,0.0,367.0,16.0,204.0,23.0,4.0,21.0,2.0,210.5,2.0,2.21,0.1,2.55,0.29,0.26,2.63,2.4283855688924594,27,79,610
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Conn. College,"Lord, Riley",0,,5,76,45,0.128,522.0,95.0,162.0,8.0,4.0,61.0,0.0,33.0,47.0,221.0,0.0,0.0,212.0,13.0,110.0,27.0,6.0,26.0,1.0,209.0,1.0,2.13,0.11,1.45,0.36,0.43,2.75,2.3076049666150174,28,78,613
