conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph College,"Reid, Dante",0,,14,67,22,0.172,134.0,27.0,50.0,4.0,0.0,29.0,0.0,9.0,29.0,203.0,0.0,0.0,6.0,0.0,24.0,37.0,9.0,29.0,8.0,81.5,0.0,0.75,0.06,0.36,0.55,0.13,1.22,-0.27803874688627306,65,55,531
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,"Futrell, Nick",0,,10,90,40,0.185,189.0,30.0,65.0,3.0,4.0,19.0,0.0,0.0,1.0,18.0,0.0,0.0,5.0,1.0,13.0,70.0,0.0,59.0,11.0,105.5,0.0,0.72,0.03,0.14,0.78,0.0,1.17,-0.3164806747997031,66,55,534
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Roanoke College,"Scherber, Nathan",0,,16,3,0,0.0,8.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.5,0.0,0.67,0.0,0.33,0.33,0.0,0.83,-0.3839252082285254,67,54,583
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,"Brizendine, JB",0,,18,7,2,0.273,11.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.5,0.0,0.71,0.0,0.14,0.14,0.29,1.07,-0.40134774626615083,68,54,568
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Eastern Mennonite University,"Wright, Delan",0,,7,8,0,-0.188,16.0,7.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,17.0,0.0,0.0,9.0,0.0,1.0,3.0,0.0,3.0,0.0,7.5,0.0,0.5,0.0,0.13,0.38,0.25,0.94,-0.4769904301050503,69,54,578
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Virginia Wesleyan,"Rombaoa, Beckham",0,,7,52,13,0.125,16.0,1.0,3.0,277.0,3.0,638.0,0.0,11.0,35.0,154.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,14.0,0.0,0.06,5.33,0.96,0.0,0.21,0.27,-0.559754303059184,70,53,594
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Virginia Wesleyan,"Ogle, Jagger",0,,10,58,28,-0.133,15.0,3.0,1.0,272.0,12.0,716.0,0.0,10.0,41.0,233.0,0.0,0.0,2.0,0.0,85.0,5.0,0.0,5.0,0.0,13.5,0.0,0.02,4.69,1.47,0.09,0.17,0.23,-0.6414243083160003,71,53,613
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph College,"Meyer, Ethan",0,,8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6661942500869805,72,53,652
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Eastern Mennonite University,"Clemente, Sebastian",0,,12,111,40,0.13,262.0,58.0,92.0,16.0,2.0,120.0,0.0,16.0,53.0,281.0,0.0,0.0,625.0,30.0,174.0,17.0,1.0,14.0,3.0,118.0,0.0,0.83,0.14,1.57,0.15,0.14,1.06,-0.8157619515000343,73,53,657
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Averett University,"Dingle, Jasiri",0,,13,3,0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,-0.8217929085288941,74,52,675
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Eastern Mennonite University,"Morales Torres, Diego",0,,9,58,11,0.067,15.0,3.0,4.0,228.0,5.0,659.0,0.0,7.0,13.0,107.0,0.0,0.0,1.0,0.0,61.0,9.0,0.0,9.0,0.0,15.5,0.0,0.07,3.93,1.05,0.16,0.12,0.27,-0.8539252853447654,75,52,644
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Roanoke College,"Houser, Leo",0,,7,15,3,0.0,1.0,0.0,0.0,63.0,2.0,163.0,0.0,3.0,5.0,55.0,0.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.2,1.0,0.0,0.2,0.2,-0.9113771297380473,76,52,658
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Averett University,"Breen, Nicholas",0,,18,68,19,0.033,184.0,41.0,47.0,7.0,2.0,34.0,0.0,10.0,14.0,195.0,0.0,0.0,1.0,0.0,58.0,14.0,2.0,14.0,0.0,64.0,1.0,0.69,0.1,0.85,0.21,0.15,0.94,-0.9437130286955081,77,51,667
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Lynchburg,"Filimaua, Jourdin",0,,16,27,8,0.029,34.0,9.0,10.0,0.0,0.0,3.0,0.0,5.0,20.0,49.0,0.0,0.0,1.0,0.0,3.0,12.0,0.0,9.0,3.0,22.5,0.0,0.37,0.0,0.11,0.44,0.19,0.83,-0.9775715552814409,78,51,666
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Eastern Mennonite University,"Diaz, Derek",0,,14,64,4,0.134,172.0,31.0,54.0,4.0,0.0,19.0,0.0,4.0,22.0,122.0,0.0,0.0,78.0,7.0,15.0,19.0,0.0,15.0,4.0,69.5,0.0,0.84,0.06,0.23,0.3,0.06,1.09,-1.0054144806176877,79,51,680
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Lynchburg,"Wilson, Kohlby",0,,6,6,0,-0.286,7.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.17,0.0,0.5,0.17,0.17,0.5,-1.0464050633743434,80,50,696
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph College,"Furr, Noah",0,,9,87,1,0.065,248.0,49.0,65.0,3.0,4.0,30.0,0.0,15.0,38.0,282.0,0.0,0.0,3.0,2.0,106.0,7.0,1.0,6.0,1.0,84.0,0.0,0.75,0.03,1.22,0.08,0.17,0.97,-1.0592883259454497,81,50,693
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph College,"Kranz, Aiden",0,,18,31,3,0.421,19.0,1.0,9.0,81.0,11.0,281.0,0.0,3.0,7.0,54.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,5.0,0.0,14.5,1.0,0.29,2.61,0.55,0.16,0.1,0.47,-1.088262434507054,82,50,687
