conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Webster,"Harding-Fair,Dallas",0,C,44,27,6,56,108,0,1,56,39,151,7,13,24,418,49,67,116,38,0,19,0,0,0.52,0.0,0.7,5.59,4.3,0.89,0.48,0.26,0.7037037037037037,1.9924667750091032,49,69,5990
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,"Hendrix,Gavin",0,F,13,22,17,48,98,1,2,60,41,138,5,11,21,456,43,92,135,44,2,43,0,0,0.49,0.5,0.68,6.27,6.14,0.95,0.5,0.23,1.9545454545454546,1.9846151779596095,50,69,6063
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Eureka,"Richardson,Max",0,F,35,25,20,55,117,7,26,42,30,147,9,12,27,477,21,46,67,56,0,19,1,0,0.47,0.27,0.71,5.88,2.68,1.08,0.48,0.36,0.76,1.6523186351174757,51,69,6105
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Spalding,"Jones,Kameron",0,G,03,26,16,50,131,36,102,22,16,152,2,15,34,550,27,64,91,40,0,23,0,0,0.38,0.35,0.73,5.85,3.5,1.31,0.58,0.08,0.8846153846153846,1.6108847497109915,52,68,6113
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,Homes Hansen,0,0,10,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.5259028911680914,53,68,6079
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,"LeRose,Sean",0,G,02,24,6,61,146,22,59,47,39,183,2,7,30,476,8,33,41,36,0,33,0,0,0.42,0.37,0.83,7.63,1.71,1.25,0.29,0.08,1.375,1.427347302256369,54,68,6057
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,MUW,"Reid,Jackson",0,G,01,23,21,50,118,11,39,33,19,130,3,16,56,721,13,47,60,32,0,51,0,0,0.42,0.28,0.58,5.65,2.61,2.43,0.7,0.13,2.217391304347826,1.1830582968073469,55,67,5999
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,Adam Abuziad,0,0,34,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.1444271683760685,56,67,6081
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Blackburn,"Duff,Darius",0,G,03,25,5,33,63,4,8,67,40,110,4,19,33,449,28,31,59,29,0,18,1,0,0.52,0.5,0.6,4.4,2.36,1.32,0.76,0.16,0.72,1.1270464613671578,57,67,6012
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,"Philips,Roman",0,C,06,24,0,52,93,0,0,35,16,120,9,10,8,300,33,56,89,56,0,23,1,0,0.56,0.0,0.46,5.0,3.71,0.33,0.42,0.38,0.9583333333333334,1.1106357514163059,58,67,6060
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,"Temple,Aidan",0,F,24,20,8,38,116,15,59,15,8,99,4,10,23,359,14,77,91,23,0,29,0,0,0.33,0.25,0.53,4.95,4.55,1.15,0.5,0.2,1.45,0.9404294437210431,59,66,6068
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Greenville,"Acevedo,Newton",0,,10,25,7,33,88,6,27,39,25,97,3,26,44,359,29,32,61,42,1,22,3,0,0.38,0.22,0.64,3.88,2.44,1.76,1.04,0.12,0.88,0.8869865656708724,60,66,5964
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Greenville,"Gurgel,Jackson",0,,07,26,9,45,150,37,126,15,12,139,1,27,29,336,16,9,25,15,0,8,0,0,0.3,0.29,0.8,5.35,0.96,1.12,1.04,0.04,0.3076923076923077,0.8781996222492101,61,66,5962
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,Roman Phillips,0,0,6,-16,0,-20,-32,0,0,-36,-6,-46,-4,-6,-5,-195,-29,-22,-51,-43,0,-24,-1,0,0.63,0.0,0.17,2.88,3.19,0.31,0.38,0.25,1.5,0.7361759184239375,62,65,6078
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Spalding,"Burton,Xavier",0,F,20,16,4,32,100,13,41,15,7,84,7,9,16,286,4,32,36,20,1,17,0,0,0.32,0.32,0.47,5.25,2.25,1.0,0.56,0.44,1.0625,0.7089436299094868,63,65,6128
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Eureka,"Lauff,Jonah",0,F,30,23,3,44,109,24,66,17,13,125,3,11,10,327,6,50,56,21,0,18,0,0,0.4,0.36,0.76,5.43,2.43,0.43,0.48,0.13,0.782608695652174,0.5847411548407011,64,65,6100
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Eureka,"Moore,Damuzha",0,F,44,20,0,42,94,14,36,28,17,115,3,2,5,257,15,35,50,26,0,15,1,0,0.45,0.39,0.61,5.75,2.5,0.25,0.1,0.15,0.75,0.5844880994191883,65,65,6107
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Eureka,"Gonzalez,Jacob",0,G,24,25,1,45,115,1,7,54,31,122,2,7,29,360,10,38,48,24,0,19,0,0,0.39,0.14,0.57,4.88,1.92,1.16,0.28,0.08,0.76,0.47047473167642473,66,64,6098
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Greenville,"Johnson,Caleb",0,,14,26,3,47,122,25,80,29,19,138,3,11,5,228,26,27,53,25,0,10,0,0,0.39,0.31,0.66,5.31,2.04,0.19,0.42,0.12,0.38461538461538464,0.4667612616530318,67,64,5966
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Lyon,"Brown,Cameron",0,,32,26,0,29,42,0,0,19,13,71,15,2,8,206,27,40,67,36,0,9,0,0,0.69,0.0,0.68,2.73,2.58,0.31,0.08,0.58,0.34615384615384615,0.31400148578889353,68,64,6053
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Spalding,"Fon,Brunley",0,F,34,25,2,38,70,0,0,27,14,90,9,5,11,276,32,59,91,31,0,27,0,0,0.54,0.0,0.52,3.6,3.64,0.44,0.2,0.36,1.08,0.20898047744287984,69,64,6125
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Webster,"Horton,Kendall",0,G,20,23,10,24,63,3,15,20,13,64,6,33,37,392,6,30,36,41,0,23,0,0,0.38,0.2,0.65,2.78,1.57,1.61,1.43,0.26,1.0,0.20541764298239593,70,63,5980
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Spalding,"Langley,Levi",0,F,05,21,13,35,97,9,39,14,11,90,6,5,21,341,8,44,52,24,0,22,0,0,0.36,0.23,0.79,4.29,2.48,1.0,0.24,0.29,1.0476190476190477,0.12517127687342205,71,63,6115
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Lyon,"Warren,Kennedy",0,F,25,23,22,43,110,6,18,44,27,119,4,13,10,415,19,33,52,33,0,29,0,0,0.39,0.33,0.61,5.17,2.26,0.43,0.57,0.17,1.2608695652173914,0.11610648169880983,72,63,6051
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Lyon,"Rogers,Hudson",0,F,15,20,0,29,68,5,20,20,15,78,6,3,12,174,20,25,45,27,0,12,1,0,0.43,0.25,0.75,3.9,2.25,0.6,0.15,0.3,0.6,0.03484457914206708,73,63,6046
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Eureka,"Doss,Brady",0,C,34,1,0,1,1,0,0,0,0,2,0,0,0,3,1,1,2,0,0,0,0,0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0019201595411184908,74,62,6104
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,MUW,"Howell,Cayden",0,G,20,6,1,12,26,4,13,2,0,28,0,1,5,105,1,13,14,8,0,8,0,0,0.46,0.31,0.0,4.67,2.33,0.83,0.17,0.0,1.3333333333333333,-0.05535850402341539,75,62,6007
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Principia,"McDowell,Xavier",0,G,00,25,7,46,143,34,112,4,2,128,8,9,17,483,2,48,50,40,0,35,0,0,0.32,0.3,0.5,5.12,2.0,0.68,0.36,0.32,1.4,-0.08870957186506523,76,62,6129
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,"Martucci,Matt",0,G,30,3,0,2,2,1,1,0,0,5,1,1,0,5,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.67,0.0,0.0,0.33,0.33,0.0,-0.10883495063855597,77,62,6069
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Principia,"Schauman,Derek",0,G,23,25,13,37,111,24,75,7,4,102,5,16,18,467,8,49,57,28,0,27,0,0,0.33,0.32,0.57,4.08,2.28,0.72,0.64,0.2,1.08,-0.15995805912214703,78,61,6140
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,"Busch,Isaac",0,G,32,17,0,18,39,3,6,13,12,51,3,9,11,169,13,26,39,15,0,10,0,0,0.46,0.5,0.92,3.0,2.29,0.65,0.53,0.18,0.5882352941176471,-0.16266379365718128,79,61,6070
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Eureka,"Mabon,Tony",0,F,22,1,0,1,5,0,0,0,0,2,0,0,0,8,1,1,2,1,0,0,0,0,0.2,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-0.17464838566705038,80,61,6097
