conference_code,conference,season,team,player_name,first_name,last_name,games_played,mpg,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,T Powell-Aparicio,T,Powell-Aparicio,17,14.8,5.7,2.4,1.4,1.0,0.2,2.6,-1.9255345875876597,57,51,2569
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,C Burleson,C,Burleson,22,17.8,5.7,1.5,0.7,0.2,0.0,0.9,-1.9351452740542983,58,50,2568
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,I Alexander,I,Alexander,21,15.3,4.9,1.3,0.6,0.5,0.0,0.6,-2.022359680619287,59,50,2578
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,K Wiley,K,Wiley,23,12.0,3.1,2.1,0.5,0.6,0.5,0.5,-2.162956202511595,60,49,2586
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,J McKinney,J,McKinney,19,11.5,2.9,2.7,0.5,0.3,0.6,0.6,-2.2557133614329925,61,49,2589
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,A Fournier,A,Fournier,25,15.1,2.4,2.9,1.2,0.5,0.4,1.1,-2.4626869241185645,62,48,2594
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,B White,B,White,25,15.9,2.6,1.6,1.8,0.6,0.2,1.1,-2.5292025702696725,63,48,2593
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,M Knight,M,Knight,25,15.0,2.6,3.0,1.2,0.5,0.1,1.2,-2.649587732266912,64,48,2592
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,S Joacine,S,Joacine,25,12.1,2.8,1.9,0.3,0.3,0.2,0.5,-2.902011380690063,65,47,2590
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,M Hayes,M,Hayes,26,10.3,3.0,1.2,0.9,0.5,0.0,0.8,-2.9527150274048664,66,47,2587
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,A Bah,A,Bah,22,15.4,1.9,2.5,1.1,0.1,0.4,0.9,-2.9741156709594287,67,46,2599
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,T Green,T,Green,21,9.9,3.1,1.0,0.6,0.5,0.1,1.0,-3.2095176256490956,68,46,2585
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,N Obarisiagbon,N,Obarisiagbon,22,8.6,1.6,3.1,0.2,0.2,0.2,0.5,-3.2251514160512125,69,46,2601
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,J Witt,J,Witt,15,9.5,1.9,1.5,0.3,0.3,0.3,0.5,-3.379350473999273,70,45,2598
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,J Simeon,J,Simeon,22,12.8,2.7,2.1,0.1,0.3,0.1,0.9,-3.3872954616044733,71,45,2591
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,J Beltres Diaz,J Beltres,Diaz,18,7.8,1.3,1.6,0.7,0.6,0.0,0.5,-3.4657507950201647,72,44,2606
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,J Florestal,J,Florestal,20,10.8,1.9,0.9,0.1,0.5,0.1,0.5,-3.712074961366588,73,44,2600
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,L Sanchez,L,Sanchez,19,7.9,2.0,0.8,0.5,0.1,0.1,0.6,-3.79347242200775,74,44,2597
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,B Saint Louis,B Saint,Louis,18,3.6,1.3,1.8,0.1,0.2,0.1,0.4,-3.8292749500600833,75,43,2604
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,S Mierzwa,S,Mierzwa,21,6.6,1.5,0.9,0.4,0.2,0.1,0.4,-3.84346937649693,76,43,2603
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,T Williams,T,Williams,19,9.6,2.1,1.5,0.3,0.3,0.0,1.1,-3.982306327160587,77,43,2596
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,J Sullivan,J,Sullivan,22,6.1,1.3,1.2,0.1,0.0,0.0,0.1,-3.98543074577381,78,42,2605
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,P Freeman,P,Freeman,23,7.7,2.3,0.8,0.5,0.1,0.0,1.0,-4.0363471476379615,79,42,2595
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,S Hebert,S,Hebert,19,5.7,0.8,0.6,0.3,0.3,0.0,0.1,-4.115243609033287,80,41,2608
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,A Parker,A,Parker,24,7.3,1.6,0.9,0.5,0.3,0.1,1.1,-4.217236065185599,81,41,2602
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,S Craig,S,Craig,18,4.9,0.4,0.8,0.1,0.4,0.1,0.1,-4.217309168040064,82,41,2610
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,K Gann,K,Gann,21,9.2,0.5,1.2,0.2,0.1,0.2,0.3,-4.248739282113245,83,40,2609
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,T McCoy,T,McCoy,15,5.8,1.1,0.7,0.1,0.0,0.1,0.5,-4.465305811800589,84,40,2607
