conference_code,conference,season,team,player_name,first_name,last_name,games_played,mpg,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,R Welch,R,Welch,25,37.6,26.1,8.2,4.2,1.6,0.2,3.5,12.2381050914866,1,99,6145
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,L Johnson Jr.,L Johnson,Jr.,18,33.4,19.8,12.0,3.2,2.6,2.0,4.1,10.954899519974655,2,93,6146
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,A Coston,A,Coston,27,30.4,14.9,7.9,3.3,0.9,1.1,1.6,7.2288855644807875,3,91,6151
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,D Judd,D,Judd,28,30.0,18.1,9.0,1.4,0.9,0.9,2.8,7.040572789562892,4,89,6147
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,M Garza,M,Garza,25,33.9,16.3,5.4,1.8,1.4,0.4,1.9,5.814395941161631,5,87,6148
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,L Matthews,L,Matthews,26,33.1,16.2,6.3,1.2,1.0,0.2,1.3,5.731440657512641,6,86,6149
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,C LaClair,C,LaClair,25,30.8,14.2,7.8,2.3,1.0,0.2,1.5,5.672917224769163,7,85,6153
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,K Arcuri,K,Arcuri,23,31.2,13.2,7.1,2.8,1.0,0.4,1.2,5.601728353371707,8,84,6156
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,M Hancock,M,Hancock,25,30.4,13.5,6.6,3.3,1.2,0.4,2.1,5.350059209990951,9,82,6155
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,I Rivera,I,Rivera,25,29.9,15.2,7.1,1.8,1.6,1.1,3.5,5.179447246604237,10,81,6150
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,J McGhee,J,McGhee,28,22.9,14.5,3.1,2.1,1.2,0.2,1.1,4.634608433605584,11,81,6152
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,J Reese,J,Reese,25,26.4,13.6,5.0,1.8,2.1,0.8,2.4,4.594730259133737,12,80,6154
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,A Foster,A,Foster,28,29.0,10.5,6.6,2.6,1.8,0.3,2.1,3.6123496777512702,13,79,6169
