conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
ll,Liberty League (LL),2025-26,mbball,Vassar,"Zhang,Eric",0,G,13,26,0,28,76,5,21,15,7,68,3,13,12,260,9,20,29,26,0,12,0,0,0.37,0.24,0.47,2.62,1.12,0.46,0.5,0.12,0.46153846153846156,-1.540586641280731,110,51,2127
ll,Liberty League (LL),2025-26,mbball,Clarkson,"Dingman,James",0,G,11,6,0,2,5,1,3,2,2,7,0,2,2,20,0,0,0,2,0,1,0,0,0.4,0.33,1.0,1.17,0.0,0.33,0.33,0.0,0.16666666666666666,-1.5724010322207878,111,51,2141
ll,Liberty League (LL),2025-26,mbball,Bard,"Zampoukas,Dimitrios",0,F,25,25,1,18,61,5,27,9,6,47,15,13,21,362,8,51,59,40,0,29,1,0,0.3,0.19,0.67,1.88,2.36,0.84,0.52,0.6,1.16,-1.6303435902847927,112,51,2224
ll,Liberty League (LL),2025-26,mbball,Skidmore,"Weisberg,Charlie",0,G,11,25,2,32,119,22,95,5,3,89,0,0,12,267,10,29,39,10,0,13,0,0,0.27,0.23,0.6,3.56,1.56,0.48,0.0,0.0,0.52,-1.678692096995148,113,50,2156
ll,Liberty League (LL),2025-26,mbball,Union,"Jauregui,Jaden",0,G,13,15,4,9,23,2,5,5,4,24,2,7,7,136,12,15,27,15,0,6,0,0,0.39,0.4,0.8,1.6,1.8,0.47,0.47,0.13,0.4,-1.7086946835905699,114,50,2101
ll,Liberty League (LL),2025-26,mbball,Clarkson,"Rappa,Ben",0,G,30,24,0,12,35,3,20,16,6,33,4,17,15,247,13,17,30,35,0,7,0,0,0.34,0.15,0.38,1.38,1.25,0.63,0.71,0.17,0.2916666666666667,-1.7866488557199212,115,50,2149
ll,Liberty League (LL),2025-26,mbball,Clarkson,"Montesano,Casey",0,G,3,6,0,3,12,1,8,2,1,8,2,1,1,39,2,4,6,3,0,4,0,0,0.25,0.13,0.5,1.33,1.0,0.17,0.17,0.33,0.6666666666666666,-1.7881800422667067,116,50,2137
ll,Liberty League (LL),2025-26,mbball,RIT,"Gibbs,Jason",0,,10,21,0,19,48,2,15,5,4,44,0,12,18,153,2,8,10,15,0,11,0,0,0.4,0.13,0.8,2.1,0.48,0.86,0.57,0.0,0.5238095238095238,-1.792153678031697,117,50,2186
ll,Liberty League (LL),2025-26,mbball,Union,"Duffy,Aidan",0,F,34,4,0,0,1,0,0,0,0,0,0,0,0,8,0,1,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-1.8343761756356043,118,49,2113
ll,Liberty League (LL),2025-26,mbball,RPI,"Daniel,Noah",0,G,4,9,0,6,16,0,5,4,4,16,2,3,1,44,1,9,10,6,0,3,0,0,0.38,0.0,1.0,1.78,1.11,0.11,0.33,0.22,0.3333333333333333,-1.8719594944626883,119,49,2165
