conference_code,conference,season,team,player_name,first_name,last_name,games_played,mpg,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,E Madesko,E,Madesko,25,34.8,20.1,6.0,5.7,2.5,0.3,2.4,9.490580647259636,1,99,1366
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),R Wani,R,Wani,22,33.3,23.3,6.7,3.1,1.1,0.5,2.2,9.270613359869667,2,94,1364
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Rivier,R Baguidy,R,Baguidy,25,39.4,18.5,4.7,6.3,2.5,0.1,2.8,8.110248124800833,3,92,1368
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,T Daniels,T,Daniels,24,29.3,21.3,3.3,3.3,2.1,0.0,2.0,7.686088050941074,4,90,1365
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),W Donato,W,Donato,28,29.6,15.5,7.5,3.8,1.8,1.5,2.8,6.774954448693408,5,89,1375
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Rivier,I Shaw-Glen,I,Shaw-Glen,25,35.0,18.8,7.9,1.3,0.9,1.0,2.4,6.5426944557637325,6,87,1367
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,A Mansaray,A,Mansaray,25,32.2,16.3,8.4,2.6,1.2,1.6,2.9,6.414998293195585,7,86,1371
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,"R Ford, Jr.","R Ford,",Jr.,27,34.1,16.2,4.8,4.2,1.9,0.2,1.9,6.2817972237673265,8,85,1372
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,C Yeates,C,Yeates,26,31.8,17.0,6.5,2.5,2.3,0.2,2.3,6.255919801552928,9,84,1370
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,M Guerrier,M,Guerrier,27,31.0,15.5,8.1,2.4,1.0,0.4,1.6,5.885052962446098,10,83,1376
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,A Madesko,A,Madesko,26,33.3,12.4,7.8,4.8,2.0,0.6,2.2,5.878106441515062,11,82,1390
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,I Earl,I,Earl,27,30.9,13.8,6.7,1.8,1.6,1.7,2.2,5.073574838772743,12,82,1384
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),J Frazier,J,Frazier,24,32.3,15.3,4.4,2.3,1.0,0.7,1.2,5.008206151150523,13,81,1378
gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),L Altenor,L,Altenor,28,34.3,15.7,3.5,2.7,1.5,0.1,1.4,4.84367486551478,14,80,1374
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,M Ndayishimiye,M,Ndayishimiye,26,32.7,16.0,6.7,2.4,1.2,0.0,2.4,4.829636904909502,15,79,1373
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,T Butler,T,Butler,24,30.6,18.3,1.4,2.3,1.7,0.2,2.3,4.64065104019377,16,79,1369
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,N Motley,N,Motley,25,30.8,15.1,5.3,1.8,1.3,0.6,1.8,4.571555558081803,17,78,1380
gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),F Feldrappe,F,Feldrappe,28,29.6,12.8,6.3,2.6,0.7,0.5,1.9,3.674683130200317,18,77,1387
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,J Harvey,J,Harvey,26,25.7,14.1,6.1,1.5,0.8,0.7,2.3,3.5202559443468813,19,77,1382
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Elms,R Mayfield,R,Mayfield,25,29.3,13.0,5.3,0.8,1.6,1.0,1.9,3.390679672918198,20,76,1386
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,J Kirkland,J,Kirkland,24,27.7,15.5,3.8,0.7,0.8,0.3,1.5,3.3521213196096844,21,76,1377
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,B Lee,B,Lee,22,28.4,10.2,7.9,1.8,1.7,0.5,1.9,3.1591633533284003,22,75,1402
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,N Beaudet,N,Beaudet,27,28.9,14.9,3.6,1.1,1.3,0.0,1.7,3.1527577452842817,23,74,1381
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),D Mann,D,Mann,27,27.0,13.9,5.2,1.7,0.6,0.2,1.8,3.143703963688273,24,74,1383
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,J DuBrul,J,DuBrul,24,31.3,15.2,6.0,1.5,0.8,0.0,2.8,3.1073427824035558,25,73,1379
gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),D Tanksley Jr.,D Tanksley,Jr.,27,27.4,10.4,7.4,1.6,1.3,0.2,1.4,2.910783208595934,26,73,1399
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,S Peterson,S,Peterson,22,25.7,10.0,10.2,0.5,0.6,0.5,1.6,2.6642955113651494,27,72,1403
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,A Sullivan,A,Sullivan,23,29.1,11.5,4.1,4.3,1.2,0.0,2.6,2.599726583121912,28,72,1393
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,C Hanks,C,Hanks,26,31.0,13.8,2.0,2.0,1.1,0.1,2.0,2.249302066392141,29,71,1385
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,R Vasquez,R,Vasquez,26,32.2,9.7,8.1,0.8,0.7,0.2,1.1,2.2222197575064726,30,71,1405
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,E Thomas,E,Thomas,20,28.8,11.3,5.3,1.3,0.6,0.7,2.1,1.791306693659314,31,70,1394
gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,D Adams,D,Adams,27,25.1,11.7,3.5,2.0,1.3,0.5,2.5,1.7372135254980519,32,70,1392
