conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
nwc,Northwest Conference (NWC),2025-26,mbball,Linfield,Garrett Callsen,0,*,55,24,23,125,210,9,18,70,45,304,13,11,21,600,56,84,140,50,0,55,0,0,0.6,0.5,0.64,12.67,5.83,0.88,0.46,0.54,2.2916666666666665,5.029510007289795,18,80,4775
nwc,Northwest Conference (NWC),2025-26,mbball,Linfield,Dayton Magana,0,*,3,24,24,113,284,63,161,38,27,316,2,30,67,735,4,61,65,47,0,48,1,0,0.4,0.39,0.71,13.17,2.71,2.79,1.25,0.08,2.0,4.964604676029732,19,79,4761
nwc,Northwest Conference (NWC),2025-26,mbball,Lewis & Clark,"Bast,Marcus",0,G,5,26,25,93,198,22,64,58,46,254,7,29,126,721,28,75,103,68,0,65,2,0,0.47,0.34,0.79,9.77,3.96,4.85,1.12,0.27,2.5,4.759944377009063,20,79,4691
nwc,Northwest Conference (NWC),2025-26,mbball,Willamette,"Tennathur,Anujan",0,G,24,24,20,87,233,27,98,91,66,267,11,48,38,636,30,111,141,52,1,63,1,0,0.37,0.28,0.73,11.13,5.88,1.58,2.0,0.46,2.625,4.570480910600927,21,78,4624
nwc,Northwest Conference (NWC),2025-26,mbball,Whitman,"Fotu,Jacob",0,,42,24,18,112,218,24,67,43,27,275,6,17,60,548,28,74,102,48,0,50,2,0,0.51,0.36,0.63,11.46,4.25,2.5,0.71,0.25,2.0833333333333335,4.569862712602562,22,78,4753
nwc,Northwest Conference (NWC),2025-26,mbball,Puget Sound,"Hamilton,Trevon",0,G,20,26,20,83,182,22,68,67,58,246,3,60,68,604,23,84,107,52,0,53,2,0,0.46,0.32,0.87,9.46,4.12,2.62,2.31,0.12,2.0384615384615383,4.284574887368739,23,77,4717
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific,"Baumgartner,Brody",0,F,33,25,25,89,164,1,7,40,29,208,11,20,37,605,65,99,164,81,2,29,6,0,0.54,0.14,0.73,8.32,6.56,1.48,0.8,0.44,1.16,4.265745629049734,24,77,4665
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific,"Mackay,Ryder",0,F,5,25,25,102,242,17,59,36,23,244,17,29,25,607,59,81,140,46,1,37,0,0,0.42,0.29,0.64,9.76,5.6,1.0,1.16,0.68,1.48,4.20993386348184,25,76,4651
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific Lutheran ,"Smith,Henry",0,G,15,25,10,93,200,54,137,47,35,275,8,19,37,701,26,48,74,64,0,23,1,0,0.47,0.39,0.74,11.0,2.96,1.48,0.76,0.32,0.92,4.199455318881937,26,76,4732
nwc,Northwest Conference (NWC),2025-26,mbball,Lewis & Clark,"Arcan,Yigit",0,G,23,24,1,83,174,18,66,52,46,230,12,29,42,517,14,78,92,29,0,34,1,0,0.48,0.27,0.88,9.58,3.83,1.75,1.21,0.5,1.4166666666666667,4.00240068903523,27,76,4697
nwc,Northwest Conference (NWC),2025-26,mbball,Whitworth,"Looney,Colton",0,F,33,27,26,111,260,60,149,38,31,313,6,8,35,624,23,89,112,38,1,42,0,0,0.43,0.4,0.82,11.59,4.15,1.3,0.3,0.22,1.5555555555555556,3.844991194891999,28,75,4644
nwc,Northwest Conference (NWC),2025-26,mbball,Linfield,Chase Bennett,0,*,1,24,24,69,180,35,100,48,31,204,0,24,96,767,20,55,75,42,0,30,0,0,0.38,0.35,0.65,8.5,3.13,4.0,1.0,0.0,1.25,3.762571471013044,29,75,4759
nwc,Northwest Conference (NWC),2025-26,mbball,Puget Sound,"Cook,Ian",0,C,10,26,23,91,198,8,35,96,72,262,22,15,33,602,40,96,136,54,1,62,1,0,0.46,0.23,0.75,10.08,5.23,1.27,0.58,0.85,2.3846153846153846,3.6069251096912582,30,74,4712
nwc,Northwest Conference (NWC),2025-26,mbball,Linfield,Nalu Vargas,0,*,4,24,23,84,218,43,133,21,14,225,7,17,45,718,25,137,162,44,0,56,0,0,0.39,0.32,0.67,9.38,6.75,1.88,0.71,0.29,2.3333333333333335,3.5536262577380335,31,74,4762
nwc,Northwest Conference (NWC),2025-26,mbball,George Fox ,"Marte,Noah",0,G,0,23,1,94,231,62,160,39,29,279,3,15,15,444,13,30,43,44,1,25,2,0,0.41,0.39,0.74,12.13,1.87,0.65,0.65,0.13,1.0869565217391304,3.3734984652057776,32,73,4685
nwc,Northwest Conference (NWC),2025-26,mbball,Lewis & Clark,"Jackson,Taien",0,G,2,26,26,96,174,8,28,48,31,231,7,13,52,694,25,66,91,37,0,38,0,0,0.55,0.29,0.65,8.88,3.5,2.0,0.5,0.27,1.4615384615384615,3.21763157344731,33,73,4688
nwc,Northwest Conference (NWC),2025-26,mbball,Willamette,"Uperesa-Thomas,Dra",0,F,4,25,12,69,168,17,63,52,30,185,19,49,50,493,33,74,107,62,0,50,2,0,0.41,0.27,0.58,7.4,4.28,2.0,1.96,0.76,2.0,3.210764857933596,34,73,4614
nwc,Northwest Conference (NWC),2025-26,mbball,Lewis & Clark,"Uyesugi,Kody",0,G,10,26,26,84,177,61,138,27,23,252,1,22,39,660,7,43,50,27,0,18,0,0,0.47,0.44,0.85,9.69,1.92,1.5,0.85,0.04,0.6923076923076923,3.158989378508233,35,72,4693
nwc,Northwest Conference (NWC),2025-26,mbball,Willamette,"Hester,Davis",0,,1,27,26,84,195,44,117,52,42,254,7,30,22,727,28,69,97,41,0,30,0,0,0.43,0.38,0.81,9.41,3.59,0.81,1.11,0.26,1.1111111111111112,3.1231049372498347,36,72,4612
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific Lutheran ,"Perasso,Dom",0,F,3,22,22,82,180,15,61,47,36,215,6,9,21,554,28,61,89,36,0,28,0,0,0.46,0.25,0.77,9.77,4.05,0.95,0.41,0.27,1.2727272727272727,3.1087581057027,37,71,4724
nwc,Northwest Conference (NWC),2025-26,mbball,Willamette,"Sande,Kellen",0,,20,27,27,84,204,32,117,55,36,236,2,43,73,683,28,58,86,56,0,64,1,0,0.41,0.27,0.65,8.74,3.19,2.7,1.59,0.07,2.3703703703703702,2.768167318415951,38,71,4622
nwc,Northwest Conference (NWC),2025-26,mbball,Lewis & Clark,"Brown,Joe",0,F,24,21,9,54,123,33,84,16,12,153,9,16,23,419,10,61,71,32,1,7,0,0,0.44,0.39,0.75,7.29,3.38,1.1,0.76,0.43,0.3333333333333333,2.7371512975299543,39,71,4699
nwc,Northwest Conference (NWC),2025-26,mbball,Whitworth,"Parlin,Kobe",0,G,0,15,1,46,116,16,44,58,46,154,1,12,34,303,14,29,43,17,0,36,0,0,0.4,0.36,0.79,10.27,2.87,2.27,0.8,0.07,2.4,2.673643594173089,40,70,4645
nwc,Northwest Conference (NWC),2025-26,mbball,Whitman,"Elicagaray,Marcel",0,G,1,24,14,64,162,43,105,52,35,206,1,21,29,569,20,56,76,42,0,28,1,0,0.4,0.41,0.67,8.58,3.17,1.21,0.88,0.04,1.1666666666666667,2.320915119915733,41,70,4738
nwc,Northwest Conference (NWC),2025-26,mbball,George Fox ,"Mitchell,Jamar",0,F,24,21,5,64,113,9,24,31,19,156,10,11,16,367,28,62,90,23,0,34,0,0,0.57,0.38,0.61,7.43,4.29,0.76,0.52,0.48,1.619047619047619,2.193929840734481,42,70,4683
nwc,Northwest Conference (NWC),2025-26,mbball,Whitworth,"Edwards,Ty",0,F,5,27,27,54,109,0,7,61,42,150,13,13,69,655,59,94,153,54,0,56,2,0,0.5,0.0,0.69,5.56,5.67,2.56,0.48,0.48,2.074074074074074,2.1806047285911836,43,69,4635
nwc,Northwest Conference (NWC),2025-26,mbball,Puget Sound,"Baker,Dezman",0,F,2,21,17,60,118,10,32,23,16,146,1,18,32,546,19,61,80,53,2,31,2,0,0.51,0.31,0.7,6.95,3.81,1.52,0.86,0.05,1.4761904761904763,1.9650524814847048,44,69,4705
nwc,Northwest Conference (NWC),2025-26,mbball,Linfield,Kohsuke Fujiwara,0,0,21,24,22,59,133,22,60,16,12,152,7,14,36,682,17,87,104,29,0,27,1,0,0.44,0.37,0.75,6.33,4.33,1.5,0.58,0.29,1.125,1.959395022759479,45,68,4768
nwc,Northwest Conference (NWC),2025-26,mbball,Whitman,"Lazarevic,Djordje",0,,21,20,16,53,149,27,105,32,25,158,2,21,36,525,14,51,65,38,0,35,0,0,0.36,0.26,0.78,7.9,3.25,1.8,1.05,0.1,1.75,1.9177434439336238,46,68,4746
nwc,Northwest Conference (NWC),2025-26,mbball,Willamette,"Perry,Deacon",0,F,12,27,5,64,131,1,9,48,32,161,22,33,13,480,42,65,107,64,0,35,0,0,0.49,0.11,0.67,5.96,3.96,0.48,1.22,0.81,1.2962962962962963,1.9063556186773514,47,68,4618
nwc,Northwest Conference (NWC),2025-26,mbball,George Fox ,"Schramm,Cory",0,F,32,24,24,35,68,6,14,21,9,85,17,17,19,564,51,92,143,60,0,20,2,0,0.51,0.43,0.43,3.54,5.96,0.79,0.71,0.71,0.8333333333333334,1.60944733396635,48,67,4684
nwc,Northwest Conference (NWC),2025-26,mbball,George Fox ,"Centner,Jake",0,G,13,24,21,55,145,21,69,40,22,153,4,12,22,538,24,94,118,56,0,31,3,0,0.38,0.3,0.55,6.38,4.92,0.92,0.5,0.17,1.2916666666666667,1.4082769879095145,49,67,4680
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific Lutheran ,"Hepper,Mack",0,G,22,22,14,48,117,28,75,8,6,130,6,16,34,536,23,53,76,42,1,26,0,0,0.41,0.37,0.75,5.91,3.45,1.55,0.73,0.27,1.1818181818181819,1.4011477602133222,50,67,4734
nwc,Northwest Conference (NWC),2025-26,mbball,George Fox ,"Lawrence,Dre",0,G,2,25,25,47,130,8,43,40,21,123,6,28,56,486,26,73,99,40,0,36,1,0,0.36,0.19,0.53,4.92,3.96,2.24,1.12,0.24,1.44,1.3269177048884746,51,66,4673
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific Lutheran ,"Brown,Julian",0,F,5,19,5,34,101,10,37,31,22,100,3,22,36,399,19,57,76,27,0,25,0,0,0.34,0.27,0.71,5.26,4.0,1.89,1.16,0.16,1.3157894736842106,1.3069058971061704,52,66,4726
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific Lutheran ,"Rice,Cam",0,F,14,24,7,53,128,17,51,30,24,147,10,2,31,412,28,55,83,38,0,23,0,0,0.41,0.33,0.8,6.13,3.46,1.29,0.08,0.42,0.9583333333333334,1.3039143985260562,53,66,4731
nwc,Northwest Conference (NWC),2025-26,mbball,Linfield,Logan Morrill,0,0,44,24,1,63,124,0,0,29,13,139,13,4,12,344,29,60,89,34,0,25,0,0,0.51,0.0,0.45,5.79,3.71,0.5,0.17,0.54,1.0416666666666667,1.1498371915331418,54,65,4774
