conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Messiah,"Coty IV,Paul",0,G,24,9,0,7,42,0,6,18,8,22,1,4,10,92,5,9,14,13,0,28,0,0,0.17,0.0,0.44,2.44,1.56,1.11,0.44,0.11,3.111111111111111,-3.020583375257157,272,43,2479
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Hood,"Holly,Elijah",0,F,25,12,0,2,6,0,1,0,0,4,1,1,1,29,4,2,6,5,0,1,0,0,0.33,0.0,0.0,0.33,0.5,0.08,0.08,0.08,0.08333333333333333,-3.04215158198844,273,42,2244
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Arcadia,"Taylor,Jordan",0,F,31,15,0,2,9,1,5,4,4,9,2,3,2,71,8,5,13,23,1,4,0,0,0.22,0.2,1.0,0.6,0.87,0.13,0.2,0.13,0.26666666666666666,-3.0454107202442633,274,42,2409
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,King's,Ben DeBalko,0,0,13,11,0,4,14,3,13,0,0,11,0,0,0,26,0,3,3,1,0,1,0,0,0.29,0.23,0.0,1.0,0.27,0.0,0.0,0.0,0.09090909090909091,-3.057421399829899,275,42,2347
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Delaware Valley,"Johnson,Caleb",0,G,22,12,0,3,10,2,9,0,0,8,0,0,2,48,0,8,8,8,0,3,0,0,0.3,0.22,0.0,0.67,0.67,0.17,0.0,0.0,0.25,-3.0761127845654244,276,42,2372
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,King's,Ryan Ambrose,0,0,20,15,0,1,12,0,5,6,4,6,4,3,4,89,6,18,24,8,0,5,0,0,0.08,0.0,0.67,0.4,1.6,0.27,0.2,0.27,0.3333333333333333,-3.1221930056747595,277,42,2349
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Arcadia,"Williams,Chris",0,G,5,10,1,2,7,2,6,0,0,6,0,0,2,35,0,5,5,1,0,2,0,0,0.29,0.33,0.0,0.6,0.5,0.2,0.0,0.0,0.2,-3.1366664865311153,278,42,2397
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Hood,"Brittingham,Isiah",0,G,21,9,0,1,7,0,0,1,0,2,1,2,1,15,2,3,5,0,0,3,0,0,0.14,0.0,0.0,0.22,0.56,0.11,0.22,0.11,0.3333333333333333,-3.2167760349814665,279,42,2240
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,DeSales,"Mamah,Chukwudi",0,F,25,9,0,1,9,0,1,2,0,2,0,2,1,32,5,4,9,1,0,3,0,0,0.11,0.0,0.0,0.22,1.0,0.11,0.22,0.0,0.3333333333333333,-3.220219438920431,280,42,2428
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Misericordia,"Smith,Mike",0,G,21,12,0,4,13,1,5,5,3,12,1,0,1,42,0,10,10,6,0,11,0,0,0.31,0.2,0.6,1.0,0.83,0.08,0.0,0.08,0.9166666666666666,-3.305076937768374,281,42,2515
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,York,"Pape,Drew",0,G,11,22,0,2,13,1,10,0,0,5,0,2,4,79,0,4,4,7,0,0,0,0,0.15,0.1,0.0,0.23,0.18,0.18,0.09,0.0,0.0,-3.561965480393293,282,42,2310
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,King's,Jackson Schaffer,0,0,31,10,0,0,4,0,2,0,0,0,0,0,0,22,0,4,4,0,0,1,0,0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1,-4.196674187927864,283,41,2354
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Hood,"Gilberto,Dominic",0,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,284,41,2245
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Alvernia,"Debus,James",0,F,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,285,41,2265
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Albright,Tristian Crawford Jr.,0,g,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,286,41,2285
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Widener,"Mathews,Dwight",0,F,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,287,41,2301
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Widener,Kieran Webb,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,288,41,2304
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Stevens,"Kwasigroch,Will",0,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,289,41,2340
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Delaware Valley,"Owens,Liam",0,G,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,290,41,2371
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Delaware Valley,"Scott,Niame",0,G,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,291,41,2377
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Delaware Valley,Andy Webb Jr.,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,292,41,2378
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Lebanon Valley,"Rose,Patrick",0,F,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,293,40,2439
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Lebanon Valley,"Miller,Jack",0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,294,40,2443
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Messiah,"Wright,Conner",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,295,40,2476
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,FDU - Florham,"Koudou,Zeus",0,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,296,40,2500
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Misericordia,"Graham,Bryan",0,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,297,40,2526
