conference_code,conference,season,team,player_name,first_name,last_name,games_played,mpg,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,J Rodriguez,J,Rodriguez,25,27.1,19.6,3.8,1.9,3.0,0.4,1.4,7.928421633487415,1,99,148
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,T Rozich,T,Rozich,27,33.8,16.6,6.9,4.4,1.3,0.2,2.4,6.860871217059952,2,93,153
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,L Morse,L,Morse,27,31.1,18.9,8.2,1.0,0.9,0.7,2.5,6.6482194738715705,3,90,149
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,J Dunkle,J,Dunkle,27,29.8,17.0,8.3,1.0,0.7,0.7,1.9,6.134606931591411,4,88,151
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,K Claar,K,Claar,26,29.9,15.2,5.8,2.3,2.5,0.4,1.8,6.080668774010286,5,87,157
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,B Epps,B,Epps,27,31.6,16.9,6.3,2.4,1.6,0.1,2.1,6.073146250216155,6,85,152
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,M Rainey,M,Rainey,27,33.1,16.1,6.6,1.4,0.7,1.8,2.1,6.056492486574954,7,84,154
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,J Byer,J,Byer,26,26.8,15.0,5.8,2.0,2.1,0.2,1.3,5.819359892729248,8,83,158
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,S Jenkins,S,Jenkins,25,30.1,12.9,9.7,1.0,1.2,0.4,1.8,4.801120454815237,9,82,165
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,D Bass-Briscoe,D,Bass-Briscoe,25,28.3,14.2,5.1,3.8,1.6,0.3,2.8,4.711547655736184,10,81,162
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,M Lawson,M,Lawson,26,32.3,17.2,4.3,2.6,1.6,0.2,3.5,4.579421716634342,11,80,150
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,J Montgomery,J,Montgomery,27,30.6,9.0,4.9,6.9,1.9,0.7,2.6,4.4907019344182855,12,79,182
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,J Giannetta,J,Giannetta,25,32.2,16.0,4.5,2.4,1.1,0.0,2.4,4.38691002931002,13,78,155
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,D Cunningham Jr,D Cunningham,Jr,26,32.5,15.5,5.2,2.1,1.3,0.4,3.4,3.8576738071830015,14,77,156
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,T Tinch,T,Tinch,24,26.3,15.0,5.1,1.1,0.5,0.1,1.5,3.8504994350211987,15,76,159
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,N Frye,N,Frye,17,27.9,14.2,5.6,0.8,0.8,0.1,1.8,3.419941888795682,16,75,161
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,C Rankin,C,Rankin,26,30.8,10.7,5.1,3.8,1.3,0.4,2.3,3.332552930737931,17,75,173
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,M Baskerville,M,Baskerville,20,27.0,8.7,6.2,1.3,1.6,1.8,1.6,3.286016764072503,18,74,183
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,N Edwards,N,Edwards,27,31.5,11.5,4.9,1.7,1.1,0.2,1.1,3.207689361710601,19,73,170
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,M Marinchak,M,Marinchak,27,28.9,13.0,3.1,1.2,1.2,0.3,1.1,3.1835509435410385,20,72,164
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,R Daniels,R,Daniels,19,24.7,14.8,2.1,1.4,0.8,0.5,1.9,3.070910287470771,21,72,160
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,T Pavihi,T,Pavihi,22,27.7,12.5,6.6,1.5,0.6,0.4,2.5,2.8704489014502226,22,71,166
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,N Poplar,N,Poplar,25,20.8,10.8,6.2,1.0,1.6,0.9,2.3,2.838576864370323,23,70,172
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,M McDonough,M,McDonough,27,32.0,11.2,2.6,3.2,0.8,0.1,1.1,2.8153133054457995,24,70,171
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,A Jones,A,Jones,26,27.0,13.4,4.2,1.6,1.0,0.0,2.2,2.7062286352222005,25,69,163
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,X Norris,X,Norris,25,25.0,12.0,3.4,1.9,1.4,0.2,1.8,2.65862363725637,26,68,169
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,T Keffer,T,Keffer,27,28.5,9.3,5.0,1.6,1.4,0.3,0.8,2.645111922861328,27,68,180
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,M Bigley,M,Bigley,27,26.4,10.0,3.9,3.0,0.8,0.1,1.3,2.4148387545785965,28,67,176
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,C Cook,C,Cook,25,25.2,9.8,5.3,1.4,1.0,0.4,1.2,2.3844988918952037,29,67,177
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,L Golle,L,Golle,26,31.7,12.0,2.8,2.4,0.5,0.0,1.4,2.324349629255613,30,66,168
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,M Blankenberg,M,Blankenberg,27,30.7,10.3,3.9,2.4,1.2,0.2,1.6,2.3217533603435934,31,65,175
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,C Cobbins,C,Cobbins,25,20.0,9.4,4.8,1.1,1.3,0.4,1.4,1.8843672142033696,32,65,179
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,B Cage,B,Cage,26,24.1,12.0,1.5,1.4,1.0,0.2,1.6,1.6504620876571,33,64,167
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,N Fowlks,N,Fowlks,25,23.0,7.8,5.0,2.1,0.8,1.0,1.8,1.567846355459153,34,64,185
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,C Farley,C,Farley,24,19.8,10.7,2.0,1.5,1.2,0.0,1.4,1.379462423214186,35,63,174
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,B Bell,B,Bell,25,22.8,9.7,4.2,0.6,0.3,0.5,1.1,1.2523154082221988,36,63,178
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,J Tavarez,J,Tavarez,23,21.8,9.2,3.4,1.6,0.7,0.1,2.0,0.47289066851194345,37,62,181
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,T Edwards,T,Edwards,25,18.2,8.4,2.5,1.1,0.8,0.3,1.2,0.385867428098413,38,62,184
