conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,global_rank,rating
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Lake Forest,Jenna Doctor,,,,20,20,0.0,9.0,0.0,0.0,0.0,5.0,31.0,2.0,4.0,6.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,26.0,6.0,1185:00,119.0,0.0,1.0,139.0,166.0,15.0,118.0,17.0,101.0,0.837,,,,,,,,,,,,,,,11.161007293821603,16,96
mac,Middle Atlantic Conferences (MAC),2025-26,wlax,DeSales,C. DiGuglielmo,,,,18,18,0.0,3.0,0.0,0.0,0.0,2.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,33.0,41.0,4.0,1073:00,142.0,0.0,1.0,64.0,83.0,16.0,104.0,66.0,38.0,0.771,,,,,,,,,,,,,,,10.87489120642894,17,96
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,TCNJ,Marissa Lucca,,,,18,18,0.0,10.0,0.0,0.0,0.0,1.0,28.0,0.0,7.0,3.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,24.0,1.0,1080:00,26.0,0.0,1.0,88.0,107.0,19.0,107.0,46.0,61.0,0.822,,,,,,,,,,,,,,,10.80798647252946,18,96
nwc,Northwest Conference (NWC),2025-26,wlax,Whitman,Sarah Hawkins,,,,18,18,0.0,8.0,0.0,0.0,0.0,4.0,43.0,0.0,7.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,24.0,52.0,18.0,1062:00,122.0,0.0,1.0,94.0,119.0,25.0,103.0,46.0,57.0,0.79,,,,,,,,,,,,,,,10.579866638817428,19,96
aec,Atlantic East Conference (AEC),2025-26,wlax,Marymount (VA),Riley Love,,,,20,19,0.0,3.0,0.0,0.0,1.0,0.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,45.0,10.0,1144:00,57.0,0.0,1.0,34.0,41.0,5.0,96.0,74.0,22.0,0.829,,,,,,,,,,,,,,,10.432833037150418,20,96
nac,North Atlantic Conference (NAC),2025-26,wlax,Maine Maritime,Hazel Stoddard,,,,14,14,0.0,16.0,0.0,0.0,0.0,1.0,41.0,1.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,67.0,34.0,23.0,840:00,0.0,0.0,1.0,94.0,109.0,31.0,94.0,37.0,57.0,0.862,,,,,,,,,,,,,,,10.2320092142493,21,95
lec,Little East Conference (LEC),2025-26,wlax,Western Connecticut,Madison Ratchford,,,,20,20,0.0,8.0,0.0,0.0,1.0,2.0,36.0,0.0,10.0,4.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,7.0,27.0,29.0,1211:00,27.0,0.0,1.0,106.0,155.0,18.0,95.0,23.0,72.0,0.684,,,,,,,,,,,,,,,10.199869436804423,22,95
ccc,The Commonwealth Coast Conference (CCC),2025-26,wlax,University of Hartford,Meghan Smith,,,,19,19,0.0,22.0,0.0,0.0,0.0,6.0,47.0,0.0,9.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,125.0,27.0,12.0,1169:00,68.0,0.0,1.0,112.0,136.0,31.0,100.0,22.0,78.0,0.824,,,,,,,,,,,,,,,9.958706457846246,23,95
ccc,The Commonwealth Coast Conference (CCC),2025-26,wlax,Nichols College,Hadley Houghton,,,,18,18,0.0,24.0,0.0,0.0,1.0,4.0,51.0,2.0,2.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,105.0,33.0,40.0,1081:00,88.0,0.0,1.0,90.0,116.0,30.0,85.0,24.0,61.0,0.776,,,,,,,,,,,,,,,9.940403224836716,24,95
skyline_conference,Skyline Conference,2025-26,wlax,Mount Saint Mary,Shannon McGowan,,,,18,17,0.0,6.0,0.0,0.0,0.0,2.0,17.0,5.0,3.0,3.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,28.0,61.0,13.0,1023:00,42.0,0.0,1.0,92.0,139.0,17.0,101.0,50.0,51.0,0.662,,,,,,,,,,,,,,,9.9361679492086,25,95
nwc,Northwest Conference (NWC),2025-26,wlax,Willamette,Lily Bachiochi,,,,16,16,0.0,10.0,0.0,0.0,0.0,0.0,40.0,4.0,6.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,46.0,8.0,954:00,68.0,0.0,1.0,86.0,114.0,16.0,102.0,46.0,56.0,0.754,,,,,,,,,,,,,,,9.921556336786097,26,95
ccc,The Commonwealth Coast Conference (CCC),2025-26,wlax,University of Hartford,Madison Olmstead,,,,16,16,0.0,16.0,0.0,0.0,0.0,3.0,56.0,0.0,10.0,2.0,0.0,0.0,0.0,22.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,50.0,46.0,14.0,987:00,36.0,0.0,1.0,99.0,139.0,24.0,104.0,31.0,73.0,0.712,,,,,,,,,,,,,,,9.874516264851536,27,95
aec,Atlantic East Conference (AEC),2025-26,wlax,Marywood,Avery Meighan,,,,16,15,0.0,6.0,0.0,0.0,0.0,2.0,30.0,1.0,10.0,1.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,131.0,50.0,50.0,904:00,8.0,0.0,1.0,79.0,120.0,20.0,79.0,33.0,46.0,0.658,,,,,,,,,,,,,,,9.79259433240661,28,95
skyline_conference,Skyline Conference,2025-26,wlax,Farmingdale State,Carly Livingston,,,,17,17,0.0,2.0,0.0,0.0,0.0,2.0,25.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,40.0,25.0,1020:00,0.0,0.0,1.0,78.0,95.0,8.0,90.0,47.0,43.0,0.821,,,,,,,,,,,,,,,9.733106751415226,29,95
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Piedmont,Ava Trankina,,,,19,19,0.0,9.0,0.0,0.0,0.0,2.0,19.0,1.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,71.0,29.0,29.0,1116:00,52.0,0.0,1.0,51.0,63.0,10.0,82.0,40.0,42.0,0.81,,,,,,,,,,,,,,,9.727731546854692,30,95
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wlax,Adrian,Madeline Turcotte,,,,18,18,0.0,7.0,0.0,0.0,0.0,3.0,22.0,3.0,4.0,1.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,104.0,48.0,18.0,1064:00,115.0,0.0,1.0,79.0,114.0,17.0,93.0,45.0,48.0,0.693,,,,,,,,,,,,,,,9.718868193357704,31,95
e8,Empire 8 (E8),2025-26,wlax,Geneseo,"Brown, Maddie",,,,19,19,0.0,6.0,0.0,0.0,0.0,3.0,13.0,1.0,8.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,25.0,2.0,1140:00,0.0,0.0,1.0,55.0,69.0,7.0,93.0,56.0,37.0,0.797,,,,,,,,,,,,,,,9.611485879920153,32,95
odac,Old Dominion Athletic Conference (ODAC),2025-26,wlax,Roanoke College,Grace Koutouzis,,,,19,19,0.0,11.0,0.0,0.0,0.0,4.0,28.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.0,36.0,10.0,1140:00,26.0,0.0,1.0,83.0,115.0,24.0,95.0,48.0,47.0,0.722,,,,,,,,,,,,,,,9.601842550108325,33,95
e8,Empire 8 (E8),2025-26,wlax,Hartwick,Kristen Vaccarelli,,,,16,16,0.0,10.0,0.0,0.0,0.0,2.0,46.0,2.0,14.0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,75.0,35.0,27.0,969:00,2.0,0.0,1.0,116.0,140.0,22.0,89.0,21.0,68.0,0.829,,,,,,,,,,,,,,,9.430063169678236,34,94
mac,Middle Atlantic Conferences (MAC),2025-26,wlax,Lebanon Valley,Emily Beard,,,,19,19,0.0,9.0,0.0,0.0,0.0,4.0,27.0,2.0,6.0,4.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,19.0,36.0,19.0,1147:00,62.0,0.0,1.0,104.0,122.0,15.0,97.0,22.0,75.0,0.852,,,,,,,,,,,,,,,9.41819126201488,35,94
ll,Liberty League (LL),2025-26,wlax,Clarkson,Madelynn Barnum,,,,17,17,0.0,10.0,0.0,0.0,0.0,5.0,36.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,102.0,19.0,21.0,986:00,157.0,0.0,1.0,106.0,145.0,14.0,91.0,16.0,75.0,0.731,,,,,,,,,,,,,,,9.346121316716848,36,94
mac,Middle Atlantic Conferences (MAC),2025-26,wlax,Stevens,Emily Leiby,,,,22,21,0.0,17.0,0.0,0.0,0.0,3.0,27.0,1.0,8.0,4.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0,46.0,25.0,1264:00,50.0,0.0,1.0,98.0,135.0,34.0,92.0,34.0,58.0,0.726,,,,,,,,,,,,,,,9.32825666573456,37,94
skyline_conference,Skyline Conference,2025-26,wlax,Mount Saint Mary,Delisianna Naccarato,,,,18,18,0.0,17.0,0.0,0.0,0.0,2.0,26.0,1.0,8.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,68.0,32.0,33.0,1083:00,42.0,0.0,1.0,95.0,117.0,25.0,83.0,19.0,64.0,0.812,,,,,,,,,,,,,,,9.315420411079057,38,94
mac,Middle Atlantic Conferences (MAC),2025-26,wlax,Stevenson,Kara Yarusso,,,,19,19,0.0,23.0,0.0,0.0,0.0,4.0,38.0,0.0,9.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,87.0,27.0,27.0,1137:00,86.0,0.0,1.0,96.0,118.0,29.0,85.0,22.0,63.0,0.814,,,,,,,,,,,,,,,9.297907004112878,39,94
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Capital,Andi Henry,,,,14,14,0.0,10.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.0,41.0,15.0,831:00,28.0,0.0,1.0,51.0,72.0,17.0,90.0,52.0,38.0,0.708,,,,,,,,,,,,,,,9.289022106547057,40,94
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Beloit,Maya DeGeorge,,,,14,14,0.0,26.0,0.0,0.0,0.0,5.0,70.0,2.0,6.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,105.0,34.0,36.0,840:00,0.0,0.0,1.0,116.0,149.0,37.0,81.0,6.0,75.0,0.779,,,,,,,,,,,,,,,9.285772305794282,41,94
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,Rowan,Elaina Corson,,,,19,19,0.0,19.0,0.0,0.0,0.0,4.0,48.0,2.0,4.0,6.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0,27.0,12.0,1134:00,32.0,0.0,1.0,109.0,141.0,30.0,97.0,17.0,80.0,0.773,,,,,,,,,,,,,,,9.273285661456976,42,94
e8,Empire 8 (E8),2025-26,wlax,Nazareth,Sophia Scialdone,,,,19,19,0.0,14.0,0.0,0.0,1.0,1.0,42.0,0.0,2.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,39.0,30.0,11.0,1134:00,119.0,0.0,1.0,88.0,135.0,25.0,93.0,38.0,55.0,0.652,,,,,,,,,,,,,,,9.27246434262019,43,94
odac,Old Dominion Athletic Conference (ODAC),2025-26,wlax,Bridgewater College,Paige Mayers,,,,15,14,0.0,13.0,0.0,0.0,0.0,3.0,49.0,1.0,5.0,4.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,99.0,36.0,18.0,848:00,33.0,0.0,1.0,101.0,135.0,30.0,91.0,26.0,65.0,0.748,,,,,,,,,,,,,,,9.096375656563556,44,94
aec,Atlantic East Conference (AEC),2025-26,wlax,Marywood,Kaitlyn Smith,,,,17,17,0.0,19.0,0.0,0.0,0.0,3.0,46.0,2.0,11.0,2.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,105.0,46.0,30.0,1019:00,21.0,0.0,1.0,105.0,135.0,44.0,85.0,31.0,54.0,0.778,,,,,,,,,,,,,,,8.989915294419797,45,94
lec,Little East Conference (LEC),2025-26,wlax,Plymouth State,Julia Donovan,,,,20,20,0.0,8.0,0.0,0.0,0.0,4.0,52.0,1.0,10.0,3.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,41.0,14.0,1189:00,151.0,0.0,1.0,114.0,149.0,31.0,94.0,26.0,68.0,0.765,,,,,,,,,,,,,,,8.929173473315556,46,94
centennial_conference,Centennial Conference,2025-26,wlax,Muhlenberg,Jillian Kubikowski,,,,18,18,0.0,8.0,0.0,0.0,0.0,4.0,41.0,1.0,2.0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,8.0,52.0,5.0,1080:00,0.0,0.0,1.0,96.0,129.0,21.0,98.0,35.0,63.0,0.744,,,,,,,,,,,,,,,8.897304359952434,47,94
landmark_conference,Landmark Conference,2025-26,wlax,Scranton,Eileen Hewitt,,,,20,20,0.0,8.0,0.0,0.0,0.0,0.0,20.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,58.0,33.0,29.0,1195:00,37.0,0.0,1.0,61.0,85.0,14.0,75.0,40.0,35.0,0.718,,,,,,,,,,,,,,,8.896796117266224,48,94
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wlax,Babson,Amelia Novitch,,,,19,19,0.0,8.0,0.0,0.0,0.0,4.0,35.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,35.0,15.0,1144:00,55.0,0.0,1.0,81.0,110.0,22.0,85.0,42.0,43.0,0.736,,,,,,,,,,,,,,,8.789826729164371,49,94
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Methodist,Mikayla Ramos,,,,19,19,0.0,1.0,0.0,0.0,0.0,4.0,26.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,38.0,7.0,1069:00,52.0,0.0,1.0,65.0,83.0,5.0,87.0,48.0,39.0,0.783,,,,,,,,,,,,,,,8.776901644306466,50,94
mac,Middle Atlantic Conferences (MAC),2025-26,wlax,DeSales,Hailey Linebaugh,,,,18,18,0.0,2.0,0.0,0.0,0.0,1.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,34.0,16.0,1073:00,142.0,0.0,1.0,42.0,49.0,6.0,82.0,49.0,33.0,0.857,,,,,,,,,,,,,,,8.719348028287289,51,93
skyline_conference,Skyline Conference,2025-26,wlax,Mount Saint Mary,Karlie Ferrucci,,,,18,18,0.0,4.0,0.0,0.0,0.0,3.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,58.0,70.0,23.0,1066:00,42.0,0.0,1.0,95.0,134.0,11.0,91.0,41.0,50.0,0.709,,,,,,,,,,,,,,,8.711141837099898,52,93
mac,Middle Atlantic Conferences (MAC),2025-26,wlax,Messiah,Grace Pettitt,,,,19,19,0.0,5.0,0.0,0.0,0.0,5.0,32.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,40.0,4.0,1145:00,0.0,0.0,1.0,55.0,76.0,10.0,87.0,47.0,40.0,0.724,,,,,,,,,,,,,,,8.705355773946337,53,93
centennial_conference,Centennial Conference,2025-26,wlax,Franklin & Marshall,Lydia Cassilly,,,,21,21,0.0,9.0,0.0,0.0,0.0,2.0,38.0,0.0,5.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,38.0,9.0,1260:00,0.0,0.0,1.0,103.0,127.0,23.0,91.0,31.0,60.0,0.811,,,,,,,,,,,,,,,8.63496599319311,54,93
