conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,global_rank,rating
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Meredith,Reese Walker,,,,22,22,0.0,11.0,0.0,0.0,0.0,3.0,44.0,1.0,6.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,38.0,42.0,1283:00,10.0,0.0,1.0,107.0,141.0,25.0,173.0,98.0,75.0,0.759,,,,,,,,,,,,,,,21.02921620741336,1,99
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Thiel,Ashlyn Wightman,,,,16,16,0.0,39.0,0.0,0.0,0.0,5.0,89.0,2.0,15.0,7.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,118.0,28.0,32.0,912:00,124.0,0.0,1.0,155.0,193.0,51.0,134.0,21.0,113.0,0.803,,,,,,,,,,,,,,,15.070373293272048,2,98
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Capital,Grace Osborn,,,,14,14,0.0,35.0,0.0,0.0,0.0,7.0,66.0,3.0,15.0,4.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,166.0,42.0,22.0,831:00,28.0,0.0,1.0,154.0,192.0,46.0,143.0,25.0,118.0,0.802,,,,,,,,,,,,,,,14.520059866127356,3,98
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Lake Forest,Emma Sharp,,,,20,20,0.0,4.0,0.0,0.0,0.0,0.0,32.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,38.0,6.0,1185:00,119.0,0.0,1.0,77.0,111.0,11.0,131.0,79.0,52.0,0.694,,,,,,,,,,,,,,,14.387971432470035,4,98
skyline_conference,Skyline Conference,2025-26,wlax,Maritime,Gabrielle Nicolosi,,,,17,17,0.0,6.0,0.0,0.0,0.0,3.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,36.0,17.0,1024:00,91.0,0.0,1.0,95.0,131.0,13.0,125.0,64.0,61.0,0.725,,,,,,,,,,,,,,,13.952728382683633,5,97
landmark_conference,Landmark Conference,2025-26,wlax,Moravian,Jackie Salvatore,,,,18,18,0.0,14.0,0.0,0.0,0.0,3.0,39.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,83.0,44.0,7.0,1080:00,133.0,0.0,1.0,64.0,109.0,27.0,120.0,76.0,44.0,0.587,,,,,,,,,,,,,,,13.145103411423236,6,97
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wlax,Middlebury,Hope Shue,,,,22,22,0.0,39.0,0.0,0.0,0.0,4.0,61.0,1.0,9.0,7.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,72.0,32.0,26.0,1228:00,89.0,0.0,1.0,119.0,151.0,57.0,119.0,33.0,86.0,0.788,,,,,,,,,,,,,,,12.665833340628712,7,97
centennial_conference,Centennial Conference,2025-26,wlax,Gettysburg,Julia Daly,,,,23,23,0.0,6.0,0.0,0.0,0.0,6.0,38.0,0.0,6.0,3.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,43.0,26.0,1382:00,142.0,0.0,1.0,107.0,125.0,16.0,115.0,51.0,64.0,0.856,,,,,,,,,,,,,,,12.549075041028456,8,97
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Mount Union,Katie Clark,,,,18,18,0.0,3.0,0.0,0.0,0.0,1.0,17.0,1.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,37.0,8.0,1079:00,39.0,0.0,1.0,57.0,75.0,8.0,115.0,75.0,40.0,0.76,,,,,,,,,,,,,,,12.443157371299638,9,97
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wlax,MIT,Ashley Thomas,,,,21,21,0.0,6.0,0.0,0.0,0.0,3.0,33.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,47.0,7.0,1264:00,55.0,0.0,1.0,82.0,113.0,16.0,119.0,68.0,51.0,0.726,,,,,,,,,,,,,,,12.314544801398988,10,97
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Meredith,Kenzie Todd,,,,21,21,0.0,12.0,0.0,0.0,0.0,1.0,35.0,0.0,2.0,3.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,12.0,58.0,13.0,1230:00,51.0,0.0,1.0,102.0,149.0,25.0,121.0,51.0,70.0,0.685,,,,,,,,,,,,,,,12.167831866518377,11,97
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Pomona-Pitzer,Sydney Landauer,,,,20,18,0.0,6.0,0.0,0.0,0.0,2.0,20.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,18.0,4.0,1068:00,140.0,0.0,1.0,79.0,100.0,12.0,112.0,58.0,54.0,0.79,,,,,,,,,,,,,,,12.015412204291897,12,96
skyline_conference,Skyline Conference,2025-26,wlax,Merchant Marine,Lauren Jablonowski,,,,16,16,0.0,9.0,0.0,0.0,0.0,6.0,41.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,21.0,37.0,8.0,956:00,24.0,0.0,1.0,97.0,124.0,22.0,112.0,50.0,62.0,0.782,,,,,,,,,,,,,,,11.8273224041288,13,96
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Westminster,Julia Ravazza,,,,17,17,0.0,4.0,0.0,0.0,0.0,2.0,37.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,59.0,55.0,6.0,1026:00,18.0,0.0,1.0,96.0,127.0,22.0,117.0,57.0,60.0,0.756,,,,,,,,,,,,,,,11.508412346209886,14,96
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,TCNJ,Ally Tobler,,,,18,18,0.0,12.0,0.0,0.0,0.0,6.0,36.0,0.0,3.0,5.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,106.0,33.0,28.0,1080:00,26.0,0.0,1.0,105.0,135.0,17.0,106.0,28.0,78.0,0.778,,,,,,,,,,,,,,,11.204193137036448,15,96
