conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,global_rank,rating
saa,Southern Athletic Association (SAA),2025-26,wbb,Millsaps,"Anderson,Tia",0,F,32,28,28,177,393,65,195,60,41,460,14,46,37,999,53,168,221,31,0,55,0,0,0.45,0.33,0.68,16.43,7.89,1.32,1.64,0.5,1.9642857142857144,9.68673005856418,79,92
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wbb,Franklin,"Coon,Jordan",0,G,3,26,26,179,385,39,126,70,53,450,3,60,66,816,34,101,135,48,0,77,0,0,0.46,0.31,0.76,17.31,5.19,2.54,2.31,0.12,2.9615384615384617,9.676929951428852,80,92
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,wbb,MUW,"Langford,Conley",0,G,22,24,24,111,336,57,183,122,99,378,4,65,58,809,41,147,188,45,1,62,0,0,0.33,0.31,0.81,15.75,7.83,2.42,2.71,0.17,2.5833333333333335,9.59046554152784,81,92
mac,Middle Atlantic Conferences (MAC),2025-26,wbb,King's,"Casey,Lauren",0,F,42,25,25,137,280,3,13,121,93,370,22,28,51,808,87,186,273,72,0,78,3,0,0.49,0.23,0.77,14.8,10.92,2.04,1.12,0.88,3.12,9.576286059436235,82,92
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbb,Randolph-Macon College,"Matheny,McKenzie",0,F,33,28,28,161,331,1,3,105,68,391,23,29,65,798,105,176,281,59,0,55,2,0,0.49,0.33,0.65,13.96,10.04,2.32,1.04,0.82,1.9642857142857144,9.572404568876578,83,92
asc,American Southwest Conference (ASC),2025-26,wbb,Hardin-Simmons,"Berry,Jacqueline",0,G,1,27,27,156,378,2,13,166,87,401,19,68,79,879,56,126,182,71,0,71,1,0,0.41,0.15,0.52,14.85,6.74,2.93,2.52,0.7,2.6296296296296298,9.540541391764805,84,92
arc,American Rivers Conference (ARC),2025-26,wbb,Luther,"Beaver,Natalie",0,F,5,24,24,144,316,39,122,79,63,390,20,33,32,708,54,138,192,47,0,57,3,0,0.46,0.32,0.8,16.25,8.0,1.33,1.38,0.83,2.375,9.517268569544653,85,92
saa,Southern Athletic Association (SAA),2025-26,wbb,Trinity,"Minter,Kylie",0,G,3,27,27,154,337,51,131,117,96,455,2,56,78,853,19,80,99,40,1,56,0,0,0.46,0.39,0.82,16.85,3.67,2.89,2.07,0.07,2.074074074074074,9.512825555080155,86,92
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbb,Bowdoin,"Kinum,Grace",0,G,4,26,24,142,300,14,50,81,59,357,12,51,110,745,54,121,175,38,0,65,1,0,0.47,0.28,0.73,13.73,6.73,4.23,1.96,0.46,2.5,9.48952045625135,87,92
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbb,Hamilton,"Lambo,Taylor",0,F,53,25,25,131,248,1,10,101,71,334,28,28,70,742,57,179,236,58,0,59,0,0,0.53,0.1,0.7,13.36,9.44,2.8,1.12,1.12,2.36,9.48910969796126,88,92
mac,Middle Atlantic Conferences (MAC),2025-26,wbb,Delaware Valley,"Evans,Whitney",0,G,4,25,25,155,422,45,158,88,74,429,0,50,85,927,16,91,107,43,0,68,0,0,0.37,0.28,0.84,17.16,4.28,3.4,2.0,0.0,2.72,9.484900834584444,89,92
centennial_conference,Centennial Conference,2025-26,wbb,Haverford,"Orza,Caroline",0,G,2,25,25,144,353,49,164,120,88,425,7,44,25,874,70,127,197,65,1,56,2,0,0.41,0.3,0.73,17.0,7.88,1.0,1.76,0.28,2.24,9.446456048326182,90,92
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbb,California Lutheran,"Ballard,Alline",0,F,21,23,21,132,317,0,4,113,84,348,20,30,36,619,90,175,265,66,1,76,0,0,0.42,0.0,0.74,15.13,11.52,1.57,1.3,0.87,3.3043478260869565,9.43561680842931,91,92
e8,Empire 8 (E8),2025-26,wbb,Nazareth,"Benetti,Molly",0,F,14,27,27,161,349,3,29,75,59,384,62,19,77,746,45,119,164,65,0,63,2,0,0.46,0.1,0.79,14.22,6.07,2.85,0.7,2.3,2.3333333333333335,9.426965394232854,92,92
pac,Presidents Athletic Conference (PAC),2025-26,wbb,Waynesburg,"Friday,Kalista",0,G,35,25,25,126,278,42,106,79,67,361,2,64,102,663,38,138,176,69,0,83,1,0,0.45,0.4,0.85,14.44,7.04,4.08,2.56,0.08,3.32,9.41740926472451,93,91
saa,Southern Athletic Association (SAA),2025-26,wbb,Centre,"Reid,Lilly",0,G,32,26,26,149,375,32,117,92,61,391,8,70,97,792,36,96,132,27,1,69,0,0,0.4,0.27,0.66,15.04,5.08,3.73,2.69,0.31,2.6538461538461537,9.41484403372797,94,91
