conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,global_rank,rating
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,wbb,Penn College,Gigi Parlante,0,f,12,26,25,173,328,0,6,133,88,434,31,55,70,783,90,148,238,70,1,67,1,0,0.53,0.0,0.66,16.69,9.15,2.69,2.12,1.19,2.576923076923077,11.699466054310198,22,95
centennial_conference,Centennial Conference,2025-26,wbb,Washington College,"Boggs,Kaitlyn",0,C,4,25,25,156,321,0,0,172,111,423,40,25,46,764,86,171,257,75,0,48,3,0,0.49,0.0,0.65,16.92,10.28,1.84,1.0,1.6,1.92,11.611609428134336,23,95
saa,Southern Athletic Association (SAA),2025-26,wbb,Millsaps,"Freeman,Garin",0,G,1,28,28,160,380,15,56,248,162,497,14,65,183,991,38,93,131,88,2,128,2,0,0.42,0.27,0.65,17.75,4.68,6.54,2.32,0.5,4.571428571428571,11.526110481885349,24,95
uaa,University Athletic Association (UAA),2025-26,wbb,Washington St. Louis,"Harris,Lexy",0,C,33,25,25,198,325,0,1,88,70,466,35,17,23,606,71,161,232,81,1,60,0,0,0.61,0.0,0.8,18.64,9.28,0.92,0.68,1.4,2.4,11.486119536714222,25,95
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbb,Southern Virginia,"Snyder,Abigail",0,G,11,27,27,186,431,66,170,96,81,519,6,63,93,914,48,143,191,67,0,108,2,0,0.43,0.39,0.84,19.22,7.07,3.44,2.33,0.22,4.0,11.319158108360412,26,95
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,wbb,Spalding,"Batiste,Zaneiya",0,F,20,27,27,163,381,0,1,93,57,383,18,61,58,925,180,240,420,59,1,72,1,0,0.43,0.0,0.61,14.19,15.56,2.15,2.26,0.67,2.6666666666666665,11.233553125622466,27,95
uaa,University Athletic Association (UAA),2025-26,wbb,New York,"Peper,Caroline",0,G,11,24,24,155,382,94,257,51,41,445,9,68,80,708,16,52,68,37,0,41,1,0,0.41,0.37,0.8,18.54,2.83,3.33,2.83,0.38,1.7083333333333333,11.18813439290037,28,95
skyline_conference,Skyline Conference,2025-26,wbb,Merchant Marine,Emily Grasseler,0,*,33,31,30,220,492,1,4,120,89,530,23,56,72,953,118,205,323,59,0,92,0,0,0.45,0.25,0.74,17.1,10.42,2.32,1.81,0.74,2.967741935483871,11.157476202753497,29,95
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wbb,Coast Guard,"Stotts,Dorothy",0,G,23,23,22,167,408,69,183,75,55,458,2,30,58,815,22,77,99,22,0,32,0,0,0.41,0.38,0.73,19.91,4.3,2.52,1.3,0.09,1.391304347826087,11.096721711707843,30,95
mwc,Midwest Conference (MWC),2025-26,wbb,Cornell College,"Knowles,Erin",0,F,4,25,25,171,373,19,74,179,129,490,29,40,43,790,52,120,172,57,0,87,1,0,0.46,0.26,0.72,19.6,6.88,1.72,1.6,1.16,3.48,11.074206026534892,31,95
