conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,rank,rating,global_rank
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Bethel,Autumn Earney,,,,39,39,133,26,34,20,9,0,5,14,0,0,12,5,7,0,0,4,0,0,0,0,0,1,0,0.318,58,151,7,1.0,0.256,0.436,65,90,17,0,0,0,0,6,0,172,0.901,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,44,44,"8,43",0.19,8,43,"13,61",0.21,13,61,"7,38",0.18,7,38,"1,5",0.2,1,5,0,0,0,0,"19,48","5,6","29,68",7,0.0,0,0,0,0.0,0,0,11,33,0,,,,,,,,,4.601409351193507,11,87,363
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Carleton,Bryanna Schaffer,,,,38,38,118,23,42,22,15,0,4,10,0,0,5,0,6,0,1,0,0,0,0,1,0,1,0,0.406,69,129,6,1.0,0.356,0.585,67,64,9,0,0,0,0,2,0,140,0.936,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,34,31,"20,47",0.43,20,47,"22,69",0.32,22,69,"12,37",0.32,12,37,"3,11",0.27,3,11,0,0,0,0,"8,18","7,11","38,72",8,0.0,0,0,0,0.0,0,0,9,22,0,,,,,,,,,4.5368853496430805,12,87,360
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Saint Mary's,Abbie Stigler,,,,50,50,125,24,47,24,8,1,3,15,0,0,7,2,9,2,9,1,0,0,0,0,0,0,0,0.44,66,150,11,0.818,0.376,0.528,57,73,10,0,0,0,0,5,0,140,0.929,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,43,36,"17,49",0.35,17,49,"21,56",0.38,21,56,"16,45",0.36,16,45,"5,6",0.83,5,6,0,0,0,0,"15,37","8,9","42,70",18,0.0,0,0,0,0.0,0,0,19,31,0,,,,,,,,,4.4859708226533295,13,86,353
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Saint Mary's,Allison Ciero,,,,49,44,134,40,50,17,7,0,1,6,0,2,14,4,25,5,0,0,0,0,0,0,0,1,0,0.408,60,142,30,0.833,0.373,0.448,63,3,0,0,0,0,0,1,0,66,1.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,33,30,"14,38",0.37,14,38,"26,69",0.38,26,69,"16,48",0.33,16,48,"5,9",0.56,5,9,0,0,0,0,"12,29","5,12","44,72",5,0.0,0,0,0,0.0,0,0,10,25,0,,,,,,,,,4.47262530305496,14,86,322
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Augsburg,Lola Pilon,,,,40,40,111,19,38,27,12,1,5,15,0,2,15,6,0,0,1,2,0,0,0,1,0,1,0,0.423,67,131,0,0.0,0.342,0.604,270,18,8,0,0,0,0,6,0,296,0.973,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,29,30,"13,42",0.31,13,42,"23,67",0.34,23,67,"13,38",0.34,13,38,"3,10",0.3,3,10,0,0,0,0,"14,26","9,12","40,76",51,0.0,0,0,0,0.0,0,0,11,25,0,,,,,,,,,4.425541580207356,15,85,405
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Saint Benedict,Olivia Tautges,,,,37,36,121,27,46,27,8,5,3,8,0,2,11,2,4,1,0,1,0,0,0,0,1,1,0,0.424,73,132,5,0.8,0.38,0.603,79,69,9,0,0,0,0,6,0,157,0.943,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,31,28,"16,45",0.36,16,45,"30,68",0.44,30,68,"15,40",0.38,15,40,"3,9",0.33,3,9,0,0,0,0,"12,26","6,9","40,71",11,0.0,0,0,5,0.0,0,0,3,22,0,,,,,,,,,4.359100412466877,16,85,387
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Concordia,Reese Hauck,,,,37,37,115,21,33,22,7,1,5,7,0,0,21,5,9,1,0,0,0,0,0,0,0,1,0,0.328,57,122,10,0.9,0.287,0.496,55,2,2,0,0,0,0,0,0,59,0.966,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,24,34,"11,48",0.23,11,48,"18,53",0.34,18,53,"13,39",0.33,13,39,"0,4",0.0,0,4,0,0,0,0,"4,19","4,8","23,54",13,0.0,0,0,0,0.0,0,0,5,22,0,,,,,,,,,4.335609588852868,17,84,412
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Gustavus,Kayla Herda,,,,40,40,134,29,48,12,9,0,1,14,1,1,4,1,25,1,3,2,0,0,0,0,1,0,0,0.417,60,154,26,0.962,0.358,0.448,51,-1,1,0,0,-2,1,0,0,51,0.98,-1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,31,49,"9,28",0.32,9,28,"11,44",0.25,11,44,"8,30",0.27,8,30,"3,9",0.33,3,9,0,0,0,0,"37,69","5,9","23,50",145,0.0,0,0,0,0.0,0,0,13,11,0,,,,,,,,,3.9200498808808986,18,84,415
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Concordia,Brooklyn Hofer,,,,38,38,113,21,47,24,15,2,3,5,0,0,16,13,5,6,0,3,0,0,0,0,0,1,0,0.43,75,121,11,0.455,0.416,0.664,16,3,1,4,0,6,0,0,0,20,0.95,6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,25,24,"16,38",0.42,16,38,"20,53",0.38,20,53,"13,39",0.33,13,39,"1,4",0.25,1,4,0,0,0,0,"13,31","8,14","28,56",20,0.0,0,0,0,0.0,0,0,5,21,0,,,,,,,,,3.8702512014612607,19,83,478
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Bethel,Abby Otterness,,,,36,36,118,24,44,15,6,5,3,16,0,1,14,5,8,2,0,0,0,0,0,0,0,1,0,0.452,69,135,10,0.8,0.373,0.585,39,9,0,0,0,7,1,0,0,48,1.0,8,0.875,64.0,1.0,8.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,46.1,41.0,26.0,14.0,26.0,4.0,1.0,3.0,3.93,205.0,224.0,9.0,2.0,0.0,0.0,3.0,0.0,0.0,7.0,0.312,3,9,27,29,"12,31",0.39,12,31,"21,59",0.36,21,59,"13,34",0.38,13,34,"2,4",0.5,2,4,0,0,0,0,"18,32","2,5","33,65",11,0.0,0,0,0,0.0,0,0,2,18,0,33.0,73.0,0.0,0,0,0,0.0,0,3.534987723754792,20,83,564
