conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,rank,rating,global_rank
pac,Presidents Athletic Conference (PAC),2025-26,softball,Geneva,Molly Shelley,,,,44,44,159,61,68,33,15,7,6,6,0,1,14,5,48,1,0,3,0,0,0,0,0,2,0,0.444,115,169,49,0.98,0.428,0.723,72,1,2,0,0,0,0,0,0,75,0.973,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,28,45,"15,37",0.41,15,37,"32,70",0.46,32,70,"20,40",0.5,20,40,"1,7",0.14,1,7,0,0,0,0,"33,69","10,14","41,73",3,0.0,0,0,0,0,0,0,5,15,0,,,,,,,,,9.656316648277166,1,99,19
pac,Presidents Athletic Conference (PAC),2025-26,softball,Geneva,Julia Hart,,,,46,46,153,40,57,49,13,1,11,9,0,4,20,6,7,0,0,1,0,0,0,0,0,0,0,0.419,105,167,7,1.0,0.373,0.686,319,13,5,0,0,0,0,13,0,337,0.985,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,25,43,"20,61",0.33,20,61,"35,104",0.34,35,104,"26,70",0.37,26,70,"2,6",0.33,2,6,0,0,0,0,"13,25","14,17","56,111",29,0.0,0,0,3,0,0,0,9,38,0,,,,,,,,,9.376090921042048,2,95,28
pac,Presidents Athletic Conference (PAC),2025-26,softball,Allegheny,Olivia Devries,,,,39,39,127,25,53,33,12,1,9,8,0,3,14,3,2,0,0,1,0,0,0,0,0,1,0,0.46,94,139,2,1.0,0.417,0.74,81,35,4,4,0,9,0,3,0,120,0.967,9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,20,38,"15,44",0.34,15,44,"31,73",0.42,31,73,"24,49",0.49,24,49,"0,4",0.0,0,4,0,0,0,0,"14,23","4,4","40,77",24,0.0,0,0,0,0,0,0,7,19,0,,,,,,,,,6.784074627686215,3,93,75
pac,Presidents Athletic Conference (PAC),2025-26,softball,Grove City,Evelyn Montone,,,,39,39,148,37,59,44,13,5,3,6,0,0,10,4,9,0,0,5,0,0,0,0,0,0,0,0.409,91,159,9,1.0,0.399,0.615,49,1,7,0,0,0,0,1,0,57,0.877,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,30,45,"17,47",0.36,17,47,"30,75",0.4,30,75,"21,49",0.43,21,49,"5,13",0.38,5,13,0,0,0,0,"23,52","15,18","51,82",165,0.0,0,0,0,0,0,0,13,27,0,,,,,,,,,5.842223276482054,4,92,109
pac,Presidents Athletic Conference (PAC),2025-26,softball,Saint Vincent,Dakota Hersh,,,,36,35,108,29,36,31,11,3,7,7,0,0,9,0,1,1,2,1,0,0,0,0,0,1,0,0.371,74,118,2,0.5,0.333,0.685,50,1,2,0,0,0,0,0,0,53,0.962,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,22,39,"10,31",0.32,10,31,"21,68",0.31,21,68,"16,45",0.36,16,45,"3,10",0.3,3,10,0,0,0,0,"11,21","6,12","37,73",123,0.0,0,0,6,0,0,0,13,24,0,,,,,,,,,5.388806989916731,5,91,160
pac,Presidents Athletic Conference (PAC),2025-26,softball,Westminster,Karpa Ava,,,,35,35,108,28,37,37,9,0,6,12,0,1,10,1,2,0,3,2,0,0,0,0,0,1,0,0.407,64,126,2,1.0,0.343,0.593,54,64,2,0,0,0,0,4,0,120,0.983,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,27,35,"15,36",0.42,15,36,"27,70",0.39,27,70,"20,43",0.47,20,43,"2,2",1.0,2,2,0,0,0,0,"5,14","10,14","51,82",391,0.0,0,0,0,0,0,0,19,14,0,,,,,,,,,5.309762631515455,6,90,166
pac,Presidents Athletic Conference (PAC),2025-26,softball,Waynesburg,Meysa Heitmann,,,,37,37,123,36,49,25,11,6,5,11,0,2,17,6,12,2,0,0,0,0,0,0,0,0,0,0.456,87,136,14,0.857,0.398,0.707,34,20,10,0,0,0,0,0,0,64,0.844,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,29,23,"15,38",0.39,15,38,"21,55",0.38,21,55,"12,36",0.33,12,36,"1,2",0.5,1,2,0,0,0,0,"24,47","5,9","38,59",51,0.0,0,0,0,0,0,0,8,17,0,,,,,,,,,5.21445031580135,7,89,169
pac,Presidents Athletic Conference (PAC),2025-26,softball,Geneva,Lexi Zanic,,,,46,46,137,46,57,36,7,2,0,26,0,1,3,1,18,3,1,7,0,0,0,0,0,1,0,0.491,68,172,21,0.857,0.416,0.496,73,81,14,0,0,0,0,6,0,168,0.917,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,27,55,"19,44",0.43,19,44,"31,79",0.39,31,79,"25,61",0.41,25,61,"2,6",0.33,2,6,0,0,0,0,"11,21","19,29","54,93",2,0.0,0,0,0,0,0,0,20,18,0,,,,,,,,,4.946467152802993,8,89,175
pac,Presidents Athletic Conference (PAC),2025-26,softball,Geneva,Justine Robbins,,,,45,45,147,20,57,39,18,2,5,8,1,0,25,4,1,0,0,0,0,0,0,2,0,3,0,0.419,94,155,1,1.0,0.388,0.639,37,5,4,0,0,0,0,0,0,46,0.913,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,21,43,"20,49",0.41,20,49,"39,87",0.45,39,87,"25,60",0.42,25,60,"1,6",0.17,1,6,0,0,0,0,"11,35","7,12","46,87","1,1",1.0,1,1,4,0,0,0,8,32,0,,,,,,,,,4.942701630721017,9,88,207
pac,Presidents Athletic Conference (PAC),2025-26,softball,Westminster,Jordan Lily,,,,41,41,129,25,46,32,6,1,5,13,0,1,10,1,0,1,2,1,0,0,0,0,0,0,0,0.417,69,146,1,0.0,0.357,0.535,167,6,1,0,0,0,0,9,0,174,0.994,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,34,38,"18,46",0.39,18,46,"32,83",0.39,32,83,"21,56",0.38,21,56,"2,7",0.29,2,7,0,0,0,0,"8,25","9,18","51,91",66,0.0,0,0,0,0,0,0,10,30,0,,,,,,,,,4.685501601015607,10,87,241
