conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,rank,rating,global_rank
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Amherst,Nick Fassert,,,,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3,14,4,0,0,4,3,2,0,21,0.81,7,0.571,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,53.0,1.0,9.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,55.1,32.0,26.0,15.0,32.0,9.0,2.0,3.0,4.23,210.0,235.0,7.0,5.0,0.0,3.0,2.0,0.0,0.0,10.0,0.252,52.0,73.0,2.0,"4,6","3,13","2,3",0.0,"1,6",-1.3564391557673878,325,42,10303
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Williams,Jacob Martin,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,4,1,0,0,12,1,0,0,5,0.8,13,0.923,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,15.0,11.0,14.0,9.0,0.0,1.0,7.5,66.0,91.0,1.0,8.0,0.0,5.0,1.0,0.0,0.0,4.0,0.288,22.0,16.0,0.0,"1,1","0,2","0,1",0.0,"0,1",-1.3564391557673878,326,42,9660
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Middlebury,S. Platt,,,,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3,6,0,0,0,0,0,0,0,9,1.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,20.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,14.0,14.0,11.0,5.0,3.0,0.0,2.0,7.41,67.0,81.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.299,21.0,22.0,0.0,"3,3","2,5","2,5",0.0,"0,1",-1.3564391557673878,327,42,10248
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Tufts,Emmet Christian,,,,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,2,3,1,0,0,2,1,1,0,6,0.833,3,0.667,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,21.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,19.0,13.0,20.0,4.0,0.0,2.0,10.69,67.0,88.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,7.0,0.313,13.0,11.0,1.0,"1,2","2,5","1,3",0.0,"1,4",-1.3564391557673878,328,41,9709
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Wesleyan,"Tirrell, David",,,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,18,5,0,0,15,0,0,0,23,0.783,15,1.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,81.0,1.0,9.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,61.0,56.0,46.0,21.0,48.0,16.0,1.0,5.0,6.79,248.0,292.0,5.0,9.0,0.0,6.0,8.0,0.0,0.0,19.0,0.327,60.0,63.0,5.0,"3,8","6,18","3,6",0.0,"5,12",-1.3564391557673878,329,41,10078
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Tufts,D. Desmarais,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,5,0,0,0,2,0,0,0,5,1.0,2,1.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,17.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,17.1,11.0,9.0,7.0,20.0,4.0,0.0,5.0,4.67,66.0,75.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.258,16.0,13.0,1.0,"0,1","2,2","1,2",0.0,"4,4",-1.3564391557673878,330,41,9699
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Hamilton,Luke Beyer,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,2,1,0,0,4,0,1,0,3,0.667,4,1.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,7.0,1.0,5.0,2.0,0.0,1.0,7.88,39.0,45.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.308,11.0,7.0,0.0,"1,2","0,2","0,2",0.0,"0,1",-1.3564391557673878,331,41,10040
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Trinity,Brendan Grad,,,,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,4,8,2,0,0,12,2,0,0,14,0.857,14,0.857,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,48.2,32.0,26.0,28.0,41.0,13.0,3.0,1.0,4.81,172.0,221.0,4.0,11.0,1.0,5.0,5.0,0.0,1.0,10.0,0.227,63.0,36.0,0.0,"1,7","3,8","0,4",0.0,"5,12",-1.3564391557673878,332,41,10213
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Tufts,Michael O'brien,,,,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1,7,0,0,0,2,1,1,0,8,1.0,3,0.667,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,21.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,7.0,19.0,14.0,5.0,0.0,0.0,3.15,73.0,97.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,7.0,0.288,14.0,27.0,0.0,"1,1","2,6","0,1",0.0,"1,3",-1.3564391557673878,333,41,9720
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Colby,Aidan Aggarwal,,,,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,0,0,5,0.8,1,1.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,15.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,17.0,13.0,11.0,11.0,1.0,1.0,0.0,8.16,57.0,75.0,1.0,5.0,0.0,1.0,1.0,0.0,2.0,5.0,0.263,13.0,17.0,0.0,"0,1","1,1","1,1",0.0,"1,1",-1.3564391557673878,334,41,9975
