conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,composite_score,rank,rating,global_rank
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Carlisle Brush,,0,20,25,1,0,,0,0,0,0,0,0,0,1,0,0,00:00,0,0,0,0,0,0,0,89,119,208,0.428,1.34,7,3,4,12,,,,,,,,,,,,,,,,,,0,25,4,2,2,0.08,0,0,,16,84,932
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Clare O'Connor,,d,21,25,5,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,17,2,15,24,,,,,,,,,,,,,,,,,,0,33,7,7,0,0.0,0,0,,17,83,933
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Bea Flynn,,0,22,25,12,0,,0,0,0,0,0,0,2,2,0,5,10:00,0,0,0,0,0,0,5,8,10,18,0.444,1.25,14,3,11,19,,,,,,,,,,,,,,,,,,0,121,14,8,6,0.05,0,0,,18,83,934
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Annabel Raffin,,0,24,25,8,0,,0,0,0,0,0,0,0,0,0,7,14:00,0,0,0,0,0,0,7,188,191,379,0.496,1.02,9,2,7,8,,,,,,,,,,,,,,,,,,0,55,8,5,3,0.05,0,0,,19,83,935
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Maleigh Tittel,,0,31,1,1,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,1.0,59:55,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.667,1.0,0.0,0.0,1.0,0,0,0,0,0,0.0,0,0,,20,82,936
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Joliane Tremblay,,0,33,1,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,,21,82,937
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,"Zhu, Tammy",,0,17,8,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,1,1,0.0,0.0,2,1,1,1,,,,,,,,,,,,,,,,,,0,6,0,0,0,0.0,0,0,,22,81,938
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Provenzo, Ava",,0,2,23,2,0,,0,0,0,1,0,0,0,0,0,7,14:00,0,0,0,0,0,0,7,0,1,1,0.0,0.0,7,9,-2,6,,,,,,,,,,,,,,,,,,0,21,2,0,2,0.1,0,0,,23,81,939
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Ito-Bagshaw, Sara",,0,4,16,5,0,,0,0,0,1,0,0,1,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,15,5,10,13,,,,,,,,,,,,,,,,,,0,23,11,10,1,0.04,0,0,,24,80,940
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Wojciak, Maddie",,0,5,24,5,0,,0,0,0,0,0,0,1,1,0,3,06:00,0,0,0,0,0,0,3,0,0,0,,0.0,19,12,7,34,,,,,,,,,,,,,,,,,,0,28,10,6,4,0.14,0,0,,25,80,941
