conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,composite_score,rank,rating,global_rank
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,whockey,Augsburg,"Milota, Adelyn",,0,2,26,5,0,,0,0,0,0,1,0,0,1,0,6,12:00,0,0,0,0,0,0,6,137,155,292,0.469,1.13,16,8,8,6,0,59,6,3,3,0.05,0,0,,,,,,,,,,,,,,,,,,,1,99,660
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,whockey,Augsburg,"Olson, Ella",,0,3,26,7,0,,0,1,0,2,1,0,0,3,0,2,04:00,0,0,0,0,0,0,2,7,4,11,0.636,0.57,26,3,23,23,0,93,23,11,12,0.13,0,0,,,,,,,,,,,,,,,,,,,2,95,661
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,whockey,Augsburg,"Wold, Lilli",,0,5,25,1,0,,0,0,0,1,0,0,0,1,0,3,06:00,0,0,0,0,0,0,3,0,1,1,0.0,0.0,11,8,3,5,0,19,3,2,1,0.05,0,0,,,,,,,,,,,,,,,,,,,3,94,662
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,whockey,Augsburg,"Behr, Payton",,0,6,26,12,0,,0,0,0,2,0,0,3,1,0,1,02:00,0,0,0,0,0,0,1,0,0,0,,0.0,33,10,23,16,0,36,6,3,3,0.08,0,0,,,,,,,,,,,,,,,,,,,4,93,663
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,whockey,Augsburg,"Mielke, Annika",,0,7,19,2,0,,0,0,0,0,0,0,1,0,0,3,06:00,0,0,0,0,0,0,3,5,4,9,0.556,0.8,6,6,0,8,0,23,6,5,1,0.04,0,0,,,,,,,,,,,,,,,,,,,5,92,664
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,whockey,Augsburg,"Simons, Abby",,0,8,22,0,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,8,2,6,4,0,16,3,3,0,0.0,0,0,,,,,,,,,,,,,,,,,,,6,91,665
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,whockey,Augsburg,"Brehm, Livia",,0,9,19,2,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,85,83,168,0.506,0.98,4,7,-3,5,0,5,1,1,0,0.0,0,0,,,,,,,,,,,,,,,,,,,7,90,666
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,whockey,Augsburg,"Allen, Jenna",,0,10,24,4,0,,0,1,1,3,2,0,1,1,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,19,6,13,19,0,61,17,10,7,0.11,0,0,,,,,,,,,,,,,,,,,,,8,89,667
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,whockey,Augsburg,"Eskin, Ruby",,0,11,26,10,0,,0,0,0,0,0,0,1,1,0,5,10:00,0,0,0,0,0,0,5,237,172,409,0.579,0.73,24,3,21,22,0,54,13,10,3,0.06,0,0,,,,,,,,,,,,,,,,,,,9,89,668
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,whockey,Augsburg,"Ries, Kelsi",,0,12,25,1,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,10,16,-6,5,0,21,4,4,0,0.0,0,0,,,,,,,,,,,,,,,,,,,10,88,669
