season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,goal_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2025-26,mhockey,Little East Conference (LEC),lec,Southern Maine,"Aucoin, Ben",Ben,Aucoin,0,662,"Aucoin, Ben","Aucoin,Ben",AucoinBenUSM,26,10,13,,Southern Maine,USM,1073-5328,0,,0,0,0,1,0,0,3,4,1,12,32:00,0,1,0,0,0,0,11,8,16,24,.333,2.00,30,21,9,9,,0,104,26,9,17,0.16,0,0,False,,,,,,,,,,,,,,,,,,,,,,7.444596277996929,11,96
2025-26,mhockey,Little East Conference (LEC),lec,Norwich,"Cordeiro, Nick",Nick,Cordeiro,0,511,"Cordeiro, Nick","Cordeiro,Nick",CordeiroNickNOR,28,17,7,,Norwich,NOR,0,0,,0,1,0,4,1,0,1,0,0,5,21:00,0,0,1,0,0,1,3,7,3,10,.700,0.43,29,10,19,20,,0,73,28,19,9,0.12,0,0,False,,,,,,,,,,,,,,,,,,,,,,7.352409751804387,12,96
2025-26,mhockey,Little East Conference (LEC),lec,Plymouth State,"Tremblay-Mathieu, Etienne",Etienne,Tremblay-Mathieu,0,548,"Tremblay-Mathieu, Etienne","Tremblay-Mathieu,Etienne",Tremblay-MathieuEtiennePSU,25,16,44,,Plymouth State,PSU,1069-7478,0,,0,1,1,1,0,0,3,2,1,8,27:00,0,1,0,0,0,1,6,1,1,2,.500,1.00,30,20,10,29,,0,85,28,19,9,0.11,0,0,False,,,,,,,,,,,,,,,,,,,,,,7.352409751804387,13,95
2025-26,mhockey,Little East Conference (LEC),lec,Norwich,"Stahlbaum, Boyd",Boyd,Stahlbaum,0,511,"Stahlbaum, Boyd","Stahlbaum,Boyd",StahlbaumBoydNOR,29,4,23,,Norwich,NOR,0,0,,0,0,1,1,1,0,8,4,0,11,22:00,0,0,0,0,0,0,11,5,3,8,.625,0.60,16,8,8,10,,0,74,27,15,12,0.16,0,0,False,,,,,,,,,,,,,,,,,,,,,,7.305377325511678,14,95
2025-26,mhockey,Little East Conference (LEC),lec,Norwich,"Ophoven, Zach",Zach,Ophoven,0,511,"Ophoven, Zach","Ophoven,Zach",OphovenZachNOR,29,15,12,,Norwich,NOR,0,0,,0,0,0,1,0,0,4,1,1,5,10:00,0,0,0,0,0,0,5,15,16,31,.484,1.07,30,13,17,6,,0,68,25,10,15,0.22,0,0,False,,,,,,,,,,,,,,,,,,,,,,6.931935404759312,15,95
2025-26,mhockey,Little East Conference (LEC),lec,New England College,Egor Osipik,Egor,Osipik,rw,467,Egor Osipik,"OSIPIK,EGOR",OSIPIKEGORNEW ENGL,25,12,17,,New England College,NEW ENGL,0,0,,0,2,1,2,0,1,3,2,1,14,31:00,0,0,0,0,0,1,13,1,2,3,.333,2.00,23,24,-1,13,,0,90,25,14,11,0.12,0,0,False,,,,,,,,,,,,,,,,,,,,,,6.559432647203387,16,95
2025-26,mhockey,Little East Conference (LEC),lec,Norwich,"Bertrand, Cooper",Cooper,Bertrand,0,511,"Bertrand, Cooper","Bertrand,Cooper",BertrandCooperNOR,29,18,14,,Norwich,NOR,0,0,,0,1,0,1,1,0,2,1,0,5,10:00,0,0,0,0,0,0,5,1,0,1,1.000,100,31,14,17,41,,0,77,26,19,7,0.09,0,0,False,,,,,,,,,,,,,,,,,,,,,,6.513339384107116,17,94
2025-26,mhockey,Little East Conference (LEC),lec,UMass Boston,"Mortson, Jack",Jack,Mortson,0,401,"Mortson, Jack","Mortson,Jack",MortsonJackUMB,27,20,16,,UMass Boston,UMB,1071-4739,0,,0,0,0,1,0,1,2,2,0,5,10:00,0,0,0,0,0,0,5,316,256,572,.552,0.81,32,17,15,25,,0,67,25,15,10,0.15,0,0,False,,,,,,,,,,,,,,,,,,,,,,6.466306957814406,18,94
2025-26,mhockey,Little East Conference (LEC),lec,UMass Dartmouth,"Walker, Alex",Alex,Walker,0,656,"Walker, Alex","Walker,Alex",WalkerAlexUMD,25,9,10,,UMass Dartmouth,UMD,1072-3948,0,,0,1,0,2,0,0,4,2,0,5,10:00,0,0,0,0,0,0,5,8,12,20,.400,1.50,19,27,-8,11,,0,52,25,16,9,0.17,0,0,False,,,,,,,,,,,,,,,,,,,,,,6.373181268425425,19,94
2025-26,mhockey,Little East Conference (LEC),lec,UMass Dartmouth,"Scanlon, Hunter",Hunter,Scanlon,0,656,"Scanlon, Hunter","Scanlon,Hunter",ScanlonHunterUMD,25,23,22,,UMass Dartmouth,UMD,1072-4134,0,,0,0,0,1,0,0,3,0,0,6,12:00,0,0,0,0,0,0,6,2,2,4,.500,1.00,21,29,-8,56,,0,64,25,18,7,0.11,0,0,False,,,,,,,,,,,,,,,,,,,,,,6.1869298896474625,20,94
