season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Croft, Ashlen",Ashlen,Croft,,601,"Croft, Ashlen","CROFT, ASHLEN",St. John Fisher,SJF,1009-6099,8,0,25,0,25,0,.222,18,2,6,0,0,0,0,2,1,3,0,0,0,0,1,3,0,3,0,9.5,0,0.75,0.00,0.13,0.38,0.25,1.19,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Keogh, Zofia",Zofia,Keogh,,601,"Keogh, Zofia","KEOGH, ZOFIA",St. John Fisher,SJF,1009-6422,16,1,17,0,17,0,.267,15,2,6,98,2,250,0,5,6,54,0,0,1,0,25,5,0,5,0,13.5,0,0.38,6.13,1.56,0.31,0.31,0.84,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Moore, Teagan",Teagan,Moore,,601,"Moore, Teagan","MOORE, TEAGAN",St. John Fisher,SJF,1009-6426,7,0,22,0,22,0,.200,10,2,4,1,0,2,0,0,1,2,0,0,0,0,1,2,0,2,0,5,0,0.57,0.14,0.14,0.29,0.00,0.71,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Berube, Meadow",Meadow,Berube,,601,"Berube, Meadow","BERUBE, MEADOW",St. John Fisher,SJF,1009-6424,7,0,20,0,20,0,-.500,2,1,0,0,0,1,0,2,1,19,0,0,6,0,6,0,0,0,0,2,0,0.00,0.00,0.86,0.00,0.29,0.29,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Dannenberg, Kalyna",Kalyna,Dannenberg,,601,"Dannenberg, Kalyna","DANNENBERG, KALYNA",St. John Fisher,SJF,1009-6423,98,57,19,0,19,0,.259,887,129,359,18,5,90,0,33,72,348,0,0,326,24,259,35,1,27,8,413.5,0,3.66,0.18,2.64,0.36,0.34,4.22,,,,,,
2025-26,wvball,Empire 8 (E8),e8,St. John Fisher,"Vogt, Audrey",Audrey,Vogt,,601,"Vogt, Audrey","VOGT, AUDREY",St. John Fisher,SJF,1009-6419,41,0,8,0,8,0,.000,1,0,0,4,0,16,0,2,5,25,0,0,67,6,48,0,0,0,0,2,0,0.00,0.10,1.17,0.00,0.05,0.05,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Cascapera, Anna",Anna,Cascapera,,78,"Cascapera, Anna","CASCAPERA, ANNA",Brockport,Brock,652-7537,32,14,10,0,10,0,.054,241,56,69,11,2,34,0,17,21,110,0,0,211,27,77,8,0,7,1,90.5,0,2.16,0.34,2.41,0.25,0.53,2.83,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Sison, Alexis",Alexis,Sison,,78,"Sison, Alexis","SISON, ALEXIS",Brockport,Brock,652-6676,80,37,2,0,2,0,.174,628,107,216,23,8,124,0,23,27,252,0,0,422,26,246,26,0,20,6,255,0,2.70,0.29,3.08,0.33,0.29,3.19,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Williamson, Alenna",Alenna,Williamson,,78,"Williamson, Alenna","WILLIAMSON, ALENNA",Brockport,Brock,652-6677,75,36,12,0,12,0,.214,383,65,147,8,1,28,0,6,10,83,0,0,5,0,38,42,3,29,13,180.5,1,1.96,0.11,0.51,0.56,0.08,2.41,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Felipe, Gianna",Gianna,Felipe,,78,"Felipe, Gianna","FELIPE, GIANNA",Brockport,Brock,652-7163,94,0,9,0,9,0,-.080,50,5,1,71,3,316,0,48,27,375,0,0,433,31,332,0,0,0,0,49,1,0.01,0.76,3.53,0.00,0.51,0.52,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Logan, Elsie",Elsie,Logan,,78,"Logan, Elsie","LOGAN, ELSIE",Brockport,Brock,652-7164,11,0,11,0,11,0,-.250,4,1,0,12,0,46,0,2,1,34,0,0,56,4,54,0,0,0,0,2,0,0.00,1.09,4.91,0.00,0.18,0.18,,,,,,
