season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating,ranking_segment
2025-26,baseball,North Atlantic Conference (NAC),nac,SUNY Cobleskill,Flora David,Flora,David,,30083,Flora David,0,0COBLE,32,32,,,101,27,31,14,5,0,0,22,2,6,19,8,17,2,3,1,0,0,0,1,3,1,0,0.454,36,133,19,.895,.307,.356,39,65,4,0,0,0,0,8,0,108,.963,0,.000,,7,3,23,25,"7,33",0.21,7,33,"14,46",0.30,14,46,"12,37",0.32,12,37,"6,13",0.46,6,13,0,0,0,0,"13,26","3,7","30,56",11,0,0,0,0,0,0,0,8,23,0,,SUNY Cobleskill,COBLE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0182882806838252,33,82,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Lesley,Kevin Dorsey,Kevin,Dorsey,,24317,Kevin Dorsey,0,0LESLEY,36,36,,,93,20,23,23,4,1,1,8,0,23,31,8,1,0,4,2,0,0,0,2,2,2,0,0.429,32,130,1,1.000,.247,.344,142,19,2,17,0,39,8,0,0,163,.988,47,.830,,1,3,26,18,"7,32",0.22,7,32,"9,45",0.20,9,45,"9,37",0.24,9,37,"5,13",0.38,5,13,0,0,0,0,"11,29","6,12","31,63",24,0,0,0,0,0,0,0,16,35,0,,Lesley,LESLEY,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8041482474545594,34,81,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Lesley,Raymond Morales,Raymond,Morales,,24317,Raymond Morales,0,0LESLEY,35,34,,,125,44,38,17,3,0,0,27,0,4,19,7,5,3,1,0,0,0,0,2,1,2,0,0.442,41,157,8,.625,.304,.328,41,67,1,0,0,2,0,12,0,109,.991,2,1.000,,7,4,29,33,"9,36",0.25,9,36,"22,63",0.35,22,63,"15,46",0.33,15,46,"8,24",0.33,8,24,0,0,0,0,"22,41","9,12","38,73",38,0,0,0,2,0,0,0,6,32,0,,Lesley,LESLEY,0,False,19,1,1,4,2,1,0,0,0,0,20.2,9,6,2,26,1,2,0,2.61,86,91,2,3,3,0,0,0,0,10,.221,21,15,0,"1,2","1,7","0,4",0,"0,3",,,,0.7819946047316388,35,81,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Lesley,Justin Dennett,Justin,Dennett,,24317,Justin Dennett,0,0LESLEY,33,31,,,107,29,28,19,5,2,1,20,0,6,14,8,5,1,1,3,0,0,0,2,1,2,0,0.397,40,137,6,.833,.262,.374,22,81,6,0,0,0,0,7,0,109,.945,0,.000,,5,6,30,33,"10,39",0.26,10,39,"18,58",0.31,18,58,"11,42",0.26,11,42,"8,22",0.36,8,22,0,0,0,0,"13,37","7,14","44,75",55,0,0,0,1,0,0,0,12,35,0,,Lesley,LESLEY,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48349075863173285,36,80,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Husson,"Marshall, Colin",Colin,Marshall,,1133,"Marshall, Colin",0,0HUS,40,39,,,101,30,26,18,3,1,1,24,0,8,21,7,14,3,8,4,0,0,0,2,2,2,0,0.423,34,145,17,.824,.257,.337,58,73,1,0,0,0,0,9,0,132,.992,0,.000,,6,2,36,25,"6,28",0.21,6,28,"15,52",0.29,15,52,"12,36",0.33,12,36,"6,18",0.33,6,18,0,0,0,0,"16,33","9,14","43,73",21,0,0,0,0,0,0,0,22,26,0,,Husson ,HUS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3492738215210728,37,79,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Lesley,Colby Jacobs,Colby,Jacobs,,24317,Colby Jacobs,0,0LESLEY,37,37,,,115,27,25,25,4,0,3,13,1,15,33,7,19,1,1,3,0,0,0,1,2,1,0,0.363,38,147,20,.950,.217,.330,85,1,3,0,0,0,0,0,0,89,.966,0,.000,,5,1,18,37,"12,43",0.28,12,43,"20,74",0.27,20,74,"15,56",0.27,15,56,"3,25",0.12,3,25,0,0,0,0,"16,29","6,18","42,86",70,0,0,0,0,0,0,0,15,41,0,,Lesley,LESLEY,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242673835154247,38,79,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Lesley,Owen Kalagher,Owen,Kalagher,,24317,Owen Kalagher,0,0LESLEY,36,35,,,129,26,35,25,7,3,0,11,0,8,16,3,14,1,5,2,0,0,0,1,1,1,0,0.360,48,155,15,.933,.271,.372,35,49,6,0,0,3,0,7,0,90,.933,3,1.000,,3,11,38,42,"14,40",0.35,14,40,"19,75",0.25,19,75,"15,60",0.25,15,60,"8,28",0.29,8,28,0,0,0,0,"15,38","8,16","46,88",31,0,0,0,2,0,0,0,12,38,0,,Lesley,LESLEY,0,False,8,1,0,0,0,0,0,0,0,0,6.2,8,4,8,2,2,1,0,5.40,28,37,0,0,0,0,1,0,1,1,.286,7,11,0,"1,2","3,6","1,2",0,"1,3",,,,0.1316704741240038,39,78,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,UMaine-Presque Isle,Ian Michaud,Ian,Michaud,,30040,Ian Michaud,0,0MEPRESQU,26,25,,,69,4,19,7,5,0,1,7,0,9,26,13,0,0,1,0,0,0,0,0,0,0,0,0.412,27,86,0,.000,.275,.391,149,4,2,0,0,0,0,15,0,155,.987,0,.000,,5,3,11,8,"6,21",0.29,6,21,"8,30",0.27,8,30,"9,20",0.45,9,20,"5,13",0.38,5,13,0,0,0,0,"8,15","0,5","19,36",8,0,0,0,0,0,0,0,4,13,0,,UMaine-Presque Isle,MEPRESQU,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0008055516193701262,40,77,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,VTSU Lyndon,Eyon Tembreull,Eyon,Tembreull,,30065,Eyon Tembreull,0,0LYNDON,32,30,,,96,19,26,15,3,0,0,22,0,10,23,12,1,0,1,0,0,0,0,2,1,3,0,0.453,29,129,1,1.000,.271,.302,43,58,16,0,0,0,0,6,0,117,.863,0,.000,,6,5,23,18,"5,34",0.15,5,34,"17,52",0.33,17,52,"12,40",0.30,12,40,"4,14",0.29,4,14,0,0,0,0,"14,24","6,14","31,60",7,0,0,0,0,0,0,0,5,32,0,,VTSU Lyndon,LYNDON,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02891168380250928,41,77,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,SUNY Cobleskill,Reis Thomas,Reis,Thomas,,30083,Reis Thomas,0,0COBLE,13,9,,,35,7,10,9,0,0,1,5,0,1,9,3,0,0,0,0,0,0,0,0,0,1,0,0.390,13,41,0,.000,.286,.371,15,1,0,0,0,0,0,1,0,16,1.000,0,.000,,0,0,8,8,"5,11",0.45,5,11,"6,20",0.30,6,20,"5,12",0.42,5,12,"0,4",0,0,4,0,0,0,0,"1,8","2,3","11,24",66,0,0,0,68,0,0,0,1,8,0,,SUNY Cobleskill,COBLE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17473937429966457,42,76,batting
