conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
pac,Presidents Athletic Conference (PAC),2025-26,softball,Grove City,Brooke Brodie,,,,34,34,110,33,45,27,15,1,0,8,0,2,11,5,2,0,0,1,0,0,0,2,0,2,0,0.455,62,121,2,1.000,.409,.564,164,9,2,0,0,8,2,5,0,175,.989,10,.800,39,1,5,2,2,2,1,0,0,0,25.1,33,21,14,15,8,0,3,5.80,115,138,5,5,0,1,3,0,0,4,.339,3,5,22,30,"17,42",0.40,17,42,"27,69",0.39,27,69,"19,47",0.40,19,47,"6,13",0.46,6,13,0,0,0,0,"9,18","8,15","37,72",63,0,0,0,0,0,0,0,7,22,0,27,32,0,"1,2","2,8","2,2",0,"0,2"
pac,Presidents Athletic Conference (PAC),2025-26,softball,Grove City,Maci Linhart,,,,37,37,126,35,47,30,8,4,0,15,0,1,13,3,11,0,1,1,0,0,0,0,1,2,0,0.441,63,144,11,1.000,.373,.500,68,46,10,0,0,0,0,4,0,124,.919,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,29,35,"14,34",0.41,14,34,"29,78",0.37,29,78,"23,55",0.42,23,55,"4,11",0.36,4,11,0,0,0,0,"10,21","9,15","46,83",138,0,0,0,0,0,0,0,14,33,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,softball,Grove City,Rachel Zona,,,,39,39,96,26,29,17,2,0,1,17,0,0,18,3,6,0,2,0,0,0,0,2,0,3,0,0.407,34,115,6,1.000,.302,.354,38,63,12,0,0,0,0,4,0,113,.894,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,17,23,"12,35",0.34,12,35,"21,64",0.33,21,64,"12,42",0.29,12,42,"2,8",0.25,2,8,0,0,0,0,"8,15","5,15","39,71",47,0,0,0,0,0,0,0,7,25,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,softball,Grove City,Evelyn Montone,,,,39,39,148,37,59,44,13,5,3,6,0,0,10,4,9,0,0,5,0,0,0,0,0,0,0,0.409,91,159,9,1.000,.399,.615,49,1,7,0,0,0,0,1,0,57,.877,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,30,45,"17,47",0.36,17,47,"30,75",0.40,30,75,"21,49",0.43,21,49,"5,13",0.38,5,13,0,0,0,0,"23,52","15,18","51,82",165,0,0,0,0,0,0,0,13,27,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,softball,Grove City,Annika Rinehart,,,,39,39,66,24,18,8,3,1,0,13,0,0,18,5,2,1,2,0,0,0,0,0,0,0,0,0.392,23,81,3,.667,.273,.348,56,0,3,0,0,0,0,0,0,59,.949,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,14,13,"6,21",0.29,6,21,"14,41",0.34,14,41,"9,26",0.35,9,26,"0,7",0,0,7,0,0,0,0,"5,13","0,3","24,44",15,0,0,0,5,0,0,0,6,16,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,softball,Grove City,Lily Demeio,,,,16,7,20,4,5,3,0,0,0,7,0,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0.483,5,29,0,.000,.250,.250,1,2,1,0,0,0,0,0,0,4,.750,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,6,"0,4",0,0,4,"3,8",0.38,3,8,"2,6",0.33,2,6,"1,2",0.50,1,2,0,0,0,0,"4,8","1,1","8,12",23,0,0,0,87,0,0,0,0,1,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,softball,Grove City,Jonalyn Wharry,,,,19,18,32,3,8,6,0,0,0,5,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0.351,8,37,1,1.000,.250,.250,81,9,6,8,0,28,3,1,0,96,.938,31,.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,10,8,"1,8",0.13,1,8,"6,21",0.29,6,21,"3,14",0.21,3,14,"0,3",0,0,3,0,0,0,0,"2,8","4,5","14,26",38,0,0,0,7,0,0,0,2,12,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,softball,Grove City,Sydney Mcbride,,,,14,0,8,8,2,3,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0.333,2,9,0,.000,.250,.250,0,0,1,0,0,0,0,0,0,1,.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,2,"1,5",0.20,1,5,"2,7",0.29,2,7,"2,6",0.33,2,6,0,0,0,0,0,0,0,0,0,"1,1","4,8",0,0,0,0,"0,1",0,0,1,0,4,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,softball,Grove City,Emma Covert,,,,26,20,63,7,22,15,4,0,1,6,0,2,10,2,0,0,0,1,0,0,0,0,0,0,0,0.417,29,72,0,.000,.349,.460,11,0,1,0,0,0,0,0,0,12,.917,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,12,18,"8,29",0.28,8,29,"15,41",0.37,15,41,"12,24",0.50,12,24,"2,8",0.25,2,8,0,0,0,0,"4,12","4,6","22,43",37,0,0,0,24,0,0,0,7,20,0,,,,,,,,
pac,Presidents Athletic Conference (PAC),2025-26,softball,Grove City,Kyla Campbell,,,,35,33,95,20,31,23,10,1,1,5,0,1,10,0,4,0,2,0,0,0,0,0,0,1,0,0.366,46,103,4,1.000,.326,.484,26,42,11,0,0,17,1,1,0,79,.861,18,.944,91,1,12,10,4,1,6,3,0,0,73.1,54,38,17,42,16,1,2,3.63,322,350,13,4,0,3,4,0,0,10,.283,8,4,17,31,"9,35",0.26,9,35,"23,66",0.35,23,66,"14,46",0.30,14,46,"3,8",0.38,3,8,0,0,0,0,"5,12","9,17","37,69",61,0,0,0,0,0,0,0,9,18,0,100,75,0,"2,4","5,14","0,2",0,"3,7"
