season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats
2025-26,wlax,Empire 8 (E8),e8,Utica,Alexis Alteri,Alexis,Alteri,,733,Alexis Alteri,"ALTERI,ALEXIS",ALTERIALEXISUTICA,15,15,,,Utica,UTICA,0,0,2,0,0,0,0,6,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,24,35,31,10,860:00,25,0,1.000,,25,33,5,16,6,10,.758,1.07,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Meghan Brennan,Meghan,Brennan,,733,Meghan Brennan,"BRENNAN,MEGHAN",BRENNANMEGHANUTICA,12,4,,,Utica,UTICA,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,12,3,240:00,4,0,1.000,,6,8,3,6,2,4,.750,0.50,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Samantha Shilling,Samantha,Shilling,,733,Samantha Shilling,"SHILLING,SAMANTHA",SHILLINGSAMANTHAUTICA,4,0,,,Utica,UTICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Jessica Marciano,Jessica,Marciano,,733,Jessica Marciano,"MARCIANO,JESSICA",MARCIANOJESSICAUTICA,16,11,,,Utica,UTICA,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,16,1,626:00,62,0,1.000,,14,18,2,12,5,7,.778,0.75,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Alyssa Specchio,Alyssa,Specchio,,733,Alyssa Specchio,"SPECCHIO,ALYSSA",SPECCHIOALYSSAUTICA,16,6,,,Utica,UTICA,0,0,4,0,0,0,2,9,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,8,29,5,391:00,7,0,1.000,,32,47,9,35,12,23,.681,2.19,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Grace Stuhlman,Grace,Stuhlman,,733,Grace Stuhlman,"STUHLMAN,GRACE",STUHLMANGRACEUTICA,16,16,,,Utica,UTICA,0,0,11,0,0,0,1,34,0,4,2,0,0,0,1,1,0,0,4,0,0,0,0,0,17,99,31,14,927:00,49,0,1.000,,66,89,19,64,19,45,.742,4.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Mary Pecora,Mary,Pecora,,733,Mary Pecora,"PECORA,MARY",PECORAMARYUTICA,8,1,,,Utica,UTICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,75:00,55,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Elliana Lasher,Elliana,Lasher,,733,Elliana Lasher,"LASHER,ELLIANA",LASHERELLIANAUTICA,12,11,,,Utica,UTICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,7,10,660:00,12,0,1.000,,2,3,0,0,0,0,.667,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Nora Gross,Nora,Gross,,733,Nora Gross,"GROSS,NORA",GROSSNORAUTICA,9,0,,,Utica,UTICA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,1,00:00,0,0,1.000,,3,4,0,4,1,3,.750,0.44,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Bella Kolb,Bella,Kolb,,733,Bella Kolb,"KOLB,BELLA",KOLBBELLAUTICA,15,13,,,Utica,UTICA,0,0,1,0,0,0,1,5,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,11,1,14,4,770:00,28,0,1.000,,22,28,3,22,7,15,.786,1.47,,,,,,,,,,,,,,,,,,
