season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,composite_score,global_rank,rating
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Transylvania,"Pitsic, Gabrielle",Gabrielle,Pitsic,,28749,"Pitsic, Gabrielle","PITSIC,GABRIELLE",Transylvania,TRA,1039-3072,2,1,17,0,17,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,41:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.2429473571080043,227,61
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Pooler, Caitlin",Caitlin,Pooler,,585,"Pooler, Caitlin","POOLER,CAITLIN",Rose-Hulman,RHT,1038-4897,0,0,29,0,29,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.2429473571080043,228,61
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Potrafke, Ana",Ana,Potrafke,,8567,"Potrafke, Ana","POTRAFKE,ANA",Mount St. Joseph,MSJ,1037-3531,3,0,15,0,15,0,0,0,2,0,0,0,0,0,.67,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,65:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.2429473571080043,229,61
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Berea,"Potts, Peyton",Peyton,Potts,,30171,"Potts, Peyton","POTTS,PEYTON",Berea,BER,921-1213,1,1,15,0,15,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,4,0,0,0,4.00,.00,.00,.00,0,,81:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.2429473571080043,230,61
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Berea,"Powell, Jessica",Jessica,Powell,,30171,"Powell, Jessica","POWELL,JESSICA",Berea,BER,921-1337,1,1,18,0,18,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,82:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.2429473571080043,231,60
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Powers, Cali",Cali,Powers,,585,"Powers, Cali","POWERS,CALI",Rose-Hulman,RHT,1038-5336,1,0,28,0,28,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,04:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.2429473571080043,232,60
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Raynor, Makayla",Makayla,Raynor,,8567,"Raynor, Makayla","RAYNOR,MAKAYLA",Mount St. Joseph,MSJ,1037-3529,3,0,17,0,17,0,0,0,2,0,0,0,0,0,.67,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,118:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.2429473571080043,233,60
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Transylvania,"Robinson, Molly",Molly,Robinson,,28749,"Robinson, Molly","ROBINSON,MOLLY",Transylvania,TRA,1039-2721,1,0,25,0,25,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.2429473571080043,234,60
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Manchester,"Rogers, Sian",Sian,Rogers,,1192,"Rogers, Sian","ROGERS,SIAN",Manchester,Man,1036-2569,2,2,25,0,25,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,155:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.2429473571080043,235,60
2026-27,wsoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Anderson,"Rogozinski, Jessica",Jessica,Rogozinski,,939,"Rogozinski, Jessica","ROGOZINSKI,JESSICA",Anderson,AU,0,2,2,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,142:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.2429473571080043,236,60
