season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,fumble_stats_number,fumble_stats_number_lost,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,defense_stats,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,composite_score,global_rank,rating
2026-27,football,Northwest Conference (NWC),nwc,Lewis & Clark,"Borea,Gio",Gio,Borea,,22235,"Borea,Gio","BOREA,GIO",Lewis & Clark,L&C,1261-2487,1,1,26,26,0,RB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,26,124,126,2,2,17,4.8,124.0,,,,,,,,3,10,0,8,3.3,,0,2,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.829321372874428,11,96
2026-27,football,Northwest Conference (NWC),nwc,Willamette,"Reese,Noah",Noah,Reese,,785,"Reese,Noah","REESE,NOAH",Willamette,WIL,0,1,0,11,11,0,0,LB,0,,,,,,,,0,8,3,11,11,1.0,.0,.0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6764486828085965,12,96
2026-27,football,Northwest Conference (NWC),nwc,Pacific Lutheran,"Watts,Kaden",Kaden,Watts,,1297,"Watts,Kaden","WATTS,KADEN",Pacific Lutheran ,PLU,1266-4862,1,1,33,33,0,0,DE,0,,,,,,,,0,0,3,3,3,1.5,.0,.0,0,3,8,1,0,2,5,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2482204838364703,13,95
2026-27,football,Northwest Conference (NWC),nwc,Pacific Lutheran,"Hale,Jackson",Jackson,Hale,,1297,"Hale,Jackson","HALE,JACKSON",Pacific Lutheran ,PLU,1266-3029,1,1,0,0D,0,0,DB,0,,,,,,,,0,1,6,7,7,1.5,.0,.0,0,3,7,0.5,0,1,4,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2095870231342154,14,95
2026-27,football,Northwest Conference (NWC),nwc,Pacific Lutheran,"Savea,Dayton",Dayton,Savea,,1297,"Savea,Dayton","SAVEA,DAYTON",Pacific Lutheran ,PLU,1266-4913,1,0,10,10,0,WR,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,4,86,3,55,21.5,,0,3,0,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.171796034105497,15,95
2026-27,football,Northwest Conference (NWC),nwc,Lewis & Clark,"Harden,Nick",Nick,Harden,,22235,"Harden,Nick","HARDEN,NICK",Lewis & Clark,L&C,1261-2650,1,0,29,29,0,0,LB,0,,,,,,,,0,1,3,4,4,1.0,.0,.0,1,0,4,1,1,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.070183435332093,16,94
2026-27,football,Northwest Conference (NWC),nwc,Linfield,"Yarbrough,Axl",Axl,Yarbrough,,1179,"Yarbrough,Axl","YARBROUGH,AXL",Linfield,LIN,1262-11426,1,1,97,97,0,0,DE,0,,,,,,,,0,2,1,3,3,1.0,.0,.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7759602224369795,17,94
2026-27,football,Northwest Conference (NWC),nwc,Lewis & Clark,"Lasconia,Sytyn",Sytyn,Lasconia,,22235,"Lasconia,Sytyn","LASCONIA,SYTYN",Lewis & Clark,L&C,1261-2664,1,1,7,7O,0,WR,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,7,178,1,44,25.4,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6249288612165533,18,94
2026-27,football,Northwest Conference (NWC),nwc,Linfield,"Johnson,Kenyon",Kenyon,Johnson,,1179,"Johnson,Kenyon","JOHNSON,KENYON",Linfield,LIN,1262-11146,1,1,35,12,0,0,CB,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,6,171,1,49,28.5,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4679183067479076,19,94
2026-27,football,Northwest Conference (NWC),nwc,Puget Sound,"Lawson,Max",Max,Lawson,,557,"Lawson,Max","LAWSON,MAX",Puget Sound,UPS,0,1,1,40,40,0,0,LB,0,,,,,,,,0,5,1,6,6,1.0,.0,.0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.450281592611346,20,94
