season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,composite_score,global_rank,rating
2026-27,wvball,Conference of New England (CCC),ccc,Western New England University,"Henkel, Charlei",Charlei,Henkel,,775,"Henkel, Charlei","HENKEL, CHARLEI",Western New England University,WNE,1022-4445,6,3,15,0,15,0,,,,,,,1.17,0.00,3.67,0.00,0.17,1.33,.065,46,4,7,0,0,3,0,1,0,27,0,0,40,4,22,0,0,0,0,8,0,1.9620452704431006,41,87
2026-27,wvball,Conference of New England (CCC),ccc,Western New England University,"Bonin, Morgan",Morgan,Bonin,,775,"Bonin, Morgan","BONIN, MORGAN",Western New England University,WNE,1022-3916,12,6,4,0,4,0,,,,,,,1.00,0.08,0.08,0.75,0.00,1.38,.087,46,8,12,1,0,5,0,0,0,0,0,0,1,0,1,9,0,9,0,16.5,0,1.9319418550802756,42,87
2026-27,wvball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,"Davenport, Elena",Elena,Davenport,,762,"Davenport, Elena","DAVENPORT, ELENA",Wentworth Institute of Technology,WIT,0,9,1,24,0,24,0,,,,,,,1.00,0.00,0.33,0.22,0.56,1.67,.318,22,2,9,0,0,1,0,5,2,26,0,0,1,0,3,2,0,2,0,15,0,1.8976251612619466,43,87
2026-27,wvball,Conference of New England (CCC),ccc,Suffolk University,"Lanigan, Aislinn",Aislinn,Lanigan,,684,"Lanigan, Aislinn","LANIGAN, AISLINN",Suffolk University,SUF,0,11,3,3,0,3,0,,,,,,,0.36,4.27,1.91,0.36,0.45,1.05,.167,18,1,4,47,4,206,0,5,4,34,0,0,1,0,21,4,0,3,1,11.5,0,1.8457313496756753,44,86
2026-27,wvball,Conference of New England (CCC),ccc,Nichols College,"Rodrigues, Kaitlyn",Kaitlyn,Rodrigues,,484,"Rodrigues, Kaitlyn","RODRIGUES, KAITLYN",Nichols College,NC,695-5109,11,0,12,0,12,0,,,,,,,0.09,0.36,2.00,0.00,0.18,0.27,1.000,1,0,1,4,0,17,0,2,2,7,0,0,71,12,22,0,0,0,0,3,0,1.7897188750531747,45,86
2026-27,wvball,Conference of New England (CCC),ccc,University of New England,Syd Fye,Syd,Fye,,1255,Syd Fye,"FYE,SYD",University of New England,UNE,990-3149,1,0,14,0,14,0,,,,,,,0.00,1.00,0.00,0.00,2.00,2.00,.000,0,0,0,1,0,1,0,2,0,3,0,0,0,0,0,0.0,0,0,0,2.0,0,1.553985591073797,46,86
2026-27,wvball,Conference of New England (CCC),ccc,Suffolk University,"Kuijt, Noelle",Noelle,Kuijt,,684,"Kuijt, Noelle","KUIJT,NOELLE",Suffolk University,SUF,0,1,0,9,0,9,0,,,,,,,1.00,0.00,0.00,0.00,0.00,1.00,1.000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.450315888816325,47,85
2026-27,wvball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,"Rocchio, Ava",Ava,Rocchio,,762,"Rocchio, Ava","ROCCHIO, AVA",Wentworth Institute of Technology,WIT,0,21,5,17,0,17,0,,,,,,,1.14,0.14,0.24,0.48,0.00,1.43,.176,74,11,24,3,0,9,0,0,0,1,0,0,0,0,5,10,0,8,2,30,0,1.4202268839849745,48,85
2026-27,wvball,Conference of New England (CCC),ccc,Western New England University,"Taylor, Evelyn",Evelyn,Taylor,,775,"Taylor, Evelyn","TAYLOR, EVELYN",Western New England University,WNE,1022-4117,12,0,21,0,21,0,,,,,,,0.08,0.67,2.00,0.00,0.00,0.08,1.000,1,0,1,8,1,25,0,0,0,0,0,0,59,6,24,0,0,0,0,1,0,1.3569687968039348,49,85
2026-27,wvball,Conference of New England (CCC),ccc,Roger Williams University,"Eisenhard, Rylie",Rylie,Eisenhard,,583,"Eisenhard, Rylie","EISENHARD, RYLIE",Roger Williams University,RWU,697-9963,20,0,18,0,18,0,,,,,,,1.80,0.05,0.45,0.20,0.00,1.90,.096,115,25,36,1,1,9,0,0,0,0,0,0,36,2,9,4,1,4,0,38,0,1.2526733347124588,50,85
