season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip,pitching_stats_strike_percentage
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Saint Vincent,Jacob Auld,Jacob,Auld,,30064,Jacob Auld,0,0SVC,16,15,,,53,8,13,6,1,0,2,3,0,2,17,8,0,0,0,1,0,0,0,0,0,0,0,0.305,20,59,0,.000,.245,.377,24,13,8,0,0,2,1,6,0,45,.822,3,.667,,1,0,8,14,"6,20",0.30,6,20,"7,25",0.28,7,25,"5,15",0.33,5,15,"0,2",0,0,2,0,0,0,0,"6,15","2,4","11,28","0,1",0,0,1,22,0,0,0,2,9,0,,Saint Vincent,SVC,1315-4154,False,6,1,0,1,1,1,0,0,0,0,7.1,5,3,7,9,2,0,0,3.68,26,36,1,1,0,0,2,0,2,2,.231,7,4,0,"2,2","1,6","0,1",0,"0,3",,,,-1.3086321232609457,61,70,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Hiram,Kian Drummonds,Kian,Drummonds,,281,Kian Drummonds,0,0HIRAM,14,11,,,35,4,9,5,1,0,1,3,0,3,14,7,1,1,2,0,0,0,0,0,0,0,0,0.366,13,43,2,.500,.257,.371,90,8,2,1,0,26,3,0,0,100,.980,29,.897,,1,1,10,3,"2,14",0.14,2,14,"6,18",0.33,6,18,"4,10",0.40,4,10,"3,5",0.60,3,5,0,0,0,0,"1,3","2,4","12,22","0,1",0,0,1,0,0,0,0,3,7,0,,Hiram,HIRAM,1217-2682,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4502243518931865,62,70,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Geneva,Jason Triscila,Jason,Triscila,,30084,Jason Triscila,0,0GEN,13,11,,,32,9,11,2,1,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0.364,12,33,1,1.000,.344,.375,11,1,0,0,0,7,0,0,0,12,1.000,7,1.000,,2,0,11,4,"2,10",0.20,2,10,"6,15",0.40,6,15,"4,9",0.44,4,9,"1,5",0.20,1,5,0,0,0,0,"4,7","1,2","7,16",0,0,0,0,0,0,0,0,0,6,0,,Geneva,GEN,701-2569,False,23,1,4,1,3,0,0,0,0,0,19.1,16,8,8,22,5,0,0,3.72,79,92,1,1,0,2,2,0,0,9,.291,16,20,0,"0,7","2,7","2,4",0,"3,10",,,,-1.7205590600510188,63,69,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,W&J,Teddy Platt,Teddy,Platt,,751,Teddy Platt,0,0WJC,15,15,,,49,10,12,10,4,1,0,5,0,4,5,2,7,3,0,2,0,0,0,2,1,2,0,0.350,18,60,10,.700,.245,.367,26,44,3,0,0,0,0,10,0,73,.959,0,.000,,4,4,17,13,"1,20",0.05,1,20,"4,27",0.15,4,27,"2,19",0.11,2,19,"2,9",0.22,2,9,0,0,0,0,"6,10","6,7","15,30",3,0,0,0,0,0,0,0,5,19,0,,W&J,WJC,1318-2743,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8346636368776115,64,69,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Chatham,Devin Fluhmann,Devin,Fluhmann,,10972,Devin Fluhmann,0,0CHATHAM,18,18,,,57,16,13,10,4,1,0,10,0,3,17,7,4,2,1,2,0,0,0,0,0,1,0,0.361,19,73,6,.667,.228,.333,45,0,1,0,0,0,0,0,0,46,.978,0,.000,,1,2,13,16,"1,15",0.07,1,15,"9,32",0.28,9,32,"8,23",0.35,8,23,"1,8",0.13,1,8,0,0,0,0,"5,16","5,13","20,39",48,0,0,0,0,0,0,0,5,15,0,,Chatham,CHATHAM,1988-2651,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2492852697419683,65,68,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Hiram,Logan Gallentine,Logan,Gallentine,,281,Logan Gallentine,0,0HIRAM,14,11,,,36,6,9,7,2,0,1,2,0,0,7,3,1,0,1,1,0,0,0,0,0,0,0,0.282,14,40,1,1.000,.250,.389,18,25,3,0,0,0,0,5,0,46,.935,0,.000,,0,0,6,17,"3,7",0.43,3,7,"6,15",0.40,6,15,"4,11",0.36,4,11,"4,11",0.36,4,11,0,0,0,0,"2,15","1,2","10,18",0,0,0,0,0,0,0,0,4,4,0,,Hiram,HIRAM,1217-1944,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.26684772836153,66,68,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Allegheny,Jake Fix,Jake,Fix,,19,Jake Fix,0,0AC,16,13,,,47,10,13,6,3,0,0,4,0,2,7,1,4,2,2,0,0,0,0,0,1,0,0,0.358,16,55,6,.667,.277,.340,10,0,0,0,0,0,0,0,0,10,1.000,0,.000,,0,2,14,13,"5,22",0.23,5,22,"10,28",0.36,10,28,"7,21",0.33,7,21,"0,1",0,0,1,0,0,0,0,"3,12","0,4","16,32",12,0,0,0,3,0,0,0,3,17,0,,Allegheny,AC,1213-3899,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3288822144504246,67,67,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Thiel,J. Fell,J.,Fell,,707,J. Fell,0,0THIEL,13,11,,,34,7,8,7,0,0,0,9,0,4,14,4,2,0,0,0,0,0,0,1,0,1,0,0.447,8,47,2,1.000,.235,.235,32,0,2,0,0,0,0,0,0,34,.941,0,.000,,3,1,6,3,"2,11",0.18,2,11,"4,19",0.21,4,19,"4,13",0.31,4,13,"1,4",0.25,1,4,0,0,0,0,"5,8","1,4","10,21",41,0,0,0,0,0,0,0,2,7,0,,Thiel,THIEL,1316-5329,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.359443573186702,68,67,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Westminster,Parker Lyons,Parker,Lyons,,1451,Parker Lyons,0,0WESTMINS,16,16,,,60,12,16,7,3,0,0,7,0,2,6,2,3,2,3,0,0,0,0,0,0,0,0,0.362,19,72,5,.600,.267,.317,14,27,6,0,0,0,0,1,0,47,.872,0,.000,,2,2,17,22,"2,14",0.14,2,14,"7,34",0.21,7,34,"7,25",0.28,7,25,"2,7",0.29,2,7,0,0,0,0,"7,18","2,6","20,41",7,0,0,0,0,0,0,0,11,18,0,,Westminster,WESTMINS,1320-5104,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4177239785394034,69,66,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Bethany,Evan Hegarty,Evan,Hegarty,,59,Evan Hegarty,0,0BETHANY,14,14,,,39,8,9,5,2,0,1,5,0,1,16,5,1,1,0,1,0,0,0,0,0,0,0,0.326,14,46,2,.500,.231,.359,6,32,7,0,0,0,0,3,0,45,.844,0,.000,,0,3,6,8,"4,18",0.22,4,18,"5,22",0.23,5,22,"2,14",0.14,2,14,"1,3",0.33,1,3,0,0,0,0,"2,7","1,3","12,26",3,0,0,0,0,0,0,0,3,15,0,,Bethany,BETHANY,1313-2653,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6037721767473263,70,66,batting,,,
2026-27,baseball,Presidents Athletic Conference (PAC),pac,Allegheny,Ty Eberhardt,Ty,Eberhardt,,19,Ty Eberhardt,0,0AC,18,16,,,61,12,14,10,3,0,0,12,0,1,16,6,6,2,1,2,0,0,0,1,1,2,0,0.355,17,77,8,.750,.230,.279,110,11,1,5,0,16,3,1,0,122,.992,19,.842,,0,3,15,20,"5,17",0.29,5,17,"10,37",0.27,10,37,"8,28",0.29,8,28,"2,6",0.33,2,6,0,0,0,0,"9,21","6,9","23,41",31,0,0,0,3,0,0,0,10,17,0,,Allegheny,AC,1213-3730,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.808171903091821,71,65,batting,,,
