season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,defense_stats,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,fumble_stats_number,fumble_stats_number_lost,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,composite_score,global_rank,rating
2026-27,football,New England Women's and Men's Athletic Conference (NEWMAC),newmac,USMMA,"Wheeler,Jonathan",Jonathan,Wheeler,,724,"Wheeler,Jonathan","WHEELER,JONATHAN",USMMA,MMA,486-2387,1,1,35,35,0,0,LB,0,,,,,,,,0,3,3,6,6,1.0,.0,.0,1,0,5,1,1,0,5,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.075079944590365,11,96
2026-27,football,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Norwich,"Botelho,Brady",Brady,Botelho,,511,"Botelho,Brady","BOTELHO,BRADY",Norwich,NOR,1016-5117,1,1,5,5,0,0,DB,0,,,,,,,,0,8,5,13,13,.0,.0,.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.817774213218804,12,96
2026-27,football,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,"Westkott,Noah",Noah,Westkott,,722,"Westkott,Noah","WESTKOTT,NOAH",Coast Guard,CGA,1135-3040,1,0,39,39,0,0,DB,0,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,1,0,0,0,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.613452084428008,13,95
2026-27,football,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Springfield,"Smith,Justin",Justin,Smith,,673,"Smith,Justin","SMITH,JUSTIN",Springfield,SPR,1140-5103,1,1,55,55,0,0,DL,0,,,,,,,,0,2,2,4,4,1.0,.0,.0,1,0,10,1,1,0,10,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.509593588933498,14,95
2026-27,football,New England Women's and Men's Athletic Conference (NEWMAC),newmac,SUNY Maritime,"Spinelli,Gianni",Gianni,Spinelli,,478,"Spinelli,Gianni","SPINELLI,GIANNI",SUNY Maritime,MAR,0,1,1,4,4,0,RB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,2,14,0,9,7.0,1,5,0,5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,29,161,162,1,4,27,5.6,161.0,0,4,0,0,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,4.463932667789816,15,95
2026-27,football,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,"Nanartowich,Owen",Owen,Nanartowich,,623,"Nanartowich,Owen","NANARTOWICH,OWEN",Salve Regina,SRU,989-4403,1,1,52,5B,0,0,LB,0,,,,,,,,0,2,10,12,12,.5,.0,.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8530652566718464,16,95
2026-27,football,New England Women's and Men's Athletic Conference (NEWMAC),newmac,MIT,"Zhang,Kevin",Kevin,Zhang,,398,"Zhang,Kevin","ZHANG,KEVIN",MIT,MIT,1136-4556,1,0,37,37,0,0,DL,0,,,,,,,,0,1,0,1,1,1.0,.0,.0,1,0,6,1,1,0,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.661364055448197,17,95
2026-27,football,New England Women's and Men's Athletic Conference (NEWMAC),newmac,MIT,"Treptow,Ryan",Ryan,Treptow,,398,"Treptow,Ryan","TREPTOW,RYAN",MIT,MIT,1136-4903,1,1,16,16,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,43,4,180,0,26,18,178.2,6.92,10.00,180.0,,,,,,,,,,,,,7,64,64,0,0,24,9.1,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.082857348203163,18,94
2026-27,football,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,"Barber,Freddy",Freddy,Barber,,722,"Barber,Freddy","BARBER,FREDDY",Coast Guard,CGA,1135-3289,1,1,4,4,0,WR,0,0,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,0,0,0,.0,,,,,,13,166,1,64,12.8,2,64,0,37,32.0,0,0,24,1,24,0,2,1,315.8,12.00,24.00,24.0,0,0,0,0,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0803858247581646,19,94
2026-27,football,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,"DeAngelis,Dylan",Dylan,DeAngelis,,623,"DeAngelis,Dylan","DEANGELIS,DYLAN",Salve Regina,SRU,989-3824,1,1,7,7Z,0,0,LB,0,,,,,,,,0,4,3,7,7,2.0,.0,.0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,4,0,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.941910628224986,20,94
