season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats,penalty_stats,misc_stats,goalie_stats,shot_stats,avg_points_game,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,wlax,Landmark Conference,landmark_conference,Catholic,Laura Sullivan,Laura,Sullivan,,124,Laura Sullivan,"SULLIVAN,LAURA",SULLIVANLAURACATHOLIC,0,0,,,Catholic,CATHOLIC,1049-2810,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,wlax,Landmark Conference,landmark_conference,Catholic,Brigid Brown,Brigid,Brown,,124,Brigid Brown,"BROWN,BRIGID",BROWNBRIGIDCATHOLIC,16,2,,,Catholic,CATHOLIC,1049-3306,,,,,,0.19,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,7,6,1,120:00,0,0,1.000,5,10,3,3,1,2,.500,,,,,,,,,,,,,,
2026-27,wlax,Landmark Conference,landmark_conference,Catholic,Danielle Macek,Danielle,Macek,,124,Danielle Macek,"MACEK,DANIELLE",MACEKDANIELLECATHOLIC,17,0,,,Catholic,CATHOLIC,1049-3313,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,0,2,6,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2026-27,wlax,Landmark Conference,landmark_conference,Catholic,Maddie McDevitt,Maddie,McDevitt,,124,Maddie McDevitt,"MCDEVITT,MADDIE",MCDEVITTMADDIECATHOLIC,19,17,,,Catholic,CATHOLIC,1049-3314,,,,,,1.42,0,6,0,0,0,0,18,0,3,2,0,0,0,9,3,0,0,0,0,0,0,0,0,11,53,28,8,1030:00,8,0,1.000,40,58,9,27,3,24,.690,,,,,,,,,,,,,,
2026-27,wlax,Landmark Conference,landmark_conference,Catholic,Kelly Bunnick,Kelly,Bunnick,,124,Kelly Bunnick,"BUNNICK,KELLY",BUNNICKKELLYCATHOLIC,19,17,,,Catholic,CATHOLIC,1049-3307,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,31,4,12,25,1020:00,16,0,1.000,2,2,0,0,0,0,1.000,,,,,,,,,,,,,,
2026-27,wlax,Landmark Conference,landmark_conference,Catholic,Charlotte Spaulding,Charlotte,Spaulding,,124,Charlotte Spaulding,"SPAULDING,CHARLOTTE",SPAULDINGCHARLOTTECATHOLIC,4,0,,,Catholic,CATHOLIC,1049-3085,,,,,,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,00:00,0,0,1.000,4,5,0,1,0,1,.800,,,,,,,,,,,,,,
2026-27,wlax,Landmark Conference,landmark_conference,Catholic,Sarah Cohen,Sarah,Cohen,,124,Sarah Cohen,"COHEN,SARAH",COHENSARAHCATHOLIC,6,0,,,Catholic,CATHOLIC,1049-3620,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2026-27,wlax,Landmark Conference,landmark_conference,Catholic,Ariana Bransfield,Ariana,Bransfield,,124,Ariana Bransfield,"BRANSFIELD,ARIANA",BRANSFIELDARIANACATHOLIC,14,9,,,Catholic,CATHOLIC,1049-3086,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,21,2,5,550:00,8,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2026-27,wlax,Landmark Conference,landmark_conference,Catholic,Tori Wilsey,Tori,Wilsey,,124,Tori Wilsey,"WILSEY,TORI",WILSEYTORICATHOLIC,19,16,,,Catholic,CATHOLIC,1049-2811,,,,,,0.95,0,2,0,0,0,1,6,1,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,19,64,11,15,960:00,16,0,1.000,26,39,5,18,6,12,.667,,,,,,,,,,,,,,
2026-27,wlax,Landmark Conference,landmark_conference,Catholic,Sophia Callano,Sophia,Callano,,124,Sophia Callano,"CALLANO,SOPHIA",CALLANOSOPHIACATHOLIC,18,5,,,Catholic,CATHOLIC,1049-3308,,,,,,0.06,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,14,3,7,9,300:00,0,0,1.000,1,2,0,1,0,1,.500,,,,,,,,,,,,,,
