season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,"Miles, Isaac",Isaac,Miles,,326,"Miles, Isaac","MILES,ISAAC",Kalamazoo,KMZ,1088-2082,2,0,16,0,16,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,37:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,210,61
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,"Miller, Owen",Owen,Miller,,4,"Miller, Owen","MILLER,OWEN",Adrian,ADRIAN,1083-13574,1,0,21,0,21,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,13:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,211,60
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,"Munogo, Job",Job,Munogo,,4,"Munogo, Job","MUNOGO,JOB",Adrian,ADRIAN,1083-13688,0,0,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,212,60
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,"Munongo, Job",Job,Munongo,,4,"Munongo, Job","MUNONGO,JOB",Adrian,ADRIAN,1083-13688,3,0,9,0,9,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,6,0,0,0,2.00,.00,.00,.00,0,,162:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,213,60
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,"Munongo, Victor",Victor,Munongo,,4,"Munongo, Victor","MUNONGO,VICTOR",Adrian,ADRIAN,1083-13575,2,0,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,25:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,214,60
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,"Neumann, Marshall",Marshall,Neumann,,114,"Neumann, Marshall","NEUMANN,MARSHALL",Calvin,CAL,1086-3167,2,0,29,0,29,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,39:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,215,60
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Trine,"Niemi, Tyler",Tyler,Niemi,,30037,"Niemi, Tyler","NIEMI,TYLER",Trine,TRINE,1091-5044,2,2,19,0,19,0,0,0,4,0,0,0,0,0,2.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,3,0,1,0,1.50,.50,.00,.00,0,,130:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,216,60
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Trine,"Nowicki, Adam",Adam,Nowicki,,30037,"Nowicki, Adam","NOWICKI,ADAM",Trine,TRINE,1091-5560,0,0,37,0,37,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,217,59
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,"Obando, Jair",Jair,Obando,,326,"Obando, Jair","OBANDO,JAIR",Kalamazoo,KMZ,1088-2089,0,0,29,0,29,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,218,59
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Albion,"Pancy, Parker",Parker,Pancy,,15,"Pancy, Parker","PANCY,PARKER",Albion,AC,1084-4273,0,0,28,0,28,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,219,59
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,"Parr, Griffin",Griffin,Parr,,4,"Parr, Griffin","PARR,GRIFFIN",Adrian,ADRIAN,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,220,59
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,"Plug, Owen",Owen,Plug,,114,"Plug, Owen","PLUG,OWEN",Calvin,CAL,1086-2528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,221,59
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Albion,"Principi, Emanuele",Emanuele,Principi,,15,"Principi, Emanuele","PRINCIPI,EMANUELE",Albion,AC,1084-3711,0,0,11,0,11,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,222,59
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Albion,"Providence, Andre",Andre,Providence,,15,"Providence, Andre","PROVIDENCE,ANDRE",Albion,AC,1084-4274,3,1,20,0,20,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,160:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,223,58
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Trine,"Pryor, Isaiah",Isaiah,Pryor,,30037,"Pryor, Isaiah","PRYOR,ISAIAH",Trine,TRINE,1091-4851,0,0,12,0,12,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,224,58
