season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,composite_score,global_rank,rating
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Oberlin,"Button, Molly",Molly,Button,,515,"Button, Molly","BUTTON,MOLLY",Oberlin,OC,1221-4148,2,2,17,0,17,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,3,0,0,0,1.50,.00,.00,.00,0,,136:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,39,90
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Byun, Holly",Holly,Byun,,335,"Byun, Holly","BYUN,HOLLY",Kenyon,KYN,1219-2848,1,1,24,0,24,0,0,1,2,0,0,0,0,0,2.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,86:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,40,90
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,DePauw,"Carpenter, Joie",Joie,Carpenter,,177,"Carpenter, Joie","CARPENTER,JOIE",DePauw,DPW,1274-6904,2,0,3,0,3,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,107:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,41,90
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Copeland, Emily",Emily,Copeland,,335,"Copeland, Emily","COPELAND,EMILY",Kenyon,KYN,1219-2847,1,1,18,0,18,0,0,1,3,0,0,0,0,0,3.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,59:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,42,89
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,John Carroll,"Coutris, Evie",Evie,Coutris,,320,"Coutris, Evie","COUTRIS,EVIE",John Carroll,JCU,1277-8002,3,1,31,0,31,0,0,1,2,0,0,0,0,0,.67,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,1,0,.33,.33,.00,.00,0,,120:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,43,89
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Dougherty, Fiona",Fiona,Dougherty,,335,"Dougherty, Fiona","DOUGHERTY,FIONA",Kenyon,KYN,1219-2948,1,1,14,0,14,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,3,0,0,0,3.00,.00,.00,.00,0,,90:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,44,89
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Ohio Wesleyan,"Douglas-Arnold, Beatrice",Beatrice,Douglas-Arnold,,520,"Douglas-Arnold, Beatrice","DOUGLAS-ARNOLD,BEATRICE",Ohio Wesleyan,OWU,1222-3292,3,2,25,0,25,0,0,1,5,0,0,0,0,0,1.67,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,212:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,45,89
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,John Carroll,"Frickel, Allison",Allison,Frickel,,320,"Frickel, Allison","FRICKEL,ALLISON",John Carroll,JCU,1277-8004,2,0,26,0,26,0,0,1,2,0,0,0,0,0,1.00,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,106:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,46,89
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Ohio Wesleyan,"Hawkins, Bailey",Bailey,Hawkins,,520,"Hawkins, Bailey","HAWKINS,BAILEY",Ohio Wesleyan,OWU,1222-3293,3,1,5,0,5,0,0,1,4,0,0,0,0,0,1.33,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,194:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,47,89
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,DePauw,"Hendrix-Petry, Chloe",Chloe,Hendrix-Petry,,177,"Hendrix-Petry, Chloe","HENDRIX-PETRY,CHLOE",DePauw,DPW,1274-6496,2,0,23,0,23,0,0,1,2,0,0,0,0,0,1.00,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,47:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,48,88
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Hitchcock, Celia",Celia,Hitchcock,,807,"Hitchcock, Celia","HITCHCOCK,CELIA",Wooster,WOO,1226-3207,2,2,17,0,17,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,180:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,49,88
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Oberlin,"Leung, Skylar",Skylar,Leung,,515,"Leung, Skylar","LEUNG,SKYLAR",Oberlin,OC,1221-3995,2,2,15,0,15,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,180:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.43900467742085425,50,88
