season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,composite_score,global_rank,rating
2026-27,wvball,Empire 8 (E8),e8,Nazareth,"Lucey, Alana",Alana,Lucey,,461,"Lucey, Alana","LUCEY, ALANA",Nazareth,Naz,1007-4878,4,1,5,0,5,0,,,,,,,3.75,0.00,1.25,1.00,0.50,4.75,.375,32,3,15,0,0,0,0,2,2,13,0,0,0,0,5,4,0,4,0,19.0,0,12.752827619142305,1,99
2026-27,wvball,Empire 8 (E8),e8,Russell Sage,"Merino, Mia",Mia,Merino,,11036,"Merino, Mia","MERINO, MIA",Russell Sage,RSCWVB,0,8,3,24,0,24,0,,,,,,,3.50,0.00,3.88,0.38,0.38,4.06,.224,67,13,28,0,1,7,0,3,6,29,0,0,46,7,31,3,0,3,0,32.5,1,10.09218179143864,2,99
2026-27,wvball,Empire 8 (E8),e8,Hartwick,"Walker, Lucy",Lucy,Walker,,273,"Walker, Lucy","WALKER, LUCY",Hartwick,Hart,1005-3255,11,4,16,0,16,0,,,,,,,3.36,0.18,0.64,0.64,0.64,4.36,.321,78,12,37,2,0,11,0,7,5,37,0,0,2,0,7,7,1,6,1,48,0,10.057234929577676,3,99
2026-27,wvball,Empire 8 (E8),e8,Nazareth,"Fusilli, Leah",Leah,Fusilli,,461,"Fusilli, Leah","FUSILLI, LEAH",Nazareth,Naz,1007-4576,4,1,14,0,14,0,,,,,,,2.75,0.00,4.25,0.50,0.25,3.25,.250,32,3,11,0,0,2,0,1,5,10,0,0,36,3,17,2,0,2,0,13.0,0,9.305660777242533,4,98
2026-27,wvball,Empire 8 (E8),e8,Nazareth,"Bell, Sloane",Sloane,Bell,,461,"Bell, Sloane","BELL, SLOANE",Nazareth,Naz,1007-5297,4,1,7,0,7,0,,,,,,,1.75,0.00,3.25,0.75,0.75,3.00,.000,28,7,7,0,0,3,0,3,3,21,0,0,18,4,13,3,0,2,1,12.0,0,8.92232488205993,5,98
2026-27,wvball,Empire 8 (E8),e8,Keuka,"Scott, Nina",Nina,Scott,,1159,"Scott, Nina","SCOTT, NINA",Keuka,Keuka,1241-1586,16,6,8,0,8,0,,,,,,,3.50,0.25,1.81,0.44,0.25,4.06,.203,153,25,56,4,2,24,0,4,8,37,0,0,65,7,29,7,0,4,3,65,0,8.304150678009336,6,98
2026-27,wvball,Empire 8 (E8),e8,Russell Sage,"Kemmer, Paige",Paige,Kemmer,,11036,"Kemmer, Paige","KEMMER, PAIGE",Russell Sage,RSCWVB,0,9,3,18,0,18,0,,,,,,,3.78,0.11,1.00,0.44,0.00,4.11,.386,70,7,34,1,0,6,0,0,0,0,0,0,21,0,9,4,1,2,2,37,0,7.992998804827877,7,97
2026-27,wvball,Empire 8 (E8),e8,St. John Fisher,"Dannenberg, Kalyna",Kalyna,Dannenberg,,601,"Dannenberg, Kalyna","DANNENBERG, KALYNA",St. John Fisher,SJF,1009-6423,17,6,6,0,6,0,,,,,,,3.35,0.12,2.94,0.24,0.24,3.79,.170,171,28,57,2,2,18,0,4,13,48,0,0,89,3,50,4,0,1,3,64.5,0,7.698137922504083,8,97
2026-27,wvball,Empire 8 (E8),e8,Alfred,"Santavy, Carleigh",Carleigh,Santavy,,18,"Santavy, Carleigh","SANTAVY, CARLEIGH",Alfred,Alfred,1003-5820,10,4,10,0,10,0,,,,,,,2.80,0.20,1.60,0.40,0.20,3.25,.247,77,9,28,2,4,28,0,2,4,15,0,0,40,5,16,4,2,3,1,32.5,0,6.70383450602134,9,97
2026-27,wvball,Empire 8 (E8),e8,St. John Fisher,"Fraser, Lydia",Lydia,Fraser,,601,"Fraser, Lydia","FRASER, LYDIA",St. John Fisher,SJF,1009-6094,17,5,3,0,3,0,,,,,,,2.82,0.24,2.18,0.18,0.41,3.32,.174,138,24,48,4,0,14,0,7,6,64,0,0,34,0,37,3,0,3,0,56.5,0,6.515492171366881,10,96
2026-27,wvball,Empire 8 (E8),e8,Utica,"Bailey, Trinity",Trinity,Bailey,,733,"Bailey, Trinity","BAILEY, TRINITY",Utica,Utica,1010-6545,15,9,7,0,7,0,,,,,,,2.53,0.20,2.67,0.13,0.47,3.10,.123,130,22,38,3,2,27,0,7,3,55,0,0,69,6,40,2,0,1,1,46.5,1,6.1371623706985865,11,96
