conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_ground_balls,z_misc_stats_caused_turnovers,z_misc_stats_turnovers,z_penalty_stats_minutes,composite_score,rank,rating
saa,Southern Athletic Association (SAA),2025-26,wlax,Sewanee,Marlin Price,,,,16,15,0.0,8.0,0.0,0.0,0.0,8.0,41.0,2.0,10.0,4.0,0.0,0.0,0.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,32.0,34.0,7.0,863:00,48.0,0.0,1.0,,,,,,,,,,,,,,,80.0,109.0,13.0,86.0,24.0,62.0,0.734,3.8189685349059297,3.7135472845769812,3.2228755105089224,0.25786912787949523,-0.11852075452936837,1.6505222356022713,0.0,8.427414837687891,1,99
saa,Southern Athletic Association (SAA),2025-26,wlax,Oglethorpe,Makenna Bowens,,,,17,17,0.0,14.0,0.0,0.0,0.0,8.0,53.0,3.0,12.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,45.0,41.0,8.0,963:00,59.0,0.0,1.0,,,,,,,,,,,,,,,115.0,142.0,29.0,91.0,10.0,81.0,0.81,4.081008861109646,5.0461967240875305,0.9583318379478232,0.48152591602052286,-0.0068818502629955855,2.2194374884810304,0.0,8.04341675127799,2,94
saa,Southern Athletic Association (SAA),2025-26,wlax,Berry,Dani Taraska,,,,19,19,0.0,10.0,0.0,0.0,1.0,3.0,36.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,99.0,53.0,52.0,1155:00,170.0,0.0,1.0,,,,,,,,,,,,,,,63.0,90.0,18.0,64.0,19.0,45.0,0.7,2.665991099609582,2.5211767334359636,2.4141099131656727,3.0163028482855023,4.905229937457407,3.1947207791303325,0.0,7.471380949645064,3,92
saa,Southern Athletic Association (SAA),2025-26,wlax,Sewanee,Sally Herrington,,,,16,15,0.0,8.0,0.0,0.0,0.0,1.0,14.0,2.0,5.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,33.0,18.0,785:00,79.0,0.0,1.0,,,,,,,,,,,,,,,68.0,88.0,13.0,68.0,19.0,49.0,0.773,2.875623360572554,2.8017345101750264,2.4141099131656727,0.406973653306847,1.1095071924007323,1.5692486280481628,0.0,6.634132710421555,4,91
saa,Southern Athletic Association (SAA),2025-26,wlax,Sewanee,Brooke Sigmon,,,,17,17,0.0,2.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,36.0,26.0,10.0,992:00,33.0,0.0,1.0,,,,,,,,,,,,,,,55.0,66.0,4.0,64.0,26.0,38.0,0.833,2.665991099609582,2.030200624142603,3.546381749446222,0.6306304414478746,0.21639595826975,1.0003333751694037,0.0,6.626593393383545,5,89
saa,Southern Athletic Association (SAA),2025-26,wlax,Centre,Haley Rice,,,,17,17,0.0,9.0,0.0,0.0,0.0,2.0,30.0,4.0,8.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,51.0,20.0,13.0,1008:00,68.0,0.0,1.0,,,,,,,,,,,,,,,100.0,134.0,20.0,64.0,10.0,54.0,0.746,2.665991099609582,3.152431731098855,0.9583318379478232,2.494437009289771,0.5513126710688684,0.5126917298447528,0.0,6.567416983221833,6,88
saa,Southern Athletic Association (SAA),2025-26,wlax,Hendrix,Peyton Refling,,,,15,15,0.0,13.0,0.0,0.0,0.0,3.0,29.0,0.0,6.0,2.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,71.0,29.0,22.0,888:00,48.0,0.0,1.0,,,,,,,,,,,,,,,77.0,102.0,20.0,62.0,9.0,53.0,0.755,2.561174969128096,3.082292286914089,0.7965787184791733,1.7489143821530126,1.5560628094662234,1.244154197831729,0.0,6.078445379947869,7,87
saa,Southern Athletic Association (SAA),2025-26,wlax,Rhodes,Delaney O'Mailey,,,,18,17,0.0,5.0,0.0,0.0,0.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,20.0,10.0,1012:00,32.0,0.0,1.0,,,,,,,,,,,,,,,22.0,30.0,10.0,46.0,30.0,16.0,0.733,1.7226459252762063,0.48713285207775664,4.193394227320822,0.6306304414478746,0.21639595826975,0.5126917298447528,0.0,5.096759394040373,8,86
saa,Southern Athletic Association (SAA),2025-26,wlax,Berry,Molley Cross,,,,18,18,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,48.0,15.0,1095:00,170.0,0.0,1.0,,,,,,,,,,,,,,,44.0,64.0,8.0,53.0,26.0,27.0,0.688,2.089502381961408,1.25866673811018,3.546381749446222,-0.11489218568888408,0.7745904796016139,2.7883527413597897,0.0,4.661471388691811,9,85
saa,Southern Athletic Association (SAA),2025-26,wlax,Rhodes,Anna Erskine,,,,18,15,0.0,7.0,0.0,0.0,0.0,0.0,22.0,1.0,10.0,2.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,38.0,13.0,889:00,76.0,0.0,1.0,,,,,,,,,,,,,,,74.0,86.0,9.0,54.0,7.0,47.0,0.86,2.141910447202151,2.6614556218054948,0.4730724795418735,0.406973653306847,0.5513126710688684,1.975616665818705,0.0,4.09946491131109,10,84
saa,Southern Athletic Association (SAA),2025-26,wlax,Rhodes,Caroline Kardian,,,,18,16,0.0,10.0,0.0,0.0,0.0,1.0,22.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,58.0,38.0,8.0,952:00,32.0,0.0,1.0,,,,,,,,,,,,,,,64.0,81.0,19.0,53.0,12.0,41.0,0.79,2.089502381961408,2.2406189566969004,1.281838076885123,-0.04033992297520822,-0.0068818502629955855,1.975616665818705,0.0,3.9748710028395715,11,84
saa,Southern Athletic Association (SAA),2025-26,wlax,Berry,Katie Claire smith,,,,19,19,0.0,7.0,0.0,0.0,0.0,3.0,14.0,1.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,46.0,30.0,17.0,1155:00,170.0,0.0,1.0,,,,,,,,,,,,,,,63.0,80.0,14.0,45.0,6.0,39.0,0.788,1.670237860035463,2.1003400683273687,0.31131936007322353,1.7489143821530126,0.9978682881343595,1.3254278053858375,0.0,3.8622971456804915,12,83
saa,Southern Athletic Association (SAA),2025-26,wlax,Oglethorpe,Anna Ramsden,,,,17,17,0.0,7.0,0.0,0.0,0.0,1.0,22.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,34.0,5.0,963:00,59.0,0.0,1.0,,,,,,,,,,,,,,,66.0,77.0,14.0,48.0,10.0,38.0,0.857,1.8274620557576924,2.030200624142603,0.9583318379478232,0.7051827041615505,-0.3417985630621139,1.6505222356022713,0.0,3.571261189724173,13,82
saa,Southern Athletic Association (SAA),2025-26,wlax,Rhodes,Molly Heidrick,,,,17,14,0.0,3.0,0.0,0.0,0.0,1.0,14.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,27.0,2.0,829:00,76.0,0.0,1.0,,,,,,,,,,,,,,,41.0,51.0,8.0,40.0,19.0,21.0,0.804,1.4081975338317474,0.8378300730015854,2.4141099131656727,0.03421233973846765,-0.6767152758612323,1.0816069827235122,0.0,3.1429448575227523,14,82
saa,Southern Athletic Association (SAA),2025-26,wlax,Oglethorpe,Mariah Butler,,,,17,15,0.0,5.0,0.0,0.0,0.0,2.0,15.0,2.0,4.0,1.0,0.0,0.0,0.0,9.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,43.0,12.0,843:00,59.0,0.0,1.0,,,,,,,,,,,,,,,60.0,75.0,11.0,39.0,15.0,24.0,0.8,1.3557894685910044,1.0482484055558825,1.7670974352910729,0.406973653306847,0.43967376680249554,2.3819847035892474,0.0,2.7325567423365653,15,81
