season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,Alec Peruzzi,Alec,Peruzzi,,762,Alec Peruzzi,0,0WIT,5,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,2,4,2,0,0,5,1,1,0,8,.750,6,.833,19,1,4,4,0,0,0,0,0,0,27.0,8,5,10,33,4,1,0,1.67,99,113,2,3,0,0,1,0,0,6,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,0,"3,7","2,15","1,10",0,"1,7",Wentworth Institute of Technology,WIT,0,False,,,1,99,12.0,pitching,11.0,1.0740740740740742
2026-27,baseball,Conference of New England (CCC),ccc,Endicott College,Evan Scully,Evan,Scully,,8981,Evan Scully,0,0ENDICOTT,4,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,4,0,0,0,3,0,0,0,5,1.000,3,1.000,22,1,4,0,2,0,0,0,0,0,19.2,10,9,3,22,5,0,2,4.12,77,85,0,3,0,0,2,0,0,4,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0,0,Endicott College,ENDICOTT,0,False,,,2,99,11.0,pitching,10.3125,1.3020833333333335
2026-27,baseball,Conference of New England (CCC),ccc,Roger Williams University,Matthew Donovan,Matthew,Donovan,,583,Matthew Donovan,0,0RWU,4,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,1,0,0,0,8,0,0,0,1,1.000,8,1.000,19,1,3,2,1,0,0,0,0,0,15.2,10,7,7,17,4,0,2,4.02,67,79,1,3,0,1,1,0,0,3,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,0,"10,15","8,39","6,13",0,"2,16",Roger Williams University,RWU,697-9331,False,,,3,99,10.0,pitching,10.06578947368421,1.7105263157894737
2026-27,baseball,Conference of New England (CCC),ccc,Western New England University,Tanner Wall,Tanner,Wall,,775,Tanner Wall,0,0WESTERN,4,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,0,1,0,0,1,0,0,0,2,.500,1,1.000,21,1,3,1,0,0,0,0,0,0,19.0,14,9,1,21,2,1,2,4.26,77,81,2,0,0,2,1,0,0,4,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,1,"3,7","5,14","1,8",0,"3,9",Western New England University,WESTERN,1022-4080,False,,,4,98,9.0,pitching,9.947368421052632,1.1578947368421053
2026-27,baseball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,Aaron Masson,Aaron,Masson,,762,Aaron Masson,0,0WIT,5,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,4,2,0,0,8,1,0,0,6,.667,9,.889,10,1,3,2,0,0,0,0,0,0,17.0,4,2,5,17,2,0,0,1.06,62,73,0,5,0,0,1,0,0,7,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,"4,10","3,17","1,5",0,"4,15",Wentworth Institute of Technology,WIT,0,False,,,5,98,8.0,pitching,9.0,0.8823529411764706
2026-27,baseball,Conference of New England (CCC),ccc,Endicott College,Brady Stuart,Brady,Stuart,,8981,Brady Stuart,0,0ENDICOTT,4,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,2,0,0,0,1,0,0,0,2,1.000,1,1.000,8,1,4,2,0,0,1,1,0,0,16.2,5,5,9,16,1,0,2,2.7,55,65,1,1,0,0,0,0,0,6,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,Endicott College,ENDICOTT,0,False,,,6,98,7.0,pitching,8.88888888888889,1.0493827160493827
2026-27,baseball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,Nigel Cross,Nigel,Cross,,762,Nigel Cross,0,0WIT,7,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,4,1,0,0,9,0,0,0,5,.800,9,1.000,21,1,4,1,3,0,1,0,0,0,24.1,17,12,13,22,3,0,0,4.44,91,117,1,6,0,4,3,0,0,11,0.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,0,"0,1","6,17","0,1",0,"0,1",Wentworth Institute of Technology,WIT,0,False,,,7,97,6.0,pitching,8.215767634854771,1.4107883817427385
2026-27,baseball,Conference of New England (CCC),ccc,University of Hartford,Anthony Bubba,Anthony,Bubba,,272,Anthony Bubba,0,0HARTFORD,4,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,3,1,0,0,2,2,0,0,4,.750,4,.500,13,1,3,3,1,0,1,1,0,0,20.1,9,8,8,18,2,0,3,3.54,71,87,0,8,0,0,0,0,0,2,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,1,"2,14","2,17",0,0,"2,17",University of Hartford,HARTFORD,6-2804,False,,,8,97,5.0,pitching,8.059701492537313,1.044776119402985
2026-27,baseball,Conference of New England (CCC),ccc,Western New England University,Colby Dimenna,Colby,Dimenna,,775,Colby Dimenna,0,0WESTERN,4,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,2,0,0,0,1,1,0,0,2,1.000,2,.500,10,1,3,2,0,1,0,0,0,0,15.0,5,4,5,13,4,0,1,2.4,54,63,1,4,0,0,0,0,0,3,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,1,"1,5","0,4","0,2",0,"1,6",Western New England University,WESTERN,1022-4395,False,,,9,97,4.0,pitching,7.8,1.0
2026-27,baseball,Conference of New England (CCC),ccc,Curry College,Jack Keane,Jack,Keane,,170,Jack Keane,0,0CC,3,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,2,0,0,0,0,0.000,2,1.000,15,1,3,1,0,0,0,0,0,0,15.2,10,9,8,12,3,0,2,5.17,60,70,1,1,1,1,0,0,0,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,0,"4,7","3,14","0,3",0,"1,8",Curry College,CC,0,False,,,10,96,3.0,pitching,7.105263157894737,1.5131578947368423
2026-27,baseball,Conference of New England (CCC),ccc,Nichols College,Aidan Whitten,Aidan,Whitten,,484,Aidan Whitten,0,0NC,5,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,7,1,0,0,1,2,0,0,8,.875,3,.333,27,1,4,1,2,0,1,0,0,0,22.2,11,9,11,16,5,1,0,3.57,85,105,0,5,0,1,3,0,0,3,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,3,"0,3","1,5","4,20",0,"1,4",Nichols College,NC,695-4164,False,,,11,96,2.0,pitching,6.486486486486487,1.7117117117117118
2026-27,baseball,Conference of New England (CCC),ccc,Nichols College,Clark Churchill,Clark,Churchill,,484,Clark Churchill,0,0NC,5,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,3,2,0,0,0,0,0,0,0,5,1.000,0,.000,26,1,3,2,1,0,1,0,0,0,23.2,16,16,7,14,4,1,1,6.08,93,105,2,4,0,0,1,0,0,8,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,1,"4,17","11,27","2,6",0,"6,22",Nichols College,NC,695-3713,False,,,12,96,1.0,pitching,5.431034482758621,1.4224137931034484
